[720, 540]
[headline, [68.0, 54.0, 396.0, 25.5], shoonya_2sZS23VI9NJNDK, 5763060]
[headline, [68.0, 79.5, 396.0, 25.5], shoonya_2sZS23VI9NJNDK, 5763060]
[paragraph, [38.0, 120.0, 469.0, 18.0], KmIPqDmid8, 5763060]
[paragraph, [38.0, 138.0, 469.0, 18.0], KmIPqDmid8, 5763060]
[paragraph, [38.0, 156.0, 469.0, 18.0], KmIPqDmid8, 5763060]
[paragraph, [38.0, 174.0, 469.0, 18.0], KmIPqDmid8, 5763060]
[paragraph, [9.0, 194.0, 497.0, 18.0], 6zLjizmmfC, 5763060]
[paragraph, [9.0, 212.0, 497.0, 18.0], 6zLjizmmfC, 5763060]
[unordered-list, [4.0, 238.0, 323.0, 18.0], shoonya_0sOBS06OGUAA1L, 5763060]
[unordered-list, [4.0, 256.0, 323.0, 18.0], shoonya_0sOBS06OGUAA1L, 5763060]
[unordered-list, [4.0, 274.0, 323.0, 18.0], shoonya_0sOBS06OGUAA1L, 5763060]
[unordered-list, [4.0, 292.0, 323.0, 18.0], shoonya_0sOBS06OGUAA1L, 5763060]
[unordered-list, [4.0, 310.0, 323.0, 18.0], shoonya_0sOBS06OGUAA1L, 5763060]
[unordered-list, [4.0, 328.0, 323.0, 18.0], shoonya_0sOBS06OGUAA1L, 5763060]
[unordered-list, [4.0, 346.0, 323.0, 18.0], shoonya_0sOBS06OGUAA1L, 5763060]
[unordered-list, [4.0, 364.0, 323.0, 18.0], shoonya_0sOBS06OGUAA1L, 5763060]
[unordered-list, [4.0, 382.0, 323.0, 18.0], shoonya_0sOBS06OGUAA1L, 5763060]
[unordered-list, [4.0, 400.0, 323.0, 18.0], shoonya_0sOBS06OGUAA1L, 5763060]
[unordered-list, [4.0, 418.0, 323.0, 18.0], shoonya_0sOBS06OGUAA1L, 5763060]
[unordered-list, [4.0, 436.0, 323.0, 18.0], shoonya_0sOBS06OGUAA1L, 5763060]
[unordered-list, [4.0, 454.0, 323.0, 18.0], shoonya_0sOBS06OGUAA1L, 5763060]
[unordered-list, [4.0, 472.0, 323.0, 18.0], shoonya_0sOBS06OGUAA1L, 5763060]
[unordered-list, [4.0, 490.0, 323.0, 18.0], shoonya_0sOBS06OGUAA1L, 5763060]
[unordered-list, [4.0, 508.0, 323.0, 18.0], shoonya_0sOBS06OGUAA1L, 5763060]
[unordered-list, [4.0, 526.0, 323.0, 18.0], shoonya_0sOBS06OGUAA1L, 5763060]
[unordered-list, [4.0, 544.0, 323.0, 18.0], shoonya_0sOBS06OGUAA1L, 5763060]
[unordered-list, [4.0, 562.0, 323.0, 18.0], shoonya_0sOBS06OGUAA1L, 5763060]
[unordered-list, [4.0, 580.0, 323.0, 18.0], shoonya_0sOBS06OGUAA1L, 5763060]
[unordered-list, [4.0, 598.0, 323.0, 18.0], shoonya_0sOBS06OGUAA1L, 5763060]
[sidebar, [347.0, 646.0, 185.0, 18.0], LjzD9QZW58, 5763060]
[sidebar, [347.0, 664.0, 185.0, 18.0], LjzD9QZW58, 5763060]
[footnote, [126.0, 685.0, 400.0, 18.0], r1b_FZeExs, 5763060]
