[1298, 853]
[section-title, [74.0, 67.0, 528.0, 30.0], hUoKzMqqIv, 5709638]
[section-title, [74.0, 97.0, 528.0, 30.0], hUoKzMqqIv, 5709638]
[section-title, [74.0, 127.0, 528.0, 30.0], hUoKzMqqIv, 5709638]
[paragraph, [58.0, 268.0, 755.0, 18.0], shoonya_0sOV4UGTN0E1EP, 5709638]
[paragraph, [58.0, 286.0, 755.0, 18.0], shoonya_0sOV4UGTN0E1EP, 5709638]
[paragraph, [58.0, 304.0, 755.0, 18.0], shoonya_0sOV4UGTN0E1EP, 5709638]
[paragraph, [58.0, 322.0, 755.0, 18.0], shoonya_0sOV4UGTN0E1EP, 5709638]
[paragraph, [58.0, 340.0, 755.0, 18.0], shoonya_0sOV4UGTN0E1EP, 5709638]
[paragraph, [58.0, 358.0, 755.0, 18.0], shoonya_0sOV4UGTN0E1EP, 5709638]
[paragraph, [58.0, 376.0, 755.0, 18.0], shoonya_0sOV4UGTN0E1EP, 5709638]
[paragraph, [58.0, 394.0, 755.0, 18.0], shoonya_0sOV4UGTN0E1EP, 5709638]
[paragraph, [58.0, 412.0, 755.0, 18.0], shoonya_0sOV4UGTN0E1EP, 5709638]
[paragraph, [58.0, 430.0, 755.0, 18.0], shoonya_0sOV4UGTN0E1EP, 5709638]
[paragraph, [58.0, 448.0, 755.0, 18.0], shoonya_0sOV4UGTN0E1EP, 5709638]
[paragraph, [58.0, 466.0, 755.0, 18.0], shoonya_0sOV4UGTN0E1EP, 5709638]
[paragraph, [58.0, 484.0, 755.0, 18.0], shoonya_0sOV4UGTN0E1EP, 5709638]
[paragraph, [58.0, 502.0, 755.0, 18.0], shoonya_0sOV4UGTN0E1EP, 5709638]
[paragraph, [58.0, 520.0, 755.0, 18.0], shoonya_0sOV4UGTN0E1EP, 5709638]
[paragraph, [58.0, 538.0, 755.0, 18.0], shoonya_0sOV4UGTN0E1EP, 5709638]
[paragraph, [58.0, 556.0, 755.0, 18.0], shoonya_0sOV4UGTN0E1EP, 5709638]
[paragraph, [58.0, 574.0, 755.0, 18.0], shoonya_0sOV4UGTN0E1EP, 5709638]
[paragraph, [58.0, 592.0, 755.0, 18.0], shoonya_0sOV4UGTN0E1EP, 5709638]
[paragraph, [58.0, 610.0, 755.0, 18.0], shoonya_0sOV4UGTN0E1EP, 5709638]
[paragraph, [58.0, 628.0, 755.0, 18.0], shoonya_0sOV4UGTN0E1EP, 5709638]
[paragraph, [58.0, 646.0, 755.0, 18.0], shoonya_0sOV4UGTN0E1EP, 5709638]
[paragraph, [58.0, 664.0, 755.0, 18.0], shoonya_0sOV4UGTN0E1EP, 5709638]
[paragraph, [58.0, 682.0, 755.0, 18.0], shoonya_0sOV4UGTN0E1EP, 5709638]
[paragraph, [58.0, 700.0, 755.0, 18.0], shoonya_0sOV4UGTN0E1EP, 5709638]
[paragraph, [58.0, 718.0, 755.0, 18.0], shoonya_0sOV4UGTN0E1EP, 5709638]
[paragraph, [58.0, 736.0, 755.0, 18.0], shoonya_0sOV4UGTN0E1EP, 5709638]
[paragraph, [58.0, 754.0, 755.0, 18.0], shoonya_0sOV4UGTN0E1EP, 5709638]
[paragraph, [58.0, 772.0, 755.0, 18.0], shoonya_0sOV4UGTN0E1EP, 5709638]
