[2363, 1655]
[folio, [974.0, 111.0, 492.0, 36.0], -COQbgHRr4, 5721753]
[paragraph, [191.0, 201.0, 1274.0, 36.0], shoonya_1s1ELYEMQKCP8L, 5721753]
[paragraph, [191.0, 237.0, 1274.0, 36.0], shoonya_1s1ELYEMQKCP8L, 5721753]
[paragraph, [191.0, 273.0, 1274.0, 36.0], shoonya_1s1ELYEMQKCP8L, 5721753]
[paragraph, [191.0, 309.0, 1274.0, 36.0], shoonya_1s1ELYEMQKCP8L, 5721753]
[paragraph, [191.0, 345.0, 1274.0, 36.0], shoonya_1s1ELYEMQKCP8L, 5721753]
[paragraph, [191.0, 381.0, 1274.0, 36.0], shoonya_1s1ELYEMQKCP8L, 5721753]
[paragraph, [191.0, 417.0, 1274.0, 36.0], shoonya_1s1ELYEMQKCP8L, 5721753]
[paragraph, [191.0, 453.0, 1274.0, 36.0], shoonya_1s1ELYEMQKCP8L, 5721753]
[paragraph, [191.0, 489.0, 1274.0, 36.0], shoonya_1s1ELYEMQKCP8L, 5721753]
[paragraph, [191.0, 525.0, 1274.0, 36.0], shoonya_1s1ELYEMQKCP8L, 5721753]
[paragraph, [191.0, 561.0, 1274.0, 36.0], shoonya_1s1ELYEMQKCP8L, 5721753]
[paragraph, [191.0, 597.0, 1274.0, 36.0], shoonya_1s1ELYEMQKCP8L, 5721753]
[paragraph, [191.0, 633.0, 1274.0, 36.0], shoonya_1s1ELYEMQKCP8L, 5721753]
[paragraph, [191.0, 669.0, 1274.0, 36.0], shoonya_1s1ELYEMQKCP8L, 5721753]
[paragraph, [191.0, 705.0, 1274.0, 36.0], shoonya_1s1ELYEMQKCP8L, 5721753]
[paragraph, [192.0, 782.0, 1270.0, 36.0], R2OTcSci6Y, 5721753]
[paragraph, [192.0, 818.0, 1270.0, 36.0], R2OTcSci6Y, 5721753]
[paragraph, [192.0, 854.0, 1270.0, 36.0], R2OTcSci6Y, 5721753]
[paragraph, [192.0, 890.0, 1270.0, 36.0], R2OTcSci6Y, 5721753]
[paragraph, [192.0, 926.0, 1270.0, 36.0], R2OTcSci6Y, 5721753]
[paragraph, [192.0, 962.0, 1270.0, 36.0], R2OTcSci6Y, 5721753]
[paragraph, [192.0, 998.0, 1270.0, 36.0], R2OTcSci6Y, 5721753]
[paragraph, [192.0, 1034.0, 1270.0, 36.0], R2OTcSci6Y, 5721753]
[paragraph, [192.0, 1070.0, 1270.0, 36.0], R2OTcSci6Y, 5721753]
[paragraph, [192.0, 1106.0, 1270.0, 36.0], R2OTcSci6Y, 5721753]
[paragraph, [192.0, 1142.0, 1270.0, 36.0], R2OTcSci6Y, 5721753]
[paragraph, [192.0, 1178.0, 1270.0, 36.0], R2OTcSci6Y, 5721753]
[paragraph, [192.0, 1214.0, 1270.0, 36.0], R2OTcSci6Y, 5721753]
[paragraph, [192.0, 1250.0, 1270.0, 36.0], R2OTcSci6Y, 5721753]
