[1650, 1275]
[paragraph, [141.0, 151.0, 993.0, 36.0], shoonya_0s9HVWRPGUA5XW, 5703486]
[paragraph, [141.0, 187.0, 993.0, 36.0], shoonya_0s9HVWRPGUA5XW, 5703486]
[paragraph, [141.0, 223.0, 993.0, 36.0], shoonya_0s9HVWRPGUA5XW, 5703486]
[paragraph, [141.0, 259.0, 993.0, 36.0], shoonya_0s9HVWRPGUA5XW, 5703486]
[paragraph, [141.0, 295.0, 993.0, 36.0], shoonya_0s9HVWRPGUA5XW, 5703486]
[paragraph, [141.0, 331.0, 993.0, 36.0], shoonya_0s9HVWRPGUA5XW, 5703486]
[paragraph, [141.0, 367.0, 993.0, 36.0], shoonya_0s9HVWRPGUA5XW, 5703486]
[paragraph, [141.0, 403.0, 993.0, 36.0], shoonya_0s9HVWRPGUA5XW, 5703486]
[paragraph, [141.0, 439.0, 993.0, 36.0], shoonya_0s9HVWRPGUA5XW, 5703486]
[paragraph, [141.0, 475.0, 993.0, 36.0], shoonya_0s9HVWRPGUA5XW, 5703486]
[paragraph, [141.0, 511.0, 993.0, 36.0], shoonya_0s9HVWRPGUA5XW, 5703486]
[paragraph, [142.0, 608.0, 992.0, 36.0], shoonya_2sNHTH3MPPUOHZ, 5703486]
[paragraph, [142.0, 644.0, 992.0, 36.0], shoonya_2sNHTH3MPPUOHZ, 5703486]
[paragraph, [142.0, 680.0, 992.0, 36.0], shoonya_2sNHTH3MPPUOHZ, 5703486]
[paragraph, [142.0, 716.0, 992.0, 36.0], shoonya_2sNHTH3MPPUOHZ, 5703486]
[paragraph, [142.0, 752.0, 992.0, 36.0], shoonya_2sNHTH3MPPUOHZ, 5703486]
[paragraph, [142.0, 788.0, 992.0, 36.0], shoonya_2sNHTH3MPPUOHZ, 5703486]
[paragraph, [142.0, 824.0, 992.0, 36.0], shoonya_2sNHTH3MPPUOHZ, 5703486]
[paragraph, [142.0, 860.0, 992.0, 36.0], shoonya_2sNHTH3MPPUOHZ, 5703486]
[paragraph, [142.0, 896.0, 992.0, 36.0], shoonya_2sNHTH3MPPUOHZ, 5703486]
[paragraph, [142.0, 932.0, 992.0, 36.0], shoonya_2sNHTH3MPPUOHZ, 5703486]
[paragraph, [142.0, 968.0, 992.0, 36.0], shoonya_2sNHTH3MPPUOHZ, 5703486]
[paragraph, [142.0, 1004.0, 992.0, 36.0], shoonya_2sNHTH3MPPUOHZ, 5703486]
[paragraph, [142.0, 1040.0, 992.0, 36.0], shoonya_2sNHTH3MPPUOHZ, 5703486]
[paragraph, [142.0, 1076.0, 992.0, 36.0], shoonya_2sNHTH3MPPUOHZ, 5703486]
[paragraph, [142.0, 1112.0, 992.0, 36.0], shoonya_2sNHTH3MPPUOHZ, 5703486]
[paragraph, [142.0, 1148.0, 992.0, 36.0], shoonya_2sNHTH3MPPUOHZ, 5703486]
[paragraph, [142.0, 1184.0, 992.0, 36.0], shoonya_2sNHTH3MPPUOHZ, 5703486]
[paragraph, [142.0, 1220.0, 992.0, 36.0], shoonya_2sNHTH3MPPUOHZ, 5703486]
[paragraph, [142.0, 1256.0, 992.0, 36.0], shoonya_2sNHTH3MPPUOHZ, 5703486]
[paragraph, [142.0, 1292.0, 992.0, 36.0], shoonya_2sNHTH3MPPUOHZ, 5703486]
[paragraph, [143.0, 1390.0, 985.0, 36.0], shoonya_3sUEBM3RRY7R71, 5703486]
[paragraph, [143.0, 1426.0, 985.0, 36.0], shoonya_3sUEBM3RRY7R71, 5703486]
