[1300, 827]
[folio, [72.0, 84.0, 79.0, 18.0], shoonya_2sQWKXS3WGVUEP, 6473043]
[headline, [258.0, 125.0, 251.0, 25.5], 01W4i0Q_Ny, 6473043]
[headline, [258.0, 150.5, 251.0, 25.5], 01W4i0Q_Ny, 6473043]
[author, [475.0, 192.0, 112.0, 18.0], shoonya_4sFSO5BF8JPWGL, 6473043]
[paragraph, [61.0, 274.0, 268.0, 18.0], shoonya_3sSUQ18ZS4Z93P, 6473043]
[paragraph, [61.0, 292.0, 268.0, 18.0], shoonya_3sSUQ18ZS4Z93P, 6473043]
[paragraph, [61.0, 310.0, 268.0, 18.0], shoonya_3sSUQ18ZS4Z93P, 6473043]
[paragraph, [61.0, 328.0, 268.0, 18.0], shoonya_3sSUQ18ZS4Z93P, 6473043]
[paragraph, [61.0, 346.0, 268.0, 18.0], shoonya_3sSUQ18ZS4Z93P, 6473043]
[paragraph, [61.0, 364.0, 268.0, 18.0], shoonya_3sSUQ18ZS4Z93P, 6473043]
[paragraph, [61.0, 382.0, 268.0, 18.0], shoonya_3sSUQ18ZS4Z93P, 6473043]
[paragraph, [61.0, 414.0, 291.0, 18.0], CtCB-43cBl, 6473043]
[paragraph, [61.0, 432.0, 291.0, 18.0], CtCB-43cBl, 6473043]
[paragraph, [61.0, 450.0, 291.0, 18.0], CtCB-43cBl, 6473043]
[paragraph, [61.0, 468.0, 291.0, 18.0], CtCB-43cBl, 6473043]
[paragraph, [61.0, 486.0, 291.0, 18.0], CtCB-43cBl, 6473043]
[paragraph, [61.0, 528.0, 296.0, 18.0], fgrKMqV6e4, 6473043]
[paragraph, [61.0, 546.0, 296.0, 18.0], fgrKMqV6e4, 6473043]
[paragraph, [61.0, 564.0, 296.0, 18.0], fgrKMqV6e4, 6473043]
[paragraph, [61.0, 582.0, 296.0, 18.0], fgrKMqV6e4, 6473043]
[paragraph, [61.0, 600.0, 296.0, 18.0], fgrKMqV6e4, 6473043]
[paragraph, [61.0, 618.0, 296.0, 18.0], fgrKMqV6e4, 6473043]
[paragraph, [61.0, 636.0, 296.0, 18.0], fgrKMqV6e4, 6473043]
[paragraph, [62.0, 676.0, 366.0, 18.0], QLPq_3BU0Q, 6473043]
[paragraph, [62.0, 694.0, 366.0, 18.0], QLPq_3BU0Q, 6473043]
[paragraph, [62.0, 712.0, 366.0, 18.0], QLPq_3BU0Q, 6473043]
[paragraph, [62.0, 730.0, 366.0, 18.0], QLPq_3BU0Q, 6473043]
[paragraph, [62.0, 748.0, 366.0, 18.0], QLPq_3BU0Q, 6473043]
[paragraph, [62.0, 766.0, 366.0, 18.0], QLPq_3BU0Q, 6473043]
[paragraph, [62.0, 784.0, 366.0, 18.0], QLPq_3BU0Q, 6473043]
[paragraph, [62.0, 802.0, 366.0, 18.0], QLPq_3BU0Q, 6473043]
[paragraph, [62.0, 820.0, 366.0, 18.0], QLPq_3BU0Q, 6473043]
[paragraph, [62.0, 838.0, 366.0, 18.0], QLPq_3BU0Q, 6473043]
[paragraph, [62.0, 856.0, 366.0, 18.0], QLPq_3BU0Q, 6473043]
[paragraph, [62.0, 874.0, 366.0, 18.0], QLPq_3BU0Q, 6473043]
[paragraph, [62.0, 892.0, 366.0, 18.0], QLPq_3BU0Q, 6473043]
[paragraph, [62.0, 910.0, 366.0, 18.0], QLPq_3BU0Q, 6473043]
[paragraph, [62.0, 928.0, 366.0, 18.0], QLPq_3BU0Q, 6473043]
[paragraph, [62.0, 946.0, 366.0, 18.0], QLPq_3BU0Q, 6473043]
[paragraph, [62.0, 964.0, 366.0, 18.0], QLPq_3BU0Q, 6473043]
[paragraph, [62.0, 982.0, 366.0, 18.0], QLPq_3BU0Q, 6473043]
[paragraph, [62.0, 1000.0, 366.0, 18.0], QLPq_3BU0Q, 6473043]
[paragraph, [62.0, 1018.0, 366.0, 18.0], QLPq_3BU0Q, 6473043]
[paragraph, [60.0, 1063.0, 284.0, 18.0], u1_jRY248J, 6473043]
[paragraph, [60.0, 1081.0, 284.0, 18.0], u1_jRY248J, 6473043]
[paragraph, [60.0, 1099.0, 284.0, 18.0], u1_jRY248J, 6473043]
[paragraph, [60.0, 1117.0, 284.0, 18.0], u1_jRY248J, 6473043]
[paragraph, [60.0, 1135.0, 284.0, 18.0], u1_jRY248J, 6473043]
[contact-info, [540.0, 1160.0, 215.0, 18.0], Q4dqWXT_8d, 6473043]
[folio, [543.0, 1226.0, 64.0, 18.0], _gjyW3E0mw, 6473043]
