[1638, 1027]
[headline, [50.0, 188.0, 754.0, 37.5], shoonya_6s812WRWVR3C14, 5654800]
[headline, [50.0, 225.5, 754.0, 37.5], shoonya_6s812WRWVR3C14, 5654800]
[headline, [50.0, 263.0, 754.0, 37.5], shoonya_6s812WRWVR3C14, 5654800]
[paragraph, [436.0, 303.0, 415.0, 36.0], shoonya_3sNYVCDZ50FQLR, 5654800]
[paragraph, [436.0, 339.0, 415.0, 36.0], shoonya_3sNYVCDZ50FQLR, 5654800]
[paragraph, [436.0, 375.0, 415.0, 36.0], shoonya_3sNYVCDZ50FQLR, 5654800]
[paragraph, [436.0, 411.0, 415.0, 36.0], shoonya_3sNYVCDZ50FQLR, 5654800]
[paragraph, [436.0, 447.0, 415.0, 36.0], shoonya_3sNYVCDZ50FQLR, 5654800]
[paragraph, [436.0, 483.0, 415.0, 36.0], shoonya_3sNYVCDZ50FQLR, 5654800]
[paragraph, [436.0, 519.0, 415.0, 36.0], shoonya_3sNYVCDZ50FQLR, 5654800]
[paragraph, [436.0, 555.0, 415.0, 36.0], shoonya_3sNYVCDZ50FQLR, 5654800]
[paragraph, [436.0, 591.0, 415.0, 36.0], shoonya_3sNYVCDZ50FQLR, 5654800]
[paragraph, [436.0, 627.0, 415.0, 36.0], shoonya_3sNYVCDZ50FQLR, 5654800]
[paragraph, [436.0, 663.0, 415.0, 36.0], shoonya_3sNYVCDZ50FQLR, 5654800]
[paragraph, [5.0, 312.0, 412.0, 36.0], shoonya_1sHLP1V14JHNX3, 5654800]
[paragraph, [5.0, 348.0, 412.0, 36.0], shoonya_1sHLP1V14JHNX3, 5654800]
[paragraph, [5.0, 384.0, 412.0, 36.0], shoonya_1sHLP1V14JHNX3, 5654800]
[paragraph, [5.0, 420.0, 412.0, 36.0], shoonya_1sHLP1V14JHNX3, 5654800]
[paragraph, [5.0, 456.0, 412.0, 36.0], shoonya_1sHLP1V14JHNX3, 5654800]
[paragraph, [5.0, 492.0, 412.0, 36.0], shoonya_1sHLP1V14JHNX3, 5654800]
[paragraph, [5.0, 528.0, 412.0, 36.0], shoonya_1sHLP1V14JHNX3, 5654800]
[paragraph, [5.0, 564.0, 412.0, 36.0], shoonya_1sHLP1V14JHNX3, 5654800]
[paragraph, [5.0, 600.0, 412.0, 36.0], shoonya_1sHLP1V14JHNX3, 5654800]
[paragraph, [5.0, 636.0, 412.0, 36.0], shoonya_1sHLP1V14JHNX3, 5654800]
[paragraph, [5.0, 672.0, 412.0, 36.0], shoonya_1sHLP1V14JHNX3, 5654800]
[section-title, [170.0, 1041.0, 519.0, 49.5], shoonya_5sBGQO6VULLYPH, 5654800]
[section-title, [170.0, 1090.5, 519.0, 49.5], shoonya_5sBGQO6VULLYPH, 5654800]
[paragraph, [49.0, 1177.0, 756.0, 36.0], shoonya_0sXJ9AZ4NMKRHD, 5654800]
[paragraph, [49.0, 1213.0, 756.0, 36.0], shoonya_0sXJ9AZ4NMKRHD, 5654800]
[paragraph, [49.0, 1249.0, 756.0, 36.0], shoonya_0sXJ9AZ4NMKRHD, 5654800]
[paragraph, [49.0, 1285.0, 756.0, 36.0], shoonya_0sXJ9AZ4NMKRHD, 5654800]
[paragraph, [49.0, 1321.0, 756.0, 36.0], shoonya_0sXJ9AZ4NMKRHD, 5654800]
[paragraph, [49.0, 1357.0, 756.0, 36.0], shoonya_0sXJ9AZ4NMKRHD, 5654800]
[paragraph, [49.0, 1393.0, 756.0, 36.0], shoonya_0sXJ9AZ4NMKRHD, 5654800]
[folio, [7.0, 1541.0, 167.0, 36.0], ZaFufG3krr, 5654800]
