[2200, 1700]
[folio, [782.0, 395.0, 144.0, 36.0], shoonya_5s4NB4BTT4RCJL, 5732581]
[paragraph, [455.0, 546.0, 781.0, 36.0], shoonya_0sHRZU7GDXTY96, 5732581]
[paragraph, [455.0, 582.0, 781.0, 36.0], shoonya_0sHRZU7GDXTY96, 5732581]
[paragraph, [455.0, 618.0, 781.0, 36.0], shoonya_0sHRZU7GDXTY96, 5732581]
[paragraph, [455.0, 654.0, 781.0, 36.0], shoonya_0sHRZU7GDXTY96, 5732581]
[paragraph, [455.0, 690.0, 781.0, 36.0], shoonya_0sHRZU7GDXTY96, 5732581]
[paragraph, [455.0, 726.0, 781.0, 36.0], shoonya_0sHRZU7GDXTY96, 5732581]
[paragraph, [455.0, 762.0, 781.0, 36.0], shoonya_0sHRZU7GDXTY96, 5732581]
[paragraph, [455.0, 798.0, 781.0, 36.0], shoonya_0sHRZU7GDXTY96, 5732581]
[paragraph, [455.0, 834.0, 781.0, 36.0], shoonya_0sHRZU7GDXTY96, 5732581]
[paragraph, [455.0, 870.0, 781.0, 36.0], shoonya_0sHRZU7GDXTY96, 5732581]
[paragraph, [455.0, 906.0, 781.0, 36.0], shoonya_0sHRZU7GDXTY96, 5732581]
[paragraph, [455.0, 942.0, 781.0, 36.0], shoonya_0sHRZU7GDXTY96, 5732581]
[paragraph, [455.0, 978.0, 781.0, 36.0], shoonya_0sHRZU7GDXTY96, 5732581]
[paragraph, [455.0, 1014.0, 781.0, 36.0], shoonya_0sHRZU7GDXTY96, 5732581]
[paragraph, [455.0, 1050.0, 781.0, 36.0], shoonya_0sHRZU7GDXTY96, 5732581]
[paragraph, [455.0, 1086.0, 781.0, 36.0], shoonya_0sHRZU7GDXTY96, 5732581]
[paragraph, [455.0, 1122.0, 781.0, 36.0], shoonya_0sHRZU7GDXTY96, 5732581]
[paragraph, [455.0, 1158.0, 781.0, 36.0], shoonya_0sHRZU7GDXTY96, 5732581]
[paragraph, [455.0, 1194.0, 781.0, 36.0], shoonya_0sHRZU7GDXTY96, 5732581]
[paragraph, [455.0, 1230.0, 781.0, 36.0], shoonya_0sHRZU7GDXTY96, 5732581]
[paragraph, [455.0, 1266.0, 781.0, 36.0], shoonya_0sHRZU7GDXTY96, 5732581]
[paragraph, [455.0, 1302.0, 781.0, 36.0], shoonya_0sHRZU7GDXTY96, 5732581]
[paragraph, [459.0, 1341.0, 777.0, 36.0], shoonya_2sOH01M77YUHOA, 5732581]
[paragraph, [459.0, 1377.0, 777.0, 36.0], shoonya_2sOH01M77YUHOA, 5732581]
[paragraph, [459.0, 1413.0, 777.0, 36.0], shoonya_2sOH01M77YUHOA, 5732581]
[paragraph, [462.0, 1461.0, 782.0, 36.0], shoonya_4s69YXE7CUA48Q, 5732581]
[paragraph, [462.0, 1497.0, 782.0, 36.0], shoonya_4s69YXE7CUA48Q, 5732581]
[paragraph, [462.0, 1533.0, 782.0, 36.0], shoonya_4s69YXE7CUA48Q, 5732581]
[paragraph, [462.0, 1569.0, 782.0, 36.0], shoonya_4s69YXE7CUA48Q, 5732581]
[paragraph, [462.0, 1605.0, 782.0, 36.0], shoonya_4s69YXE7CUA48Q, 5732581]
[paragraph, [462.0, 1641.0, 782.0, 36.0], shoonya_4s69YXE7CUA48Q, 5732581]
[paragraph, [462.0, 1677.0, 782.0, 36.0], shoonya_4s69YXE7CUA48Q, 5732581]
[paragraph, [462.0, 1713.0, 782.0, 36.0], shoonya_4s69YXE7CUA48Q, 5732581]
[footnote, [1292.0, 2028.0, 233.0, 36.0], YOKw_9AjOy, 5732581]
[footnote, [1292.0, 2064.0, 233.0, 36.0], YOKw_9AjOy, 5732581]
[folio, [810.0, 2104.0, 176.0, 36.0], 971WN0sGEF, 5732581]
