[2339, 1653]
[paragraph, [122.0, 0.0, 1111.0, 36.0], shoonya_10sPL3H7GQV9FJ, 5689741]
[paragraph, [136.0, 45.0, 1495.0, 36.0], gax5de9cCL, 5689741]
[paragraph, [136.0, 81.0, 1495.0, 36.0], gax5de9cCL, 5689741]
[paragraph, [136.0, 117.0, 1495.0, 36.0], gax5de9cCL, 5689741]
[paragraph, [136.0, 153.0, 1495.0, 36.0], gax5de9cCL, 5689741]
[paragraph, [136.0, 189.0, 1495.0, 36.0], gax5de9cCL, 5689741]
[options, [141.0, 363.0, 743.0, 36.0], aoMx3qiR6M, 5689741]
[options, [141.0, 399.0, 743.0, 36.0], aoMx3qiR6M, 5689741]
[options, [141.0, 435.0, 743.0, 36.0], aoMx3qiR6M, 5689741]
[options, [141.0, 471.0, 743.0, 36.0], aoMx3qiR6M, 5689741]
[options, [141.0, 507.0, 743.0, 36.0], aoMx3qiR6M, 5689741]
[options, [141.0, 543.0, 743.0, 36.0], aoMx3qiR6M, 5689741]
[placeholder-text, [22.0, 618.0, 1623.0, 18.0], shoonya_5sFWK2SSAXZIB2, 5689741]
[placeholder-text, [22.0, 636.0, 1623.0, 18.0], shoonya_5sFWK2SSAXZIB2, 5689741]
[placeholder-text, [21.0, 677.0, 1624.0, 18.0], shoonya_8s3BT3XFJQRJQJ, 5689741]
[placeholder-text, [21.0, 695.0, 1624.0, 18.0], shoonya_8s3BT3XFJQRJQJ, 5689741]
[placeholder-text, [16.0, 730.0, 1626.0, 18.0], shoonya_7sOQMHACRD0IDQ, 5689741]
[placeholder-text, [16.0, 748.0, 1626.0, 18.0], shoonya_7sOQMHACRD0IDQ, 5689741]
[placeholder-text, [15.0, 783.0, 1628.0, 18.0], shoonya_4sCI593Y3QKARW, 5689741]
[placeholder-text, [15.0, 801.0, 1628.0, 18.0], shoonya_4sCI593Y3QKARW, 5689741]
[paragraph, [132.0, 872.0, 147.0, 36.0], d_MFnEz1EF, 5689741]
[section-title, [20.0, 981.0, 97.0, 52.5], shoonya_6sZVUL5FLE770V, 5689741]
[paragraph, [133.0, 992.0, 103.0, 36.0], shoonya_9sFW61R293X78S, 5689741]
[paragraph, [131.0, 1069.0, 82.0, 36.0], w0pGC-Zq0U, 5689741]
[paragraph, [141.0, 1222.0, 1484.0, 36.0], shoonya_0s2KIXYIUG99IY, 5689741]
[paragraph, [141.0, 1258.0, 1484.0, 36.0], shoonya_0s2KIXYIUG99IY, 5689741]
[paragraph, [141.0, 1294.0, 1484.0, 36.0], shoonya_0s2KIXYIUG99IY, 5689741]
[paragraph, [141.0, 1330.0, 1484.0, 36.0], shoonya_0s2KIXYIUG99IY, 5689741]
[paragraph, [141.0, 1366.0, 1484.0, 36.0], shoonya_0s2KIXYIUG99IY, 5689741]
[paragraph, [141.0, 1402.0, 1484.0, 36.0], shoonya_0s2KIXYIUG99IY, 5689741]
[paragraph, [141.0, 1438.0, 1484.0, 36.0], shoonya_0s2KIXYIUG99IY, 5689741]
[paragraph, [141.0, 1474.0, 1484.0, 36.0], shoonya_0s2KIXYIUG99IY, 5689741]
[paragraph, [141.0, 1510.0, 1484.0, 36.0], shoonya_0s2KIXYIUG99IY, 5689741]
[paragraph, [141.0, 1546.0, 1484.0, 36.0], shoonya_0s2KIXYIUG99IY, 5689741]
[paragraph, [141.0, 1582.0, 1484.0, 36.0], shoonya_0s2KIXYIUG99IY, 5689741]
[paragraph, [141.0, 1618.0, 1484.0, 36.0], shoonya_0s2KIXYIUG99IY, 5689741]
[paragraph, [141.0, 1654.0, 1484.0, 36.0], shoonya_0s2KIXYIUG99IY, 5689741]
[paragraph, [141.0, 1690.0, 1484.0, 36.0], shoonya_0s2KIXYIUG99IY, 5689741]
[paragraph, [141.0, 1726.0, 1484.0, 36.0], shoonya_0s2KIXYIUG99IY, 5689741]
[paragraph, [141.0, 1762.0, 1484.0, 36.0], shoonya_0s2KIXYIUG99IY, 5689741]
[paragraph, [141.0, 1798.0, 1484.0, 36.0], shoonya_0s2KIXYIUG99IY, 5689741]
[paragraph, [141.0, 1834.0, 1484.0, 36.0], shoonya_0s2KIXYIUG99IY, 5689741]
[paragraph, [141.0, 1870.0, 1484.0, 36.0], shoonya_0s2KIXYIUG99IY, 5689741]
[paragraph, [141.0, 1906.0, 1484.0, 36.0], shoonya_0s2KIXYIUG99IY, 5689741]
[paragraph, [141.0, 1942.0, 1484.0, 36.0], shoonya_0s2KIXYIUG99IY, 5689741]
[paragraph, [141.0, 1978.0, 1484.0, 36.0], shoonya_0s2KIXYIUG99IY, 5689741]
[paragraph, [140.0, 2025.0, 1490.0, 36.0], shoonya_1s9Z6R4EAPWQZW, 5689741]
[paragraph, [140.0, 2061.0, 1490.0, 36.0], shoonya_1s9Z6R4EAPWQZW, 5689741]
[paragraph, [140.0, 2097.0, 1490.0, 36.0], shoonya_1s9Z6R4EAPWQZW, 5689741]
[paragraph, [140.0, 2133.0, 1490.0, 36.0], shoonya_1s9Z6R4EAPWQZW, 5689741]
[paragraph, [140.0, 2169.0, 1490.0, 36.0], shoonya_1s9Z6R4EAPWQZW, 5689741]
[paragraph, [140.0, 2205.0, 1490.0, 36.0], shoonya_1s9Z6R4EAPWQZW, 5689741]
[paragraph, [140.0, 2241.0, 1490.0, 36.0], shoonya_1s9Z6R4EAPWQZW, 5689741]
[paragraph, [140.0, 2277.0, 1490.0, 36.0], shoonya_1s9Z6R4EAPWQZW, 5689741]
