[1565, 1152]
[headline, [779.0, 184.0, 225.0, 37.5], shoonya_9sQJ9JNO1WU4PN, 5713032]
[headline, [779.0, 221.5, 225.0, 37.5], shoonya_9sQJ9JNO1WU4PN, 5713032]
[headline, [779.0, 259.0, 225.0, 37.5], shoonya_9sQJ9JNO1WU4PN, 5713032]
[headline, [779.0, 296.5, 225.0, 37.5], shoonya_9sQJ9JNO1WU4PN, 5713032]
[headline, [779.0, 334.0, 225.0, 37.5], shoonya_9sQJ9JNO1WU4PN, 5713032]
[figure-caption, [316.0, 508.0, 272.0, 36.0], shoonya_10sKO6YGNPCL12, 5713032]
[paragraph, [118.0, 588.0, 453.0, 36.0], shoonya_5sZ1Y6SYDPL9A8, 5713032]
[paragraph, [118.0, 624.0, 453.0, 36.0], shoonya_5sZ1Y6SYDPL9A8, 5713032]
[paragraph, [118.0, 660.0, 453.0, 36.0], shoonya_5sZ1Y6SYDPL9A8, 5713032]
[paragraph, [118.0, 696.0, 453.0, 36.0], shoonya_5sZ1Y6SYDPL9A8, 5713032]
[paragraph, [118.0, 732.0, 453.0, 36.0], shoonya_5sZ1Y6SYDPL9A8, 5713032]
[paragraph, [118.0, 768.0, 453.0, 36.0], shoonya_5sZ1Y6SYDPL9A8, 5713032]
[paragraph, [118.0, 804.0, 453.0, 36.0], shoonya_5sZ1Y6SYDPL9A8, 5713032]
[paragraph, [118.0, 840.0, 453.0, 36.0], shoonya_5sZ1Y6SYDPL9A8, 5713032]
[paragraph, [580.0, 590.0, 409.0, 36.0], shoonya_14sPYAK1TCKY4A, 5713032]
[paragraph, [574.0, 628.0, 443.0, 36.0], shoonya_3sUI6EM43XAHTB, 5713032]
[paragraph, [574.0, 664.0, 443.0, 36.0], shoonya_3sUI6EM43XAHTB, 5713032]
[paragraph, [574.0, 700.0, 443.0, 36.0], shoonya_3sUI6EM43XAHTB, 5713032]
[paragraph, [574.0, 736.0, 443.0, 36.0], shoonya_3sUI6EM43XAHTB, 5713032]
[paragraph, [574.0, 772.0, 443.0, 36.0], shoonya_3sUI6EM43XAHTB, 5713032]
[paragraph, [574.0, 808.0, 443.0, 36.0], shoonya_3sUI6EM43XAHTB, 5713032]
[paragraph, [574.0, 844.0, 443.0, 36.0], shoonya_3sUI6EM43XAHTB, 5713032]
[paragraph, [574.0, 880.0, 443.0, 36.0], shoonya_3sUI6EM43XAHTB, 5713032]
[paragraph, [574.0, 916.0, 443.0, 36.0], shoonya_3sUI6EM43XAHTB, 5713032]
[paragraph, [574.0, 952.0, 443.0, 36.0], shoonya_3sUI6EM43XAHTB, 5713032]
[paragraph, [574.0, 988.0, 443.0, 36.0], shoonya_3sUI6EM43XAHTB, 5713032]
[paragraph, [121.0, 922.0, 440.0, 36.0], shoonya_1sQIDDV70JLG01, 5713032]
[paragraph, [121.0, 958.0, 440.0, 36.0], shoonya_1sQIDDV70JLG01, 5713032]
[paragraph, [121.0, 994.0, 440.0, 36.0], shoonya_1sQIDDV70JLG01, 5713032]
[paragraph, [121.0, 1030.0, 440.0, 36.0], shoonya_1sQIDDV70JLG01, 5713032]
[paragraph, [572.0, 1054.0, 452.0, 36.0], shoonya_0sKLL2KP2TVM3P, 5713032]
[paragraph, [572.0, 1090.0, 452.0, 36.0], shoonya_0sKLL2KP2TVM3P, 5713032]
[paragraph, [572.0, 1126.0, 452.0, 36.0], shoonya_0sKLL2KP2TVM3P, 5713032]
[paragraph, [572.0, 1162.0, 452.0, 36.0], shoonya_0sKLL2KP2TVM3P, 5713032]
[paragraph, [572.0, 1198.0, 452.0, 36.0], shoonya_0sKLL2KP2TVM3P, 5713032]
[paragraph, [572.0, 1234.0, 452.0, 36.0], shoonya_0sKLL2KP2TVM3P, 5713032]
[paragraph, [121.0, 1086.0, 446.0, 36.0], shoonya_4s0GP8WC9WO37U, 5713032]
[paragraph, [121.0, 1122.0, 446.0, 36.0], shoonya_4s0GP8WC9WO37U, 5713032]
[paragraph, [121.0, 1158.0, 446.0, 36.0], shoonya_4s0GP8WC9WO37U, 5713032]
[paragraph, [121.0, 1194.0, 446.0, 36.0], shoonya_4s0GP8WC9WO37U, 5713032]
[paragraph, [121.0, 1230.0, 446.0, 36.0], shoonya_4s0GP8WC9WO37U, 5713032]
[paragraph, [125.0, 1276.0, 433.0, 36.0], shoonya_13sSGZ42AEAXHN, 5713032]
[paragraph, [125.0, 1312.0, 433.0, 36.0], shoonya_13sSGZ42AEAXHN, 5713032]
[paragraph, [125.0, 1348.0, 433.0, 36.0], shoonya_13sSGZ42AEAXHN, 5713032]
[paragraph, [125.0, 1384.0, 433.0, 36.0], shoonya_13sSGZ42AEAXHN, 5713032]
[paragraph, [574.0, 1289.0, 451.0, 36.0], shoonya_7sS8WWFM3FYVSO, 5713032]
[paragraph, [574.0, 1325.0, 451.0, 36.0], shoonya_7sS8WWFM3FYVSO, 5713032]
[paragraph, [574.0, 1361.0, 451.0, 36.0], shoonya_7sS8WWFM3FYVSO, 5713032]
[paragraph, [574.0, 1397.0, 451.0, 36.0], shoonya_7sS8WWFM3FYVSO, 5713032]
[folio, [902.0, 1453.0, 135.0, 36.0], FAdxOoF19G, 5713032]
