[2339, 1654]
[folio, [1339.0, 34.0, 223.0, 36.0], shoonya_2sQAR491D2MTA3, 5750931]
[paragraph, [145.0, 74.0, 1435.0, 36.0], shoonya_5sYEUT72OPYJ5Q, 5750931]
[paragraph, [145.0, 110.0, 1435.0, 36.0], shoonya_5sYEUT72OPYJ5Q, 5750931]
[paragraph, [145.0, 146.0, 1435.0, 36.0], shoonya_5sYEUT72OPYJ5Q, 5750931]
[paragraph, [145.0, 182.0, 1435.0, 36.0], shoonya_5sYEUT72OPYJ5Q, 5750931]
[paragraph, [145.0, 218.0, 1435.0, 36.0], shoonya_5sYEUT72OPYJ5Q, 5750931]
[paragraph, [145.0, 254.0, 1435.0, 36.0], shoonya_5sYEUT72OPYJ5Q, 5750931]
[paragraph, [145.0, 290.0, 1435.0, 36.0], shoonya_5sYEUT72OPYJ5Q, 5750931]
[paragraph, [145.0, 326.0, 1435.0, 36.0], shoonya_5sYEUT72OPYJ5Q, 5750931]
[paragraph, [145.0, 362.0, 1435.0, 36.0], shoonya_5sYEUT72OPYJ5Q, 5750931]
[paragraph, [145.0, 398.0, 1435.0, 36.0], shoonya_5sYEUT72OPYJ5Q, 5750931]
[paragraph, [145.0, 434.0, 1435.0, 36.0], shoonya_5sYEUT72OPYJ5Q, 5750931]
[paragraph, [145.0, 470.0, 1435.0, 36.0], shoonya_5sYEUT72OPYJ5Q, 5750931]
[paragraph, [273.0, 524.0, 1158.0, 36.0], o550QJKrSs, 5750931]
[paragraph, [273.0, 560.0, 1158.0, 36.0], o550QJKrSs, 5750931]
[paragraph, [273.0, 596.0, 1158.0, 36.0], o550QJKrSs, 5750931]
[paragraph, [273.0, 632.0, 1158.0, 36.0], o550QJKrSs, 5750931]
[reference, [995.0, 666.0, 421.0, 36.0], shoonya_6sZHVJLL3QXTTF, 5750931]
[paragraph, [134.0, 730.0, 1439.0, 36.0], shoonya_1sXOAUGI5URAXL, 5750931]
[paragraph, [134.0, 766.0, 1439.0, 36.0], shoonya_1sXOAUGI5URAXL, 5750931]
[paragraph, [134.0, 802.0, 1439.0, 36.0], shoonya_1sXOAUGI5URAXL, 5750931]
[paragraph, [134.0, 838.0, 1439.0, 36.0], shoonya_1sXOAUGI5URAXL, 5750931]
[paragraph, [134.0, 874.0, 1439.0, 36.0], shoonya_1sXOAUGI5URAXL, 5750931]
[paragraph, [134.0, 910.0, 1439.0, 36.0], shoonya_1sXOAUGI5URAXL, 5750931]
[paragraph, [134.0, 946.0, 1439.0, 36.0], shoonya_1sXOAUGI5URAXL, 5750931]
[paragraph, [134.0, 982.0, 1439.0, 36.0], shoonya_1sXOAUGI5URAXL, 5750931]
[paragraph, [134.0, 1018.0, 1439.0, 36.0], shoonya_1sXOAUGI5URAXL, 5750931]
[paragraph, [134.0, 1054.0, 1439.0, 36.0], shoonya_1sXOAUGI5URAXL, 5750931]
[paragraph, [134.0, 1090.0, 1439.0, 36.0], shoonya_1sXOAUGI5URAXL, 5750931]
[paragraph, [134.0, 1126.0, 1439.0, 36.0], shoonya_1sXOAUGI5URAXL, 5750931]
[paragraph, [134.0, 1162.0, 1439.0, 36.0], shoonya_1sXOAUGI5URAXL, 5750931]
[paragraph, [134.0, 1198.0, 1439.0, 36.0], shoonya_1sXOAUGI5URAXL, 5750931]
[paragraph, [134.0, 1234.0, 1439.0, 36.0], shoonya_1sXOAUGI5URAXL, 5750931]
[paragraph, [134.0, 1270.0, 1439.0, 36.0], shoonya_1sXOAUGI5URAXL, 5750931]
[paragraph, [134.0, 1306.0, 1439.0, 36.0], shoonya_1sXOAUGI5URAXL, 5750931]
[paragraph, [134.0, 1342.0, 1439.0, 36.0], shoonya_1sXOAUGI5URAXL, 5750931]
[paragraph, [134.0, 1378.0, 1439.0, 36.0], shoonya_1sXOAUGI5URAXL, 5750931]
[paragraph, [134.0, 1414.0, 1439.0, 36.0], shoonya_1sXOAUGI5URAXL, 5750931]
[paragraph, [134.0, 1450.0, 1439.0, 36.0], shoonya_1sXOAUGI5URAXL, 5750931]
[paragraph, [134.0, 1486.0, 1439.0, 36.0], shoonya_1sXOAUGI5URAXL, 5750931]
[paragraph, [134.0, 1522.0, 1439.0, 36.0], shoonya_1sXOAUGI5URAXL, 5750931]
[paragraph, [134.0, 1558.0, 1439.0, 36.0], shoonya_1sXOAUGI5URAXL, 5750931]
[paragraph, [252.0, 1609.0, 1195.0, 36.0], shoonya_0sDPEMBMLMCEJ6, 5750931]
[paragraph, [252.0, 1645.0, 1195.0, 36.0], shoonya_0sDPEMBMLMCEJ6, 5750931]
[paragraph, [252.0, 1681.0, 1195.0, 36.0], shoonya_0sDPEMBMLMCEJ6, 5750931]
[paragraph, [252.0, 1717.0, 1195.0, 36.0], shoonya_0sDPEMBMLMCEJ6, 5750931]
[paragraph, [252.0, 1753.0, 1195.0, 36.0], shoonya_0sDPEMBMLMCEJ6, 5750931]
[paragraph, [252.0, 1789.0, 1195.0, 36.0], shoonya_0sDPEMBMLMCEJ6, 5750931]
[paragraph, [252.0, 1825.0, 1195.0, 36.0], shoonya_0sDPEMBMLMCEJ6, 5750931]
[paragraph, [252.0, 1861.0, 1195.0, 36.0], shoonya_0sDPEMBMLMCEJ6, 5750931]
[paragraph, [252.0, 1897.0, 1195.0, 36.0], shoonya_0sDPEMBMLMCEJ6, 5750931]
[paragraph, [252.0, 1933.0, 1195.0, 36.0], shoonya_0sDPEMBMLMCEJ6, 5750931]
[paragraph, [252.0, 1969.0, 1195.0, 36.0], shoonya_0sDPEMBMLMCEJ6, 5750931]
[paragraph, [252.0, 2005.0, 1195.0, 36.0], shoonya_0sDPEMBMLMCEJ6, 5750931]
[paragraph, [252.0, 2041.0, 1195.0, 36.0], shoonya_0sDPEMBMLMCEJ6, 5750931]
[reference, [114.0, 2162.0, 504.0, 36.0], shoonya_4sNH6GL2SF05BB, 5750931]
