[1200, 825]
[paragraph, [139.0, 108.0, 547.0, 18.0], shoonya_2s13Z1SUFKELA6, 5691181]
[paragraph, [139.0, 126.0, 547.0, 18.0], shoonya_2s13Z1SUFKELA6, 5691181]
[paragraph, [139.0, 144.0, 547.0, 18.0], shoonya_2s13Z1SUFKELA6, 5691181]
[paragraph, [139.0, 162.0, 547.0, 18.0], shoonya_2s13Z1SUFKELA6, 5691181]
[paragraph, [139.0, 180.0, 547.0, 18.0], shoonya_2s13Z1SUFKELA6, 5691181]
[paragraph, [139.0, 198.0, 547.0, 18.0], shoonya_2s13Z1SUFKELA6, 5691181]
[paragraph, [139.0, 216.0, 547.0, 18.0], shoonya_2s13Z1SUFKELA6, 5691181]
[paragraph, [139.0, 234.0, 547.0, 18.0], shoonya_2s13Z1SUFKELA6, 5691181]
[paragraph, [139.0, 252.0, 547.0, 18.0], shoonya_2s13Z1SUFKELA6, 5691181]
[paragraph, [139.0, 270.0, 547.0, 18.0], shoonya_2s13Z1SUFKELA6, 5691181]
[paragraph, [139.0, 288.0, 547.0, 18.0], shoonya_2s13Z1SUFKELA6, 5691181]
[paragraph, [136.0, 323.0, 554.0, 18.0], shoonya_0sCAQIY68515CX, 5691181]
[paragraph, [136.0, 341.0, 554.0, 18.0], shoonya_0sCAQIY68515CX, 5691181]
[paragraph, [136.0, 359.0, 554.0, 18.0], shoonya_0sCAQIY68515CX, 5691181]
[paragraph, [136.0, 377.0, 554.0, 18.0], shoonya_0sCAQIY68515CX, 5691181]
[paragraph, [136.0, 395.0, 554.0, 18.0], shoonya_0sCAQIY68515CX, 5691181]
[paragraph, [136.0, 413.0, 554.0, 18.0], shoonya_0sCAQIY68515CX, 5691181]
[paragraph, [136.0, 431.0, 554.0, 18.0], shoonya_0sCAQIY68515CX, 5691181]
[paragraph, [136.0, 449.0, 554.0, 18.0], shoonya_0sCAQIY68515CX, 5691181]
[paragraph, [136.0, 467.0, 554.0, 18.0], shoonya_0sCAQIY68515CX, 5691181]
[paragraph, [136.0, 485.0, 554.0, 18.0], shoonya_0sCAQIY68515CX, 5691181]
[paragraph, [136.0, 503.0, 554.0, 18.0], shoonya_0sCAQIY68515CX, 5691181]
[paragraph, [136.0, 521.0, 554.0, 18.0], shoonya_0sCAQIY68515CX, 5691181]
[paragraph, [136.0, 539.0, 554.0, 18.0], shoonya_0sCAQIY68515CX, 5691181]
[paragraph, [136.0, 557.0, 554.0, 18.0], shoonya_0sCAQIY68515CX, 5691181]
[paragraph, [136.0, 575.0, 554.0, 18.0], shoonya_0sCAQIY68515CX, 5691181]
[paragraph, [136.0, 593.0, 554.0, 18.0], shoonya_0sCAQIY68515CX, 5691181]
[paragraph, [136.0, 611.0, 554.0, 18.0], shoonya_0sCAQIY68515CX, 5691181]
[paragraph, [136.0, 629.0, 554.0, 18.0], shoonya_0sCAQIY68515CX, 5691181]
[paragraph, [136.0, 647.0, 554.0, 18.0], shoonya_0sCAQIY68515CX, 5691181]
[paragraph, [136.0, 665.0, 554.0, 18.0], shoonya_0sCAQIY68515CX, 5691181]
[paragraph, [135.0, 694.0, 549.0, 18.0], shoonya_1sU5FOT0D0OGTW, 5691181]
[paragraph, [135.0, 712.0, 549.0, 18.0], shoonya_1sU5FOT0D0OGTW, 5691181]
[paragraph, [135.0, 730.0, 549.0, 18.0], shoonya_1sU5FOT0D0OGTW, 5691181]
[paragraph, [135.0, 748.0, 549.0, 18.0], shoonya_1sU5FOT0D0OGTW, 5691181]
[paragraph, [135.0, 766.0, 549.0, 18.0], shoonya_1sU5FOT0D0OGTW, 5691181]
[paragraph, [135.0, 784.0, 549.0, 18.0], shoonya_1sU5FOT0D0OGTW, 5691181]
[paragraph, [135.0, 802.0, 549.0, 18.0], shoonya_1sU5FOT0D0OGTW, 5691181]
[paragraph, [135.0, 820.0, 549.0, 18.0], shoonya_1sU5FOT0D0OGTW, 5691181]
[paragraph, [135.0, 838.0, 549.0, 18.0], shoonya_1sU5FOT0D0OGTW, 5691181]
[paragraph, [135.0, 856.0, 549.0, 18.0], shoonya_1sU5FOT0D0OGTW, 5691181]
[paragraph, [135.0, 874.0, 549.0, 18.0], shoonya_1sU5FOT0D0OGTW, 5691181]
[paragraph, [135.0, 892.0, 549.0, 18.0], shoonya_1sU5FOT0D0OGTW, 5691181]
[paragraph, [135.0, 910.0, 549.0, 18.0], shoonya_1sU5FOT0D0OGTW, 5691181]
[paragraph, [136.0, 938.0, 548.0, 18.0], gzESRrWGkv, 5691181]
[paragraph, [136.0, 956.0, 548.0, 18.0], gzESRrWGkv, 5691181]
[paragraph, [136.0, 974.0, 548.0, 18.0], gzESRrWGkv, 5691181]
[paragraph, [136.0, 1000.0, 548.0, 18.0], KCcJOCbfxO, 5691181]
[paragraph, [136.0, 1018.0, 548.0, 18.0], KCcJOCbfxO, 5691181]
[paragraph, [136.0, 1036.0, 548.0, 18.0], KCcJOCbfxO, 5691181]
