[1492, 1000]
[folio, [415.0, 145.0, 205.0, 18.0], shoonya_2sFXSH5WQPJ7Z0, 5720542]
[folio, [415.0, 163.0, 205.0, 18.0], shoonya_2sFXSH5WQPJ7Z0, 5720542]
[paragraph, [141.0, 202.0, 736.0, 18.0], shoonya_1sLR1R5DBLLK72, 5720542]
[paragraph, [141.0, 220.0, 736.0, 18.0], shoonya_1sLR1R5DBLLK72, 5720542]
[paragraph, [141.0, 238.0, 736.0, 18.0], shoonya_1sLR1R5DBLLK72, 5720542]
[paragraph, [141.0, 256.0, 736.0, 18.0], shoonya_1sLR1R5DBLLK72, 5720542]
[paragraph, [141.0, 274.0, 736.0, 18.0], shoonya_1sLR1R5DBLLK72, 5720542]
[paragraph, [141.0, 292.0, 736.0, 18.0], shoonya_1sLR1R5DBLLK72, 5720542]
[paragraph, [141.0, 310.0, 736.0, 18.0], shoonya_1sLR1R5DBLLK72, 5720542]
[paragraph, [141.0, 328.0, 736.0, 18.0], shoonya_1sLR1R5DBLLK72, 5720542]
[paragraph, [141.0, 346.0, 736.0, 18.0], shoonya_1sLR1R5DBLLK72, 5720542]
[paragraph, [141.0, 364.0, 736.0, 18.0], shoonya_1sLR1R5DBLLK72, 5720542]
[paragraph, [141.0, 382.0, 736.0, 18.0], shoonya_1sLR1R5DBLLK72, 5720542]
[paragraph, [145.0, 410.0, 752.0, 18.0], FPqzSwuu2A, 5720542]
[paragraph, [145.0, 428.0, 752.0, 18.0], FPqzSwuu2A, 5720542]
[paragraph, [145.0, 446.0, 752.0, 18.0], FPqzSwuu2A, 5720542]
[paragraph, [145.0, 464.0, 752.0, 18.0], FPqzSwuu2A, 5720542]
[paragraph, [145.0, 482.0, 752.0, 18.0], FPqzSwuu2A, 5720542]
[paragraph, [145.0, 500.0, 752.0, 18.0], FPqzSwuu2A, 5720542]
[paragraph, [145.0, 518.0, 752.0, 18.0], FPqzSwuu2A, 5720542]
[paragraph, [145.0, 536.0, 752.0, 18.0], FPqzSwuu2A, 5720542]
[paragraph, [145.0, 554.0, 752.0, 18.0], FPqzSwuu2A, 5720542]
[paragraph, [145.0, 572.0, 752.0, 18.0], FPqzSwuu2A, 5720542]
[paragraph, [145.0, 590.0, 752.0, 18.0], FPqzSwuu2A, 5720542]
[paragraph, [145.0, 608.0, 752.0, 18.0], FPqzSwuu2A, 5720542]
[paragraph, [145.0, 626.0, 752.0, 18.0], FPqzSwuu2A, 5720542]
[paragraph, [145.0, 644.0, 752.0, 18.0], FPqzSwuu2A, 5720542]
[paragraph, [145.0, 662.0, 752.0, 18.0], FPqzSwuu2A, 5720542]
[paragraph, [145.0, 680.0, 752.0, 18.0], FPqzSwuu2A, 5720542]
[paragraph, [145.0, 698.0, 752.0, 18.0], FPqzSwuu2A, 5720542]
[paragraph, [145.0, 716.0, 752.0, 18.0], FPqzSwuu2A, 5720542]
[paragraph, [145.0, 734.0, 752.0, 18.0], FPqzSwuu2A, 5720542]
[paragraph, [145.0, 752.0, 752.0, 18.0], FPqzSwuu2A, 5720542]
[paragraph, [145.0, 770.0, 752.0, 18.0], FPqzSwuu2A, 5720542]
[paragraph, [145.0, 788.0, 752.0, 18.0], FPqzSwuu2A, 5720542]
[paragraph, [145.0, 806.0, 752.0, 18.0], FPqzSwuu2A, 5720542]
[paragraph, [145.0, 824.0, 752.0, 18.0], FPqzSwuu2A, 5720542]
[paragraph, [145.0, 842.0, 752.0, 18.0], FPqzSwuu2A, 5720542]
[paragraph, [145.0, 860.0, 752.0, 18.0], FPqzSwuu2A, 5720542]
[paragraph, [145.0, 878.0, 752.0, 18.0], FPqzSwuu2A, 5720542]
[paragraph, [145.0, 896.0, 752.0, 18.0], FPqzSwuu2A, 5720542]
[paragraph, [145.0, 914.0, 752.0, 18.0], FPqzSwuu2A, 5720542]
[paragraph, [145.0, 932.0, 752.0, 18.0], FPqzSwuu2A, 5720542]
[paragraph, [145.0, 950.0, 752.0, 18.0], FPqzSwuu2A, 5720542]
[paragraph, [145.0, 968.0, 752.0, 18.0], FPqzSwuu2A, 5720542]
[paragraph, [145.0, 986.0, 752.0, 18.0], FPqzSwuu2A, 5720542]
[paragraph, [145.0, 1004.0, 752.0, 18.0], FPqzSwuu2A, 5720542]
[paragraph, [145.0, 1022.0, 752.0, 18.0], FPqzSwuu2A, 5720542]
[paragraph, [145.0, 1040.0, 752.0, 18.0], FPqzSwuu2A, 5720542]
[paragraph, [145.0, 1058.0, 752.0, 18.0], FPqzSwuu2A, 5720542]
