[2339, 1656]
[paragraph, [185.0, 187.0, 1283.0, 36.0], shoonya_0sZ9HWE26FU721, 5752592]
[paragraph, [185.0, 223.0, 1283.0, 36.0], shoonya_0sZ9HWE26FU721, 5752592]
[paragraph, [185.0, 259.0, 1283.0, 36.0], shoonya_0sZ9HWE26FU721, 5752592]
[paragraph, [185.0, 295.0, 1283.0, 36.0], shoonya_0sZ9HWE26FU721, 5752592]
[paragraph, [185.0, 331.0, 1283.0, 36.0], shoonya_0sZ9HWE26FU721, 5752592]
[paragraph, [185.0, 367.0, 1283.0, 36.0], shoonya_0sZ9HWE26FU721, 5752592]
[paragraph, [185.0, 403.0, 1283.0, 36.0], shoonya_0sZ9HWE26FU721, 5752592]
[paragraph, [185.0, 439.0, 1283.0, 36.0], shoonya_0sZ9HWE26FU721, 5752592]
[paragraph, [185.0, 475.0, 1283.0, 36.0], shoonya_0sZ9HWE26FU721, 5752592]
[paragraph, [185.0, 511.0, 1283.0, 36.0], shoonya_0sZ9HWE26FU721, 5752592]
[paragraph, [186.0, 660.0, 1283.0, 36.0], shoonya_1sBTLW030NJY2Y, 5752592]
[paragraph, [186.0, 696.0, 1283.0, 36.0], shoonya_1sBTLW030NJY2Y, 5752592]
[paragraph, [186.0, 732.0, 1283.0, 36.0], shoonya_1sBTLW030NJY2Y, 5752592]
[paragraph, [186.0, 768.0, 1283.0, 36.0], shoonya_1sBTLW030NJY2Y, 5752592]
[paragraph, [186.0, 804.0, 1283.0, 36.0], shoonya_1sBTLW030NJY2Y, 5752592]
[paragraph, [186.0, 840.0, 1283.0, 36.0], shoonya_1sBTLW030NJY2Y, 5752592]
[paragraph, [186.0, 876.0, 1283.0, 36.0], shoonya_1sBTLW030NJY2Y, 5752592]
[paragraph, [186.0, 912.0, 1283.0, 36.0], shoonya_1sBTLW030NJY2Y, 5752592]
[paragraph, [186.0, 948.0, 1283.0, 36.0], shoonya_1sBTLW030NJY2Y, 5752592]
[paragraph, [186.0, 984.0, 1283.0, 36.0], shoonya_1sBTLW030NJY2Y, 5752592]
[paragraph, [186.0, 1020.0, 1283.0, 36.0], shoonya_1sBTLW030NJY2Y, 5752592]
[paragraph, [186.0, 1056.0, 1283.0, 36.0], shoonya_1sBTLW030NJY2Y, 5752592]
[paragraph, [186.0, 1092.0, 1283.0, 36.0], shoonya_1sBTLW030NJY2Y, 5752592]
[paragraph, [186.0, 1128.0, 1283.0, 36.0], shoonya_1sBTLW030NJY2Y, 5752592]
[paragraph, [186.0, 1164.0, 1283.0, 36.0], shoonya_1sBTLW030NJY2Y, 5752592]
[paragraph, [186.0, 1200.0, 1283.0, 36.0], shoonya_1sBTLW030NJY2Y, 5752592]
[paragraph, [186.0, 1236.0, 1283.0, 36.0], shoonya_1sBTLW030NJY2Y, 5752592]
[paragraph, [186.0, 1272.0, 1283.0, 36.0], shoonya_1sBTLW030NJY2Y, 5752592]
[paragraph, [186.0, 1308.0, 1283.0, 36.0], shoonya_1sBTLW030NJY2Y, 5752592]
[paragraph, [186.0, 1344.0, 1283.0, 36.0], shoonya_1sBTLW030NJY2Y, 5752592]
[paragraph, [186.0, 1380.0, 1283.0, 36.0], shoonya_1sBTLW030NJY2Y, 5752592]
[paragraph, [186.0, 1416.0, 1283.0, 36.0], shoonya_1sBTLW030NJY2Y, 5752592]
[paragraph, [186.0, 1452.0, 1283.0, 36.0], shoonya_1sBTLW030NJY2Y, 5752592]
[paragraph, [186.0, 1488.0, 1283.0, 36.0], shoonya_1sBTLW030NJY2Y, 5752592]
[paragraph, [186.0, 1524.0, 1283.0, 36.0], shoonya_1sBTLW030NJY2Y, 5752592]
[paragraph, [186.0, 1560.0, 1283.0, 36.0], shoonya_1sBTLW030NJY2Y, 5752592]
[paragraph, [186.0, 1596.0, 1283.0, 36.0], shoonya_1sBTLW030NJY2Y, 5752592]
[paragraph, [186.0, 1632.0, 1283.0, 36.0], shoonya_1sBTLW030NJY2Y, 5752592]
[paragraph, [186.0, 1668.0, 1283.0, 36.0], shoonya_1sBTLW030NJY2Y, 5752592]
[paragraph, [186.0, 1704.0, 1283.0, 36.0], shoonya_1sBTLW030NJY2Y, 5752592]
[paragraph, [186.0, 1740.0, 1283.0, 36.0], shoonya_1sBTLW030NJY2Y, 5752592]
[paragraph, [186.0, 1776.0, 1283.0, 36.0], shoonya_1sBTLW030NJY2Y, 5752592]
[paragraph, [186.0, 1812.0, 1283.0, 36.0], shoonya_1sBTLW030NJY2Y, 5752592]
[paragraph, [186.0, 1848.0, 1283.0, 36.0], shoonya_1sBTLW030NJY2Y, 5752592]
[paragraph, [186.0, 1989.0, 1248.0, 36.0], ZDThctEu2n, 5752592]
[folio, [298.0, 2144.0, 476.0, 36.0], pusjqMHckM, 5752592]
