[1754, 1241]
[paragraph, [274.0, 236.0, 821.0, 36.0], CgRc4B2Wd_, 6470647]
[paragraph, [274.0, 272.0, 821.0, 36.0], CgRc4B2Wd_, 6470647]
[paragraph, [274.0, 308.0, 821.0, 36.0], CgRc4B2Wd_, 6470647]
[paragraph, [274.0, 344.0, 821.0, 36.0], CgRc4B2Wd_, 6470647]
[paragraph, [274.0, 380.0, 821.0, 36.0], CgRc4B2Wd_, 6470647]
[paragraph, [274.0, 416.0, 821.0, 36.0], CgRc4B2Wd_, 6470647]
[paragraph, [274.0, 452.0, 821.0, 36.0], CgRc4B2Wd_, 6470647]
[paragraph, [274.0, 488.0, 821.0, 36.0], CgRc4B2Wd_, 6470647]
[paragraph, [274.0, 524.0, 821.0, 36.0], CgRc4B2Wd_, 6470647]
[paragraph, [274.0, 560.0, 821.0, 36.0], CgRc4B2Wd_, 6470647]
[paragraph, [274.0, 596.0, 821.0, 36.0], CgRc4B2Wd_, 6470647]
[paragraph, [274.0, 632.0, 821.0, 36.0], CgRc4B2Wd_, 6470647]
[paragraph, [274.0, 668.0, 821.0, 36.0], CgRc4B2Wd_, 6470647]
[paragraph, [274.0, 704.0, 821.0, 36.0], CgRc4B2Wd_, 6470647]
[paragraph, [274.0, 740.0, 821.0, 36.0], CgRc4B2Wd_, 6470647]
[paragraph, [274.0, 776.0, 821.0, 36.0], CgRc4B2Wd_, 6470647]
[paragraph, [274.0, 812.0, 821.0, 36.0], CgRc4B2Wd_, 6470647]
[paragraph, [274.0, 848.0, 821.0, 36.0], CgRc4B2Wd_, 6470647]
[paragraph, [274.0, 884.0, 821.0, 36.0], CgRc4B2Wd_, 6470647]
[paragraph, [274.0, 920.0, 821.0, 36.0], CgRc4B2Wd_, 6470647]
[paragraph, [269.0, 986.0, 811.0, 36.0], shoonya_0sUXGQNY9U5CFC, 6470647]
[paragraph, [269.0, 1022.0, 811.0, 36.0], shoonya_0sUXGQNY9U5CFC, 6470647]
[paragraph, [269.0, 1058.0, 811.0, 36.0], shoonya_0sUXGQNY9U5CFC, 6470647]
[paragraph, [269.0, 1094.0, 811.0, 36.0], shoonya_0sUXGQNY9U5CFC, 6470647]
[paragraph, [269.0, 1130.0, 811.0, 36.0], shoonya_0sUXGQNY9U5CFC, 6470647]
[paragraph, [269.0, 1166.0, 811.0, 36.0], shoonya_0sUXGQNY9U5CFC, 6470647]
[paragraph, [269.0, 1202.0, 811.0, 36.0], shoonya_0sUXGQNY9U5CFC, 6470647]
[paragraph, [269.0, 1238.0, 811.0, 36.0], shoonya_0sUXGQNY9U5CFC, 6470647]
[paragraph, [264.0, 1283.0, 808.0, 36.0], 74UbL70tR0, 6470647]
[paragraph, [264.0, 1319.0, 808.0, 36.0], 74UbL70tR0, 6470647]
[paragraph, [264.0, 1355.0, 808.0, 36.0], 74UbL70tR0, 6470647]
