[1008, 682]
[paragraph, [57.0, 24.0, 551.0, 18.0], shoonya_0s0MHFA007OGZ7, 5691141]
[paragraph, [57.0, 42.0, 551.0, 18.0], shoonya_0s0MHFA007OGZ7, 5691141]
[paragraph, [57.0, 60.0, 551.0, 18.0], shoonya_0s0MHFA007OGZ7, 5691141]
[paragraph, [57.0, 78.0, 551.0, 18.0], shoonya_0s0MHFA007OGZ7, 5691141]
[paragraph, [57.0, 96.0, 551.0, 18.0], shoonya_0s0MHFA007OGZ7, 5691141]
[paragraph, [57.0, 114.0, 551.0, 18.0], shoonya_0s0MHFA007OGZ7, 5691141]
[paragraph, [57.0, 132.0, 551.0, 18.0], shoonya_0s0MHFA007OGZ7, 5691141]
[paragraph, [57.0, 150.0, 551.0, 18.0], shoonya_0s0MHFA007OGZ7, 5691141]
[paragraph, [57.0, 168.0, 551.0, 18.0], shoonya_0s0MHFA007OGZ7, 5691141]
[paragraph, [57.0, 186.0, 551.0, 18.0], shoonya_0s0MHFA007OGZ7, 5691141]
[paragraph, [57.0, 204.0, 551.0, 18.0], shoonya_0s0MHFA007OGZ7, 5691141]
[paragraph, [57.0, 222.0, 551.0, 18.0], shoonya_0s0MHFA007OGZ7, 5691141]
[paragraph, [54.0, 262.0, 548.0, 18.0], shoonya_4sPBBY9Z5CAR6T, 5691141]
[paragraph, [54.0, 280.0, 548.0, 18.0], shoonya_4sPBBY9Z5CAR6T, 5691141]
[paragraph, [54.0, 298.0, 548.0, 18.0], shoonya_4sPBBY9Z5CAR6T, 5691141]
[paragraph, [54.0, 316.0, 548.0, 18.0], shoonya_4sPBBY9Z5CAR6T, 5691141]
[paragraph, [54.0, 334.0, 548.0, 18.0], shoonya_4sPBBY9Z5CAR6T, 5691141]
[paragraph, [48.0, 352.0, 549.0, 18.0], 8zSE7u11Oq, 5691141]
[paragraph, [48.0, 370.0, 549.0, 18.0], 8zSE7u11Oq, 5691141]
[paragraph, [48.0, 388.0, 549.0, 18.0], 8zSE7u11Oq, 5691141]
[paragraph, [48.0, 406.0, 549.0, 18.0], 8zSE7u11Oq, 5691141]
[paragraph, [48.0, 424.0, 549.0, 18.0], 8zSE7u11Oq, 5691141]
[paragraph, [48.0, 442.0, 549.0, 18.0], 8zSE7u11Oq, 5691141]
[paragraph, [48.0, 460.0, 549.0, 18.0], 8zSE7u11Oq, 5691141]
[paragraph, [48.0, 478.0, 549.0, 18.0], 8zSE7u11Oq, 5691141]
[paragraph, [48.0, 496.0, 549.0, 18.0], 8zSE7u11Oq, 5691141]
[paragraph, [48.0, 514.0, 549.0, 18.0], 8zSE7u11Oq, 5691141]
[paragraph, [48.0, 532.0, 549.0, 18.0], 8zSE7u11Oq, 5691141]
[paragraph, [48.0, 550.0, 549.0, 18.0], 8zSE7u11Oq, 5691141]
[paragraph, [48.0, 568.0, 549.0, 18.0], 8zSE7u11Oq, 5691141]
[paragraph, [48.0, 586.0, 549.0, 18.0], 8zSE7u11Oq, 5691141]
[paragraph, [46.0, 608.0, 547.0, 18.0], pdjz3B3AVb, 5691141]
[paragraph, [46.0, 626.0, 547.0, 18.0], pdjz3B3AVb, 5691141]
[paragraph, [46.0, 644.0, 547.0, 18.0], pdjz3B3AVb, 5691141]
[paragraph, [46.0, 662.0, 547.0, 18.0], pdjz3B3AVb, 5691141]
[paragraph, [46.0, 680.0, 547.0, 18.0], pdjz3B3AVb, 5691141]
[paragraph, [46.0, 698.0, 547.0, 18.0], pdjz3B3AVb, 5691141]
[paragraph, [46.0, 716.0, 547.0, 18.0], pdjz3B3AVb, 5691141]
[paragraph, [34.0, 728.0, 561.0, 18.0], KVwdIEilji, 5691141]
[paragraph, [34.0, 746.0, 561.0, 18.0], KVwdIEilji, 5691141]
[paragraph, [34.0, 764.0, 561.0, 18.0], KVwdIEilji, 5691141]
[paragraph, [34.0, 782.0, 561.0, 18.0], KVwdIEilji, 5691141]
[paragraph, [34.0, 800.0, 561.0, 18.0], KVwdIEilji, 5691141]
[paragraph, [34.0, 818.0, 561.0, 18.0], KVwdIEilji, 5691141]
[paragraph, [34.0, 836.0, 561.0, 18.0], KVwdIEilji, 5691141]
[paragraph, [34.0, 854.0, 561.0, 18.0], KVwdIEilji, 5691141]
[paragraph, [34.0, 872.0, 561.0, 18.0], KVwdIEilji, 5691141]
[paragraph, [34.0, 890.0, 561.0, 18.0], KVwdIEilji, 5691141]
[paragraph, [34.0, 908.0, 561.0, 18.0], KVwdIEilji, 5691141]
[paragraph, [34.0, 926.0, 561.0, 18.0], KVwdIEilji, 5691141]
