[2339, 1653]
[folio, [1154.0, 168.0, 195.0, 36.0], ndynqGTKGF, 5685670]
[paragraph, [320.0, 248.0, 1168.0, 36.0], shoonya_0sO5OATNN7OXV7, 5685670]
[paragraph, [320.0, 284.0, 1168.0, 36.0], shoonya_0sO5OATNN7OXV7, 5685670]
[paragraph, [320.0, 320.0, 1168.0, 36.0], shoonya_0sO5OATNN7OXV7, 5685670]
[paragraph, [320.0, 356.0, 1168.0, 36.0], shoonya_0sO5OATNN7OXV7, 5685670]
[paragraph, [320.0, 392.0, 1168.0, 36.0], shoonya_0sO5OATNN7OXV7, 5685670]
[paragraph, [320.0, 428.0, 1168.0, 36.0], shoonya_0sO5OATNN7OXV7, 5685670]
[paragraph, [320.0, 464.0, 1168.0, 36.0], shoonya_0sO5OATNN7OXV7, 5685670]
[paragraph, [320.0, 500.0, 1168.0, 36.0], shoonya_0sO5OATNN7OXV7, 5685670]
[paragraph, [320.0, 536.0, 1168.0, 36.0], shoonya_0sO5OATNN7OXV7, 5685670]
[paragraph, [320.0, 572.0, 1168.0, 36.0], shoonya_0sO5OATNN7OXV7, 5685670]
[paragraph, [320.0, 608.0, 1168.0, 36.0], shoonya_0sO5OATNN7OXV7, 5685670]
[paragraph, [318.0, 682.0, 1175.0, 36.0], shoonya_1sO4EKRX9DNBNG, 5685670]
[paragraph, [318.0, 718.0, 1175.0, 36.0], shoonya_1sO4EKRX9DNBNG, 5685670]
[paragraph, [318.0, 754.0, 1175.0, 36.0], shoonya_1sO4EKRX9DNBNG, 5685670]
[paragraph, [318.0, 790.0, 1175.0, 36.0], shoonya_1sO4EKRX9DNBNG, 5685670]
[paragraph, [318.0, 826.0, 1175.0, 36.0], shoonya_1sO4EKRX9DNBNG, 5685670]
[paragraph, [318.0, 862.0, 1175.0, 36.0], shoonya_1sO4EKRX9DNBNG, 5685670]
[paragraph, [318.0, 898.0, 1175.0, 36.0], shoonya_1sO4EKRX9DNBNG, 5685670]
[paragraph, [318.0, 934.0, 1175.0, 36.0], shoonya_1sO4EKRX9DNBNG, 5685670]
[paragraph, [318.0, 970.0, 1175.0, 36.0], shoonya_1sO4EKRX9DNBNG, 5685670]
[paragraph, [318.0, 1006.0, 1175.0, 36.0], shoonya_1sO4EKRX9DNBNG, 5685670]
[paragraph, [318.0, 1042.0, 1175.0, 36.0], shoonya_1sO4EKRX9DNBNG, 5685670]
[paragraph, [315.0, 1122.0, 1176.0, 36.0], shoonya_2sOKALTQ5TU2V7, 5685670]
[paragraph, [315.0, 1158.0, 1176.0, 36.0], shoonya_2sOKALTQ5TU2V7, 5685670]
[paragraph, [315.0, 1194.0, 1176.0, 36.0], shoonya_2sOKALTQ5TU2V7, 5685670]
[paragraph, [315.0, 1230.0, 1176.0, 36.0], shoonya_2sOKALTQ5TU2V7, 5685670]
[paragraph, [315.0, 1266.0, 1176.0, 36.0], shoonya_2sOKALTQ5TU2V7, 5685670]
[paragraph, [315.0, 1302.0, 1176.0, 36.0], shoonya_2sOKALTQ5TU2V7, 5685670]
[paragraph, [315.0, 1338.0, 1176.0, 36.0], shoonya_2sOKALTQ5TU2V7, 5685670]
[paragraph, [315.0, 1374.0, 1176.0, 36.0], shoonya_2sOKALTQ5TU2V7, 5685670]
[paragraph, [315.0, 1410.0, 1176.0, 36.0], shoonya_2sOKALTQ5TU2V7, 5685670]
[paragraph, [315.0, 1446.0, 1176.0, 36.0], shoonya_2sOKALTQ5TU2V7, 5685670]
