[1387, 987]
[paragraph, [72.0, 97.0, 805.0, 18.0], shoonya_0s47U2XWJN7T0H, 5652420]
[paragraph, [72.0, 115.0, 805.0, 18.0], shoonya_0s47U2XWJN7T0H, 5652420]
[paragraph, [72.0, 133.0, 805.0, 18.0], shoonya_0s47U2XWJN7T0H, 5652420]
[paragraph, [72.0, 151.0, 805.0, 18.0], shoonya_0s47U2XWJN7T0H, 5652420]
[paragraph, [72.0, 169.0, 805.0, 18.0], shoonya_0s47U2XWJN7T0H, 5652420]
[paragraph, [72.0, 187.0, 805.0, 18.0], shoonya_0s47U2XWJN7T0H, 5652420]
[paragraph, [57.0, 220.0, 858.0, 18.0], Hpq7q41Emm, 5652420]
[paragraph, [57.0, 238.0, 858.0, 18.0], Hpq7q41Emm, 5652420]
[paragraph, [57.0, 256.0, 858.0, 18.0], Hpq7q41Emm, 5652420]
[paragraph, [57.0, 274.0, 858.0, 18.0], Hpq7q41Emm, 5652420]
[paragraph, [57.0, 292.0, 858.0, 18.0], Hpq7q41Emm, 5652420]
[paragraph, [57.0, 310.0, 858.0, 18.0], Hpq7q41Emm, 5652420]
[paragraph, [57.0, 328.0, 858.0, 18.0], Hpq7q41Emm, 5652420]
[paragraph, [57.0, 346.0, 858.0, 18.0], Hpq7q41Emm, 5652420]
[paragraph, [57.0, 364.0, 858.0, 18.0], Hpq7q41Emm, 5652420]
[paragraph, [57.0, 382.0, 858.0, 18.0], Hpq7q41Emm, 5652420]
[paragraph, [57.0, 400.0, 858.0, 18.0], Hpq7q41Emm, 5652420]
[paragraph, [57.0, 418.0, 858.0, 18.0], Hpq7q41Emm, 5652420]
[paragraph, [83.0, 461.0, 856.0, 18.0], 92ixW313NJ, 5652420]
[paragraph, [83.0, 479.0, 856.0, 18.0], 92ixW313NJ, 5652420]
[paragraph, [83.0, 497.0, 856.0, 18.0], 92ixW313NJ, 5652420]
[paragraph, [83.0, 515.0, 856.0, 18.0], 92ixW313NJ, 5652420]
[paragraph, [83.0, 533.0, 856.0, 18.0], 92ixW313NJ, 5652420]
[paragraph, [83.0, 551.0, 856.0, 18.0], 92ixW313NJ, 5652420]
[paragraph, [83.0, 569.0, 856.0, 18.0], 92ixW313NJ, 5652420]
[paragraph, [83.0, 587.0, 856.0, 18.0], 92ixW313NJ, 5652420]
[paragraph, [83.0, 605.0, 856.0, 18.0], 92ixW313NJ, 5652420]
[paragraph, [83.0, 623.0, 856.0, 18.0], 92ixW313NJ, 5652420]
[paragraph, [83.0, 641.0, 856.0, 18.0], 92ixW313NJ, 5652420]
[paragraph, [83.0, 659.0, 856.0, 18.0], 92ixW313NJ, 5652420]
[paragraph, [83.0, 677.0, 856.0, 18.0], 92ixW313NJ, 5652420]
[paragraph, [51.0, 708.0, 889.0, 18.0], bMdIwQie-i, 5652420]
[paragraph, [51.0, 726.0, 889.0, 18.0], bMdIwQie-i, 5652420]
[paragraph, [51.0, 744.0, 889.0, 18.0], bMdIwQie-i, 5652420]
[paragraph, [51.0, 762.0, 889.0, 18.0], bMdIwQie-i, 5652420]
[paragraph, [51.0, 780.0, 889.0, 18.0], bMdIwQie-i, 5652420]
[paragraph, [51.0, 798.0, 889.0, 18.0], bMdIwQie-i, 5652420]
[paragraph, [51.0, 816.0, 889.0, 18.0], bMdIwQie-i, 5652420]
[paragraph, [51.0, 834.0, 889.0, 18.0], bMdIwQie-i, 5652420]
[paragraph, [51.0, 852.0, 889.0, 18.0], bMdIwQie-i, 5652420]
[paragraph, [51.0, 870.0, 889.0, 18.0], bMdIwQie-i, 5652420]
[paragraph, [75.0, 887.0, 868.0, 18.0], 9ciJ46H7Y8, 5652420]
[paragraph, [75.0, 905.0, 868.0, 18.0], 9ciJ46H7Y8, 5652420]
[paragraph, [75.0, 923.0, 868.0, 18.0], 9ciJ46H7Y8, 5652420]
[paragraph, [75.0, 941.0, 868.0, 18.0], 9ciJ46H7Y8, 5652420]
[paragraph, [75.0, 959.0, 868.0, 18.0], 9ciJ46H7Y8, 5652420]
[paragraph, [75.0, 977.0, 868.0, 18.0], 9ciJ46H7Y8, 5652420]
[paragraph, [75.0, 995.0, 868.0, 18.0], 9ciJ46H7Y8, 5652420]
[paragraph, [75.0, 1013.0, 868.0, 18.0], 9ciJ46H7Y8, 5652420]
[paragraph, [75.0, 1031.0, 868.0, 18.0], 9ciJ46H7Y8, 5652420]
[paragraph, [75.0, 1049.0, 868.0, 18.0], 9ciJ46H7Y8, 5652420]
[paragraph, [75.0, 1067.0, 868.0, 18.0], 9ciJ46H7Y8, 5652420]
[paragraph, [75.0, 1085.0, 868.0, 18.0], 9ciJ46H7Y8, 5652420]
[paragraph, [75.0, 1103.0, 868.0, 18.0], 9ciJ46H7Y8, 5652420]
[paragraph, [67.0, 1133.0, 879.0, 18.0], xppQwv0WbY, 5652420]
[paragraph, [67.0, 1151.0, 879.0, 18.0], xppQwv0WbY, 5652420]
[paragraph, [67.0, 1169.0, 879.0, 18.0], xppQwv0WbY, 5652420]
[paragraph, [67.0, 1187.0, 879.0, 18.0], xppQwv0WbY, 5652420]
[paragraph, [67.0, 1205.0, 879.0, 18.0], xppQwv0WbY, 5652420]
[paragraph, [67.0, 1223.0, 879.0, 18.0], xppQwv0WbY, 5652420]
[paragraph, [67.0, 1241.0, 879.0, 18.0], xppQwv0WbY, 5652420]
