[2280, 1780]
[folio, [102.0, 55.0, 287.0, 36.0], n3hpYr0sDk, 5754959]
[folio, [1215.0, 118.0, 426.0, 36.0], DkHwcgZUWd, 5754959]
[folio, [1215.0, 154.0, 426.0, 36.0], DkHwcgZUWd, 5754959]
[dateline, [156.0, 131.0, 538.0, 64.5], aXdDRcI0t6, 5754959]
[options, [348.0, 649.0, 1169.0, 36.0], zPqGv8kggf, 5754959]
[options, [348.0, 685.0, 1169.0, 36.0], zPqGv8kggf, 5754959]
[options, [348.0, 721.0, 1169.0, 36.0], zPqGv8kggf, 5754959]
[options, [288.0, 930.0, 513.0, 36.0], shoonya_12s79ETEFIOJMI, 5754959]
[options, [288.0, 966.0, 513.0, 36.0], shoonya_12s79ETEFIOJMI, 5754959]
[options, [288.0, 1002.0, 513.0, 36.0], shoonya_12s79ETEFIOJMI, 5754959]
[options, [288.0, 1038.0, 513.0, 36.0], shoonya_12s79ETEFIOJMI, 5754959]
[options, [288.0, 1074.0, 513.0, 36.0], shoonya_12s79ETEFIOJMI, 5754959]
[options, [288.0, 1110.0, 513.0, 36.0], shoonya_12s79ETEFIOJMI, 5754959]
[options, [288.0, 1146.0, 513.0, 36.0], shoonya_12s79ETEFIOJMI, 5754959]
[options, [288.0, 1182.0, 513.0, 36.0], shoonya_12s79ETEFIOJMI, 5754959]
[options, [288.0, 1218.0, 513.0, 36.0], shoonya_12s79ETEFIOJMI, 5754959]
[options, [288.0, 1254.0, 513.0, 36.0], shoonya_12s79ETEFIOJMI, 5754959]
[options, [941.0, 931.0, 622.0, 36.0], h7y940U44r, 5754959]
[options, [941.0, 967.0, 622.0, 36.0], h7y940U44r, 5754959]
[options, [941.0, 1003.0, 622.0, 36.0], h7y940U44r, 5754959]
[options, [941.0, 1039.0, 622.0, 36.0], h7y940U44r, 5754959]
[options, [941.0, 1075.0, 622.0, 36.0], h7y940U44r, 5754959]
[options, [941.0, 1111.0, 622.0, 36.0], h7y940U44r, 5754959]
[options, [941.0, 1147.0, 622.0, 36.0], h7y940U44r, 5754959]
[options, [941.0, 1183.0, 622.0, 36.0], h7y940U44r, 5754959]
[options, [941.0, 1219.0, 622.0, 36.0], h7y940U44r, 5754959]
[options, [941.0, 1255.0, 622.0, 36.0], h7y940U44r, 5754959]
[options, [941.0, 1291.0, 622.0, 36.0], h7y940U44r, 5754959]
[placeholder-text, [249.0, 1474.0, 1371.0, 18.0], w99MYXRNDl, 5754959]
[placeholder-text, [249.0, 1492.0, 1371.0, 18.0], w99MYXRNDl, 5754959]
[placeholder-text, [249.0, 1510.0, 1371.0, 18.0], w99MYXRNDl, 5754959]
[placeholder-text, [249.0, 1528.0, 1371.0, 18.0], w99MYXRNDl, 5754959]
[placeholder-text, [249.0, 1546.0, 1371.0, 18.0], w99MYXRNDl, 5754959]
[placeholder-text, [252.0, 1715.0, 1365.0, 18.0], A6VqX_hic2, 5754959]
[placeholder-text, [252.0, 1733.0, 1365.0, 18.0], A6VqX_hic2, 5754959]
[placeholder-text, [252.0, 1751.0, 1365.0, 18.0], A6VqX_hic2, 5754959]
[placeholder-text, [252.0, 1769.0, 1365.0, 18.0], A6VqX_hic2, 5754959]
[placeholder-text, [252.0, 1787.0, 1365.0, 18.0], A6VqX_hic2, 5754959]
[placeholder-text, [252.0, 1805.0, 1365.0, 18.0], A6VqX_hic2, 5754959]
[placeholder-text, [252.0, 1823.0, 1365.0, 18.0], A6VqX_hic2, 5754959]
[placeholder-text, [252.0, 1841.0, 1365.0, 18.0], A6VqX_hic2, 5754959]
[placeholder-text, [252.0, 1859.0, 1365.0, 18.0], A6VqX_hic2, 5754959]
[placeholder-text, [252.0, 1877.0, 1365.0, 18.0], A6VqX_hic2, 5754959]
[placeholder-text, [252.0, 1895.0, 1365.0, 18.0], A6VqX_hic2, 5754959]
[placeholder-text, [252.0, 1913.0, 1365.0, 18.0], A6VqX_hic2, 5754959]
[placeholder-text, [252.0, 1931.0, 1365.0, 18.0], A6VqX_hic2, 5754959]
[placeholder-text, [252.0, 1949.0, 1365.0, 18.0], A6VqX_hic2, 5754959]
[placeholder-text, [252.0, 1967.0, 1365.0, 18.0], A6VqX_hic2, 5754959]
[placeholder-text, [252.0, 1985.0, 1365.0, 18.0], A6VqX_hic2, 5754959]
[placeholder-text, [252.0, 2003.0, 1365.0, 18.0], A6VqX_hic2, 5754959]
[placeholder-text, [252.0, 2021.0, 1365.0, 18.0], A6VqX_hic2, 5754959]
[placeholder-text, [252.0, 2039.0, 1365.0, 18.0], A6VqX_hic2, 5754959]
[placeholder-text, [252.0, 2057.0, 1365.0, 18.0], A6VqX_hic2, 5754959]
[placeholder-text, [252.0, 2075.0, 1365.0, 18.0], A6VqX_hic2, 5754959]
[placeholder-text, [252.0, 2093.0, 1365.0, 18.0], A6VqX_hic2, 5754959]
[placeholder-text, [252.0, 2111.0, 1365.0, 18.0], A6VqX_hic2, 5754959]
