[842, 595]
[placeholder-text, [0.0, 90.0, 588.0, 18.0], shoonya_0sT2JIM0VFEPHU, 5772947]
[placeholder-text, [0.0, 108.0, 588.0, 18.0], shoonya_0sT2JIM0VFEPHU, 5772947]
[placeholder-text, [0.0, 126.0, 588.0, 18.0], shoonya_0sT2JIM0VFEPHU, 5772947]
[placeholder-text, [0.0, 144.0, 588.0, 18.0], shoonya_0sT2JIM0VFEPHU, 5772947]
[placeholder-text, [0.0, 162.0, 588.0, 18.0], shoonya_0sT2JIM0VFEPHU, 5772947]
[placeholder-text, [0.0, 180.0, 588.0, 18.0], shoonya_0sT2JIM0VFEPHU, 5772947]
[placeholder-text, [0.0, 198.0, 588.0, 18.0], shoonya_0sT2JIM0VFEPHU, 5772947]
[placeholder-text, [0.0, 216.0, 588.0, 18.0], shoonya_0sT2JIM0VFEPHU, 5772947]
[placeholder-text, [0.0, 234.0, 588.0, 18.0], shoonya_0sT2JIM0VFEPHU, 5772947]
[placeholder-text, [0.0, 252.0, 588.0, 18.0], shoonya_0sT2JIM0VFEPHU, 5772947]
[placeholder-text, [0.0, 270.0, 588.0, 18.0], shoonya_0sT2JIM0VFEPHU, 5772947]
[placeholder-text, [0.0, 288.0, 588.0, 18.0], shoonya_0sT2JIM0VFEPHU, 5772947]
[placeholder-text, [0.0, 306.0, 588.0, 18.0], shoonya_0sT2JIM0VFEPHU, 5772947]
[placeholder-text, [0.0, 324.0, 588.0, 18.0], shoonya_0sT2JIM0VFEPHU, 5772947]
[placeholder-text, [0.0, 342.0, 588.0, 18.0], shoonya_0sT2JIM0VFEPHU, 5772947]
[placeholder-text, [0.0, 360.0, 588.0, 18.0], shoonya_0sT2JIM0VFEPHU, 5772947]
[placeholder-text, [0.0, 378.0, 588.0, 18.0], shoonya_0sT2JIM0VFEPHU, 5772947]
[placeholder-text, [0.0, 396.0, 588.0, 18.0], shoonya_0sT2JIM0VFEPHU, 5772947]
[placeholder-text, [0.0, 414.0, 588.0, 18.0], shoonya_0sT2JIM0VFEPHU, 5772947]
[placeholder-text, [0.0, 432.0, 588.0, 18.0], shoonya_0sT2JIM0VFEPHU, 5772947]
[placeholder-text, [0.0, 450.0, 588.0, 18.0], shoonya_0sT2JIM0VFEPHU, 5772947]
[placeholder-text, [0.0, 468.0, 588.0, 18.0], shoonya_0sT2JIM0VFEPHU, 5772947]
[placeholder-text, [0.0, 486.0, 588.0, 18.0], shoonya_0sT2JIM0VFEPHU, 5772947]
[placeholder-text, [0.0, 504.0, 588.0, 18.0], shoonya_0sT2JIM0VFEPHU, 5772947]
[placeholder-text, [0.0, 522.0, 588.0, 18.0], shoonya_0sT2JIM0VFEPHU, 5772947]
[placeholder-text, [0.0, 540.0, 588.0, 18.0], shoonya_0sT2JIM0VFEPHU, 5772947]
[placeholder-text, [0.0, 558.0, 588.0, 18.0], shoonya_0sT2JIM0VFEPHU, 5772947]
[placeholder-text, [0.0, 576.0, 588.0, 18.0], shoonya_0sT2JIM0VFEPHU, 5772947]
[placeholder-text, [0.0, 594.0, 588.0, 18.0], shoonya_0sT2JIM0VFEPHU, 5772947]
[placeholder-text, [0.0, 612.0, 588.0, 18.0], shoonya_0sT2JIM0VFEPHU, 5772947]
[placeholder-text, [0.0, 630.0, 588.0, 18.0], shoonya_0sT2JIM0VFEPHU, 5772947]
[placeholder-text, [0.0, 648.0, 588.0, 18.0], shoonya_0sT2JIM0VFEPHU, 5772947]
[placeholder-text, [0.0, 666.0, 588.0, 18.0], shoonya_0sT2JIM0VFEPHU, 5772947]
[placeholder-text, [0.0, 684.0, 588.0, 18.0], shoonya_0sT2JIM0VFEPHU, 5772947]
[placeholder-text, [0.0, 702.0, 588.0, 18.0], shoonya_0sT2JIM0VFEPHU, 5772947]
[placeholder-text, [0.0, 720.0, 588.0, 18.0], shoonya_0sT2JIM0VFEPHU, 5772947]
[folio, [62.0, 743.0, 60.0, 18.0], Nvu1qpXkri, 5772947]
