[3896, 2355]
[paragraph, [179.0, 388.0, 1969.0, 52.5], EQlC0UmuuT, 5768651]
[paragraph, [179.0, 440.5, 1969.0, 52.5], EQlC0UmuuT, 5768651]
[paragraph, [179.0, 493.0, 1969.0, 52.5], EQlC0UmuuT, 5768651]
[paragraph, [179.0, 545.5, 1969.0, 52.5], EQlC0UmuuT, 5768651]
[paragraph, [179.0, 598.0, 1969.0, 52.5], EQlC0UmuuT, 5768651]
[paragraph, [179.0, 650.5, 1969.0, 52.5], EQlC0UmuuT, 5768651]
[paragraph, [179.0, 703.0, 1969.0, 52.5], EQlC0UmuuT, 5768651]
[author, [950.0, 765.0, 1189.0, 52.5], IaLJ5RyWLC, 5768651]
[author, [950.0, 817.5, 1189.0, 52.5], IaLJ5RyWLC, 5768651]
[folio, [1077.0, 936.0, 197.0, 52.5], lgpMXsJsZj, 5768651]
[folio, [1077.0, 988.5, 197.0, 52.5], lgpMXsJsZj, 5768651]
[folio, [1077.0, 1041.0, 197.0, 52.5], lgpMXsJsZj, 5768651]
[paragraph, [150.0, 1063.0, 2013.0, 52.5], OuXkD4r2d3, 5768651]
[paragraph, [150.0, 1115.5, 2013.0, 52.5], OuXkD4r2d3, 5768651]
[paragraph, [150.0, 1168.0, 2013.0, 52.5], OuXkD4r2d3, 5768651]
[paragraph, [150.0, 1220.5, 2013.0, 52.5], OuXkD4r2d3, 5768651]
[paragraph, [150.0, 1273.0, 2013.0, 52.5], OuXkD4r2d3, 5768651]
[paragraph, [150.0, 1325.5, 2013.0, 52.5], OuXkD4r2d3, 5768651]
[paragraph, [150.0, 1378.0, 2013.0, 52.5], OuXkD4r2d3, 5768651]
[paragraph, [285.0, 1481.0, 1427.0, 52.5], M36lFqNLyk, 5768651]
[paragraph, [285.0, 1533.5, 1427.0, 52.5], M36lFqNLyk, 5768651]
[paragraph, [309.0, 1593.0, 1089.0, 52.5], Uy7RWuuPMb, 5768651]
[paragraph, [309.0, 1645.5, 1089.0, 52.5], Uy7RWuuPMb, 5768651]
[paragraph, [185.0, 1713.0, 1942.0, 52.5], NaSJI_fhwP, 5768651]
[paragraph, [185.0, 1765.5, 1942.0, 52.5], NaSJI_fhwP, 5768651]
[paragraph, [185.0, 1818.0, 1942.0, 52.5], NaSJI_fhwP, 5768651]
[paragraph, [185.0, 1870.5, 1942.0, 52.5], NaSJI_fhwP, 5768651]
[paragraph, [185.0, 1923.0, 1942.0, 52.5], NaSJI_fhwP, 5768651]
[paragraph, [185.0, 1961.0, 1948.0, 52.5], F-JuDqNKaq, 5768651]
[paragraph, [185.0, 2013.5, 1948.0, 52.5], F-JuDqNKaq, 5768651]
[paragraph, [185.0, 2066.0, 1948.0, 52.5], F-JuDqNKaq, 5768651]
[paragraph, [185.0, 2118.5, 1948.0, 52.5], F-JuDqNKaq, 5768651]
[paragraph, [185.0, 2171.0, 1948.0, 52.5], F-JuDqNKaq, 5768651]
[paragraph, [182.0, 2311.0, 1954.0, 52.5], JiShzz1jwZ, 5768651]
[paragraph, [182.0, 2363.5, 1954.0, 52.5], JiShzz1jwZ, 5768651]
[paragraph, [182.0, 2416.0, 1954.0, 52.5], JiShzz1jwZ, 5768651]
[paragraph, [182.0, 2468.5, 1954.0, 52.5], JiShzz1jwZ, 5768651]
[paragraph, [182.0, 2521.0, 1954.0, 52.5], JiShzz1jwZ, 5768651]
[paragraph, [182.0, 2573.5, 1954.0, 52.5], JiShzz1jwZ, 5768651]
[paragraph, [182.0, 2626.0, 1954.0, 52.5], JiShzz1jwZ, 5768651]
[paragraph, [200.0, 2685.0, 1942.0, 52.5], 94iUvAXVVW, 5768651]
[paragraph, [200.0, 2737.5, 1942.0, 52.5], 94iUvAXVVW, 5768651]
[paragraph, [200.0, 2790.0, 1942.0, 52.5], 94iUvAXVVW, 5768651]
[paragraph, [200.0, 2842.5, 1942.0, 52.5], 94iUvAXVVW, 5768651]
[paragraph, [200.0, 2895.0, 1942.0, 52.5], 94iUvAXVVW, 5768651]
[paragraph, [197.0, 2947.0, 1942.0, 52.5], dVtM6_AwUT, 5768651]
[paragraph, [197.0, 2999.5, 1942.0, 52.5], dVtM6_AwUT, 5768651]
[paragraph, [197.0, 3052.0, 1942.0, 52.5], dVtM6_AwUT, 5768651]
[paragraph, [197.0, 3104.5, 1942.0, 52.5], dVtM6_AwUT, 5768651]
[paragraph, [197.0, 3174.0, 1948.0, 52.5], doP9ViRFUa, 5768651]
[paragraph, [197.0, 3226.5, 1948.0, 52.5], doP9ViRFUa, 5768651]
[paragraph, [197.0, 3279.0, 1948.0, 52.5], doP9ViRFUa, 5768651]
[paragraph, [197.0, 3331.5, 1948.0, 52.5], doP9ViRFUa, 5768651]
[paragraph, [197.0, 3384.0, 1948.0, 52.5], doP9ViRFUa, 5768651]
[paragraph, [197.0, 3436.5, 1948.0, 52.5], doP9ViRFUa, 5768651]
[paragraph, [197.0, 3489.0, 1948.0, 52.5], doP9ViRFUa, 5768651]
