[1787, 1218]
[paragraph, [82.0, 91.0, 1018.0, 36.0], shoonya_4s1V7SM8FK4QDB, 5650739]
[paragraph, [82.0, 127.0, 1018.0, 36.0], shoonya_4s1V7SM8FK4QDB, 5650739]
[paragraph, [86.0, 174.0, 1014.0, 36.0], shoonya_0s5BS8FCQKT0NR, 5650739]
[paragraph, [86.0, 210.0, 1014.0, 36.0], shoonya_0s5BS8FCQKT0NR, 5650739]
[paragraph, [86.0, 246.0, 1014.0, 36.0], shoonya_0s5BS8FCQKT0NR, 5650739]
[paragraph, [86.0, 282.0, 1014.0, 36.0], shoonya_0s5BS8FCQKT0NR, 5650739]
[paragraph, [86.0, 318.0, 1014.0, 36.0], shoonya_0s5BS8FCQKT0NR, 5650739]
[paragraph, [86.0, 354.0, 1014.0, 36.0], shoonya_0s5BS8FCQKT0NR, 5650739]
[paragraph, [86.0, 390.0, 1014.0, 36.0], shoonya_0s5BS8FCQKT0NR, 5650739]
[paragraph, [86.0, 426.0, 1014.0, 36.0], shoonya_0s5BS8FCQKT0NR, 5650739]
[paragraph, [86.0, 462.0, 1014.0, 36.0], shoonya_0s5BS8FCQKT0NR, 5650739]
[paragraph, [86.0, 498.0, 1014.0, 36.0], shoonya_0s5BS8FCQKT0NR, 5650739]
[paragraph, [86.0, 534.0, 1014.0, 36.0], shoonya_0s5BS8FCQKT0NR, 5650739]
[paragraph, [86.0, 570.0, 1014.0, 36.0], shoonya_0s5BS8FCQKT0NR, 5650739]
[paragraph, [86.0, 606.0, 1014.0, 36.0], shoonya_0s5BS8FCQKT0NR, 5650739]
[paragraph, [86.0, 642.0, 1014.0, 36.0], shoonya_0s5BS8FCQKT0NR, 5650739]
[paragraph, [280.0, 695.0, 512.0, 36.0], DE-1czEPqB, 5650739]
[paragraph, [280.0, 731.0, 512.0, 36.0], DE-1czEPqB, 5650739]
[paragraph, [280.0, 767.0, 512.0, 36.0], DE-1czEPqB, 5650739]
[paragraph, [280.0, 803.0, 512.0, 36.0], DE-1czEPqB, 5650739]
[paragraph, [280.0, 839.0, 512.0, 36.0], DE-1czEPqB, 5650739]
[paragraph, [280.0, 875.0, 512.0, 36.0], DE-1czEPqB, 5650739]
[paragraph, [280.0, 911.0, 512.0, 36.0], DE-1czEPqB, 5650739]
[ordered-list, [103.0, 972.0, 985.0, 36.0], shoonya_3s8L6KT5TNTUB4, 5650739]
[ordered-list, [103.0, 1008.0, 985.0, 36.0], shoonya_3s8L6KT5TNTUB4, 5650739]
[ordered-list, [103.0, 1044.0, 985.0, 36.0], shoonya_3s8L6KT5TNTUB4, 5650739]
[ordered-list, [103.0, 1080.0, 985.0, 36.0], shoonya_3s8L6KT5TNTUB4, 5650739]
[ordered-list, [103.0, 1116.0, 985.0, 36.0], shoonya_3s8L6KT5TNTUB4, 5650739]
[ordered-list, [103.0, 1152.0, 985.0, 36.0], shoonya_3s8L6KT5TNTUB4, 5650739]
[ordered-list, [103.0, 1188.0, 985.0, 36.0], shoonya_3s8L6KT5TNTUB4, 5650739]
[ordered-list, [103.0, 1224.0, 985.0, 36.0], shoonya_3s8L6KT5TNTUB4, 5650739]
[ordered-list, [103.0, 1260.0, 985.0, 36.0], shoonya_3s8L6KT5TNTUB4, 5650739]
[ordered-list, [103.0, 1296.0, 985.0, 36.0], shoonya_3s8L6KT5TNTUB4, 5650739]
[ordered-list, [103.0, 1332.0, 985.0, 36.0], shoonya_3s8L6KT5TNTUB4, 5650739]
[ordered-list, [103.0, 1368.0, 985.0, 36.0], shoonya_3s8L6KT5TNTUB4, 5650739]
[ordered-list, [103.0, 1404.0, 985.0, 36.0], shoonya_3s8L6KT5TNTUB4, 5650739]
[ordered-list, [103.0, 1440.0, 985.0, 36.0], shoonya_3s8L6KT5TNTUB4, 5650739]
[ordered-list, [103.0, 1476.0, 985.0, 36.0], shoonya_3s8L6KT5TNTUB4, 5650739]
[ordered-list, [103.0, 1512.0, 985.0, 36.0], shoonya_3s8L6KT5TNTUB4, 5650739]
[ordered-list, [103.0, 1548.0, 985.0, 36.0], shoonya_3s8L6KT5TNTUB4, 5650739]
[footnote, [446.0, 1631.0, 221.0, 36.0], shoonya_1sNEHV0OO2C6ZF, 5650739]
