[792, 612]
[paragraph, [76.0, 6.0, 149.0, 18.0], uFQ13dqqQe, 6515678]
[paragraph, [76.0, 24.0, 149.0, 18.0], uFQ13dqqQe, 6515678]
[paragraph, [76.0, 42.0, 149.0, 18.0], uFQ13dqqQe, 6515678]
[paragraph, [77.0, 67.0, 146.0, 18.0], 9yBMaTvW3b, 6515678]
[paragraph, [77.0, 85.0, 146.0, 18.0], 9yBMaTvW3b, 6515678]
[paragraph, [77.0, 103.0, 146.0, 18.0], 9yBMaTvW3b, 6515678]
[paragraph, [77.0, 121.0, 146.0, 18.0], 9yBMaTvW3b, 6515678]
[paragraph, [77.0, 139.0, 146.0, 18.0], 9yBMaTvW3b, 6515678]
[paragraph, [77.0, 157.0, 146.0, 18.0], 9yBMaTvW3b, 6515678]
[paragraph, [77.0, 175.0, 146.0, 18.0], 9yBMaTvW3b, 6515678]
[paragraph, [76.0, 196.0, 148.0, 18.0], 9ECMsihlZ5, 6515678]
[paragraph, [76.0, 214.0, 148.0, 18.0], 9ECMsihlZ5, 6515678]
[paragraph, [76.0, 232.0, 148.0, 18.0], 9ECMsihlZ5, 6515678]
[paragraph, [76.0, 250.0, 148.0, 18.0], 9ECMsihlZ5, 6515678]
[paragraph, [76.0, 268.0, 148.0, 18.0], 9ECMsihlZ5, 6515678]
[paragraph, [75.0, 297.0, 148.0, 18.0], BHfhFyynKd, 6515678]
[paragraph, [75.0, 315.0, 148.0, 18.0], BHfhFyynKd, 6515678]
[paragraph, [75.0, 333.0, 148.0, 18.0], BHfhFyynKd, 6515678]
[paragraph, [230.0, 311.0, 149.0, 18.0], OL_FJNXcHd, 6515678]
[paragraph, [230.0, 329.0, 149.0, 18.0], OL_FJNXcHd, 6515678]
[paragraph, [230.0, 347.0, 149.0, 18.0], OL_FJNXcHd, 6515678]
[paragraph, [230.0, 365.0, 149.0, 18.0], OL_FJNXcHd, 6515678]
[paragraph, [230.0, 383.0, 149.0, 18.0], OL_FJNXcHd, 6515678]
[paragraph, [230.0, 401.0, 149.0, 18.0], OL_FJNXcHd, 6515678]
[paragraph, [230.0, 419.0, 149.0, 18.0], OL_FJNXcHd, 6515678]
[paragraph, [230.0, 437.0, 149.0, 18.0], OL_FJNXcHd, 6515678]
[paragraph, [230.0, 455.0, 149.0, 18.0], OL_FJNXcHd, 6515678]
[paragraph, [387.0, 315.0, 148.0, 18.0], IwxmMfY8Es, 6515678]
[paragraph, [386.0, 346.0, 148.0, 18.0], um-uaG_2r5, 6515678]
[paragraph, [386.0, 364.0, 148.0, 18.0], um-uaG_2r5, 6515678]
[paragraph, [386.0, 382.0, 148.0, 18.0], um-uaG_2r5, 6515678]
[paragraph, [386.0, 400.0, 148.0, 18.0], um-uaG_2r5, 6515678]
[paragraph, [386.0, 418.0, 148.0, 18.0], um-uaG_2r5, 6515678]
[paragraph, [77.0, 370.0, 147.0, 18.0], 4eGcvzSKH2, 6515678]
[paragraph, [77.0, 388.0, 147.0, 18.0], 4eGcvzSKH2, 6515678]
[paragraph, [77.0, 406.0, 147.0, 18.0], 4eGcvzSKH2, 6515678]
[paragraph, [77.0, 424.0, 147.0, 18.0], 4eGcvzSKH2, 6515678]
[paragraph, [388.0, 445.0, 146.0, 18.0], bG1McvCLf5, 6515678]
[paragraph, [388.0, 463.0, 146.0, 18.0], bG1McvCLf5, 6515678]
[paragraph, [75.0, 453.0, 150.0, 18.0], 0lz8vqPV93, 6515678]
[paragraph, [75.0, 471.0, 150.0, 18.0], 0lz8vqPV93, 6515678]
[paragraph, [75.0, 489.0, 150.0, 18.0], 0lz8vqPV93, 6515678]
[paragraph, [231.0, 487.0, 148.0, 18.0], 12KR2MUiHm, 6515678]
[paragraph, [231.0, 505.0, 148.0, 18.0], 12KR2MUiHm, 6515678]
[paragraph, [231.0, 523.0, 148.0, 18.0], 12KR2MUiHm, 6515678]
[paragraph, [231.0, 541.0, 148.0, 18.0], 12KR2MUiHm, 6515678]
[paragraph, [231.0, 559.0, 148.0, 18.0], 12KR2MUiHm, 6515678]
[paragraph, [231.0, 577.0, 148.0, 18.0], 12KR2MUiHm, 6515678]
[paragraph, [387.0, 488.0, 145.0, 18.0], ZDQXnl1bf6, 6515678]
[paragraph, [387.0, 506.0, 145.0, 18.0], ZDQXnl1bf6, 6515678]
[paragraph, [387.0, 524.0, 145.0, 18.0], ZDQXnl1bf6, 6515678]
[paragraph, [387.0, 542.0, 145.0, 18.0], ZDQXnl1bf6, 6515678]
[paragraph, [387.0, 560.0, 145.0, 18.0], ZDQXnl1bf6, 6515678]
[paragraph, [387.0, 578.0, 145.0, 18.0], ZDQXnl1bf6, 6515678]
[paragraph, [387.0, 596.0, 145.0, 18.0], ZDQXnl1bf6, 6515678]
[paragraph, [75.0, 527.0, 151.0, 18.0], z_7IKemg__, 6515678]
[paragraph, [75.0, 545.0, 151.0, 18.0], z_7IKemg__, 6515678]
[paragraph, [75.0, 563.0, 151.0, 18.0], z_7IKemg__, 6515678]
[paragraph, [75.0, 581.0, 151.0, 18.0], z_7IKemg__, 6515678]
[paragraph, [75.0, 599.0, 151.0, 18.0], z_7IKemg__, 6515678]
