[2339, 1653]
[folio, [289.0, 219.0, 188.0, 36.0], VKkvePWfHy, 5654985]
[paragraph, [285.0, 314.0, 1082.0, 36.0], shoonya_1sABG6YP12UO55, 5654985]
[paragraph, [285.0, 350.0, 1082.0, 36.0], shoonya_1sABG6YP12UO55, 5654985]
[paragraph, [285.0, 386.0, 1082.0, 36.0], shoonya_1sABG6YP12UO55, 5654985]
[paragraph, [285.0, 422.0, 1082.0, 36.0], shoonya_1sABG6YP12UO55, 5654985]
[paragraph, [285.0, 458.0, 1082.0, 36.0], shoonya_1sABG6YP12UO55, 5654985]
[paragraph, [285.0, 494.0, 1082.0, 36.0], shoonya_1sABG6YP12UO55, 5654985]
[paragraph, [285.0, 530.0, 1082.0, 36.0], shoonya_1sABG6YP12UO55, 5654985]
[paragraph, [285.0, 566.0, 1082.0, 36.0], shoonya_1sABG6YP12UO55, 5654985]
[paragraph, [285.0, 602.0, 1082.0, 36.0], shoonya_1sABG6YP12UO55, 5654985]
[paragraph, [285.0, 638.0, 1082.0, 36.0], shoonya_1sABG6YP12UO55, 5654985]
[paragraph, [285.0, 674.0, 1082.0, 36.0], shoonya_1sABG6YP12UO55, 5654985]
[paragraph, [285.0, 710.0, 1082.0, 36.0], shoonya_1sABG6YP12UO55, 5654985]
[paragraph, [285.0, 746.0, 1082.0, 36.0], shoonya_1sABG6YP12UO55, 5654985]
[paragraph, [285.0, 782.0, 1082.0, 36.0], shoonya_1sABG6YP12UO55, 5654985]
[paragraph, [285.0, 818.0, 1082.0, 36.0], shoonya_1sABG6YP12UO55, 5654985]
[paragraph, [285.0, 854.0, 1082.0, 36.0], shoonya_1sABG6YP12UO55, 5654985]
[paragraph, [288.0, 944.0, 1078.0, 36.0], shoonya_0sPIB1TSIUY3IE, 5654985]
[paragraph, [288.0, 980.0, 1078.0, 36.0], shoonya_0sPIB1TSIUY3IE, 5654985]
[paragraph, [288.0, 1016.0, 1078.0, 36.0], shoonya_0sPIB1TSIUY3IE, 5654985]
[paragraph, [288.0, 1052.0, 1078.0, 36.0], shoonya_0sPIB1TSIUY3IE, 5654985]
[paragraph, [288.0, 1088.0, 1078.0, 36.0], shoonya_0sPIB1TSIUY3IE, 5654985]
[paragraph, [288.0, 1124.0, 1078.0, 36.0], shoonya_0sPIB1TSIUY3IE, 5654985]
[paragraph, [288.0, 1160.0, 1078.0, 36.0], shoonya_0sPIB1TSIUY3IE, 5654985]
[paragraph, [288.0, 1196.0, 1078.0, 36.0], shoonya_0sPIB1TSIUY3IE, 5654985]
[paragraph, [288.0, 1232.0, 1078.0, 36.0], shoonya_0sPIB1TSIUY3IE, 5654985]
[paragraph, [288.0, 1268.0, 1078.0, 36.0], shoonya_0sPIB1TSIUY3IE, 5654985]
[paragraph, [288.0, 1304.0, 1078.0, 36.0], shoonya_0sPIB1TSIUY3IE, 5654985]
[paragraph, [288.0, 1340.0, 1078.0, 36.0], shoonya_0sPIB1TSIUY3IE, 5654985]
[paragraph, [288.0, 1376.0, 1078.0, 36.0], shoonya_0sPIB1TSIUY3IE, 5654985]
[ordered-list, [275.0, 1636.0, 1098.0, 36.0], shoonya_7sRP6EZNL70YYJ, 5654985]
[ordered-list, [275.0, 1672.0, 1098.0, 36.0], shoonya_7sRP6EZNL70YYJ, 5654985]
[ordered-list, [275.0, 1708.0, 1098.0, 36.0], shoonya_7sRP6EZNL70YYJ, 5654985]
[ordered-list, [275.0, 1744.0, 1098.0, 36.0], shoonya_7sRP6EZNL70YYJ, 5654985]
[ordered-list, [275.0, 1780.0, 1098.0, 36.0], shoonya_7sRP6EZNL70YYJ, 5654985]
[ordered-list, [275.0, 1816.0, 1098.0, 36.0], shoonya_7sRP6EZNL70YYJ, 5654985]
[ordered-list, [275.0, 1852.0, 1098.0, 36.0], shoonya_7sRP6EZNL70YYJ, 5654985]
[ordered-list, [275.0, 1888.0, 1098.0, 36.0], shoonya_7sRP6EZNL70YYJ, 5654985]
[ordered-list, [275.0, 1924.0, 1098.0, 36.0], shoonya_7sRP6EZNL70YYJ, 5654985]
[ordered-list, [275.0, 1960.0, 1098.0, 36.0], shoonya_7sRP6EZNL70YYJ, 5654985]
[ordered-list, [275.0, 1996.0, 1098.0, 36.0], shoonya_7sRP6EZNL70YYJ, 5654985]
