[709, 412]
[folio, [167.0, 25.0, 71.0, 18.0], 8hP1fcUbFK, 5741218]
[paragraph, [207.0, 52.0, 181.0, 18.0], A6wUhmZzqT, 5741218]
[paragraph, [207.0, 70.0, 181.0, 18.0], A6wUhmZzqT, 5741218]
[paragraph, [207.0, 88.0, 181.0, 18.0], A6wUhmZzqT, 5741218]
[paragraph, [207.0, 106.0, 181.0, 18.0], A6wUhmZzqT, 5741218]
[paragraph, [207.0, 124.0, 181.0, 18.0], A6wUhmZzqT, 5741218]
[paragraph, [207.0, 142.0, 181.0, 18.0], A6wUhmZzqT, 5741218]
[paragraph, [207.0, 160.0, 181.0, 18.0], A6wUhmZzqT, 5741218]
[paragraph, [207.0, 178.0, 181.0, 18.0], A6wUhmZzqT, 5741218]
[paragraph, [207.0, 196.0, 181.0, 18.0], A6wUhmZzqT, 5741218]
[paragraph, [207.0, 214.0, 181.0, 18.0], A6wUhmZzqT, 5741218]
[paragraph, [207.0, 232.0, 181.0, 18.0], A6wUhmZzqT, 5741218]
[paragraph, [207.0, 250.0, 181.0, 18.0], A6wUhmZzqT, 5741218]
[paragraph, [207.0, 268.0, 181.0, 18.0], A6wUhmZzqT, 5741218]
[paragraph, [207.0, 286.0, 181.0, 18.0], A6wUhmZzqT, 5741218]
[paragraph, [207.0, 304.0, 181.0, 18.0], A6wUhmZzqT, 5741218]
[paragraph, [207.0, 322.0, 181.0, 18.0], A6wUhmZzqT, 5741218]
[paragraph, [207.0, 340.0, 181.0, 18.0], A6wUhmZzqT, 5741218]
[paragraph, [207.0, 358.0, 181.0, 18.0], A6wUhmZzqT, 5741218]
[paragraph, [207.0, 376.0, 181.0, 18.0], A6wUhmZzqT, 5741218]
[paragraph, [207.0, 394.0, 181.0, 18.0], A6wUhmZzqT, 5741218]
[paragraph, [207.0, 412.0, 181.0, 18.0], A6wUhmZzqT, 5741218]
[paragraph, [207.0, 430.0, 181.0, 18.0], A6wUhmZzqT, 5741218]
[paragraph, [207.0, 448.0, 181.0, 18.0], A6wUhmZzqT, 5741218]
[paragraph, [207.0, 466.0, 181.0, 18.0], A6wUhmZzqT, 5741218]
[paragraph, [207.0, 484.0, 181.0, 18.0], A6wUhmZzqT, 5741218]
[paragraph, [207.0, 502.0, 181.0, 18.0], A6wUhmZzqT, 5741218]
[paragraph, [207.0, 520.0, 181.0, 18.0], A6wUhmZzqT, 5741218]
[paragraph, [207.0, 538.0, 181.0, 18.0], A6wUhmZzqT, 5741218]
[paragraph, [207.0, 556.0, 181.0, 18.0], A6wUhmZzqT, 5741218]
[paragraph, [207.0, 574.0, 181.0, 18.0], A6wUhmZzqT, 5741218]
[paragraph, [207.0, 592.0, 181.0, 18.0], A6wUhmZzqT, 5741218]
[paragraph, [207.0, 610.0, 181.0, 18.0], A6wUhmZzqT, 5741218]
[paragraph, [207.0, 628.0, 181.0, 18.0], A6wUhmZzqT, 5741218]
[paragraph, [207.0, 646.0, 181.0, 18.0], A6wUhmZzqT, 5741218]
[paragraph, [24.0, 54.0, 177.0, 18.0], bdiH6yW-kZ, 5741218]
[paragraph, [24.0, 72.0, 177.0, 18.0], bdiH6yW-kZ, 5741218]
[paragraph, [24.0, 90.0, 177.0, 18.0], bdiH6yW-kZ, 5741218]
[paragraph, [24.0, 108.0, 177.0, 18.0], bdiH6yW-kZ, 5741218]
[paragraph, [24.0, 126.0, 177.0, 18.0], bdiH6yW-kZ, 5741218]
[paragraph, [24.0, 144.0, 177.0, 18.0], bdiH6yW-kZ, 5741218]
[paragraph, [24.0, 162.0, 177.0, 18.0], bdiH6yW-kZ, 5741218]
[paragraph, [24.0, 180.0, 177.0, 18.0], bdiH6yW-kZ, 5741218]
[paragraph, [24.0, 198.0, 177.0, 18.0], bdiH6yW-kZ, 5741218]
[paragraph, [24.0, 216.0, 177.0, 18.0], bdiH6yW-kZ, 5741218]
[paragraph, [24.0, 234.0, 177.0, 18.0], bdiH6yW-kZ, 5741218]
[paragraph, [24.0, 252.0, 177.0, 18.0], bdiH6yW-kZ, 5741218]
[paragraph, [24.0, 270.0, 177.0, 18.0], bdiH6yW-kZ, 5741218]
[paragraph, [24.0, 288.0, 177.0, 18.0], bdiH6yW-kZ, 5741218]
[paragraph, [24.0, 306.0, 177.0, 18.0], bdiH6yW-kZ, 5741218]
[paragraph, [24.0, 324.0, 177.0, 18.0], bdiH6yW-kZ, 5741218]
[paragraph, [24.0, 342.0, 177.0, 18.0], bdiH6yW-kZ, 5741218]
[paragraph, [24.0, 360.0, 177.0, 18.0], bdiH6yW-kZ, 5741218]
[paragraph, [24.0, 378.0, 177.0, 18.0], bdiH6yW-kZ, 5741218]
[paragraph, [24.0, 396.0, 177.0, 18.0], bdiH6yW-kZ, 5741218]
[paragraph, [24.0, 414.0, 177.0, 18.0], bdiH6yW-kZ, 5741218]
[paragraph, [24.0, 432.0, 177.0, 18.0], bdiH6yW-kZ, 5741218]
[paragraph, [24.0, 450.0, 177.0, 18.0], bdiH6yW-kZ, 5741218]
[paragraph, [24.0, 468.0, 177.0, 18.0], bdiH6yW-kZ, 5741218]
[paragraph, [24.0, 486.0, 177.0, 18.0], bdiH6yW-kZ, 5741218]
[paragraph, [24.0, 504.0, 177.0, 18.0], bdiH6yW-kZ, 5741218]
[paragraph, [24.0, 522.0, 177.0, 18.0], bdiH6yW-kZ, 5741218]
[paragraph, [24.0, 540.0, 177.0, 18.0], bdiH6yW-kZ, 5741218]
[paragraph, [24.0, 558.0, 177.0, 18.0], bdiH6yW-kZ, 5741218]
[paragraph, [24.0, 576.0, 177.0, 18.0], bdiH6yW-kZ, 5741218]
[paragraph, [24.0, 594.0, 177.0, 18.0], bdiH6yW-kZ, 5741218]
[paragraph, [24.0, 612.0, 177.0, 18.0], bdiH6yW-kZ, 5741218]
[paragraph, [24.0, 630.0, 177.0, 18.0], bdiH6yW-kZ, 5741218]
[paragraph, [24.0, 648.0, 177.0, 18.0], bdiH6yW-kZ, 5741218]
