[1806, 1178]
[ordered-list, [119.0, 71.0, 960.0, 36.0], shoonya_0sZDVY2K98XTKL, 5750845]
[ordered-list, [119.0, 107.0, 960.0, 36.0], shoonya_0sZDVY2K98XTKL, 5750845]
[ordered-list, [119.0, 143.0, 960.0, 36.0], shoonya_0sZDVY2K98XTKL, 5750845]
[ordered-list, [119.0, 179.0, 960.0, 36.0], shoonya_0sZDVY2K98XTKL, 5750845]
[ordered-list, [119.0, 215.0, 960.0, 36.0], shoonya_0sZDVY2K98XTKL, 5750845]
[ordered-list, [119.0, 251.0, 960.0, 36.0], shoonya_0sZDVY2K98XTKL, 5750845]
[ordered-list, [119.0, 287.0, 960.0, 36.0], shoonya_0sZDVY2K98XTKL, 5750845]
[ordered-list, [119.0, 323.0, 960.0, 36.0], shoonya_0sZDVY2K98XTKL, 5750845]
[ordered-list, [119.0, 359.0, 960.0, 36.0], shoonya_0sZDVY2K98XTKL, 5750845]
[ordered-list, [119.0, 395.0, 960.0, 36.0], shoonya_0sZDVY2K98XTKL, 5750845]
[ordered-list, [119.0, 431.0, 960.0, 36.0], shoonya_0sZDVY2K98XTKL, 5750845]
[ordered-list, [119.0, 467.0, 960.0, 36.0], shoonya_0sZDVY2K98XTKL, 5750845]
[ordered-list, [119.0, 503.0, 960.0, 36.0], shoonya_0sZDVY2K98XTKL, 5750845]
[ordered-list, [119.0, 539.0, 960.0, 36.0], shoonya_0sZDVY2K98XTKL, 5750845]
[ordered-list, [119.0, 575.0, 960.0, 36.0], shoonya_0sZDVY2K98XTKL, 5750845]
[ordered-list, [119.0, 611.0, 960.0, 36.0], shoonya_0sZDVY2K98XTKL, 5750845]
[ordered-list, [119.0, 647.0, 960.0, 36.0], shoonya_0sZDVY2K98XTKL, 5750845]
[ordered-list, [119.0, 683.0, 960.0, 36.0], shoonya_0sZDVY2K98XTKL, 5750845]
[ordered-list, [119.0, 719.0, 960.0, 36.0], shoonya_0sZDVY2K98XTKL, 5750845]
[ordered-list, [119.0, 755.0, 960.0, 36.0], shoonya_0sZDVY2K98XTKL, 5750845]
[ordered-list, [119.0, 791.0, 960.0, 36.0], shoonya_0sZDVY2K98XTKL, 5750845]
[ordered-list, [119.0, 827.0, 960.0, 36.0], shoonya_0sZDVY2K98XTKL, 5750845]
[ordered-list, [119.0, 863.0, 960.0, 36.0], shoonya_0sZDVY2K98XTKL, 5750845]
[ordered-list, [119.0, 899.0, 960.0, 36.0], shoonya_0sZDVY2K98XTKL, 5750845]
[ordered-list, [119.0, 935.0, 960.0, 36.0], shoonya_0sZDVY2K98XTKL, 5750845]
[ordered-list, [119.0, 971.0, 960.0, 36.0], shoonya_0sZDVY2K98XTKL, 5750845]
[ordered-list, [119.0, 1007.0, 960.0, 36.0], shoonya_0sZDVY2K98XTKL, 5750845]
[ordered-list, [119.0, 1043.0, 960.0, 36.0], shoonya_0sZDVY2K98XTKL, 5750845]
[ordered-list, [119.0, 1079.0, 960.0, 36.0], shoonya_0sZDVY2K98XTKL, 5750845]
[ordered-list, [119.0, 1115.0, 960.0, 36.0], shoonya_0sZDVY2K98XTKL, 5750845]
[ordered-list, [119.0, 1151.0, 960.0, 36.0], shoonya_0sZDVY2K98XTKL, 5750845]
[ordered-list, [119.0, 1187.0, 960.0, 36.0], shoonya_0sZDVY2K98XTKL, 5750845]
[ordered-list, [119.0, 1223.0, 960.0, 36.0], shoonya_0sZDVY2K98XTKL, 5750845]
[ordered-list, [119.0, 1259.0, 960.0, 36.0], shoonya_0sZDVY2K98XTKL, 5750845]
[ordered-list, [119.0, 1295.0, 960.0, 36.0], shoonya_0sZDVY2K98XTKL, 5750845]
[ordered-list, [119.0, 1331.0, 960.0, 36.0], shoonya_0sZDVY2K98XTKL, 5750845]
[ordered-list, [119.0, 1367.0, 960.0, 36.0], shoonya_0sZDVY2K98XTKL, 5750845]
[ordered-list, [119.0, 1403.0, 960.0, 36.0], shoonya_0sZDVY2K98XTKL, 5750845]
[ordered-list, [119.0, 1439.0, 960.0, 36.0], shoonya_0sZDVY2K98XTKL, 5750845]
[ordered-list, [119.0, 1475.0, 960.0, 36.0], shoonya_0sZDVY2K98XTKL, 5750845]
[ordered-list, [119.0, 1511.0, 960.0, 36.0], shoonya_0sZDVY2K98XTKL, 5750845]
[ordered-list, [119.0, 1547.0, 960.0, 36.0], shoonya_0sZDVY2K98XTKL, 5750845]
[folio, [545.0, 1634.0, 151.0, 36.0], Bsq9AWemee, 5750845]
