[792, 612]
[folio, [252.0, 67.0, 97.0, 18.0], LtKwA1fZxC, 6492861]
[paragraph, [92.0, 102.0, 414.0, 18.0], d5L29ErsVh, 6492861]
[paragraph, [92.0, 120.0, 414.0, 18.0], d5L29ErsVh, 6492861]
[paragraph, [92.0, 138.0, 414.0, 18.0], d5L29ErsVh, 6492861]
[paragraph, [92.0, 156.0, 414.0, 18.0], d5L29ErsVh, 6492861]
[paragraph, [90.0, 174.0, 417.0, 18.0], e67kxlxrb-, 6492861]
[paragraph, [90.0, 192.0, 417.0, 18.0], e67kxlxrb-, 6492861]
[paragraph, [94.0, 218.0, 414.0, 18.0], Ewdl8tDwXe, 6492861]
[paragraph, [94.0, 236.0, 414.0, 18.0], Ewdl8tDwXe, 6492861]
[paragraph, [94.0, 254.0, 414.0, 18.0], Ewdl8tDwXe, 6492861]
[paragraph, [94.0, 272.0, 414.0, 18.0], Ewdl8tDwXe, 6492861]
[paragraph, [94.0, 290.0, 414.0, 18.0], Ewdl8tDwXe, 6492861]
[paragraph, [94.0, 308.0, 414.0, 18.0], Ewdl8tDwXe, 6492861]
[paragraph, [94.0, 326.0, 414.0, 18.0], Ewdl8tDwXe, 6492861]
[paragraph, [94.0, 344.0, 414.0, 18.0], Ewdl8tDwXe, 6492861]
[paragraph, [94.0, 362.0, 414.0, 18.0], Ewdl8tDwXe, 6492861]
[paragraph, [94.0, 380.0, 414.0, 18.0], Ewdl8tDwXe, 6492861]
[paragraph, [94.0, 398.0, 414.0, 18.0], Ewdl8tDwXe, 6492861]
[paragraph, [94.0, 416.0, 414.0, 18.0], Ewdl8tDwXe, 6492861]
[paragraph, [94.0, 434.0, 414.0, 18.0], Ewdl8tDwXe, 6492861]
[paragraph, [94.0, 452.0, 414.0, 18.0], Ewdl8tDwXe, 6492861]
[paragraph, [94.0, 470.0, 414.0, 18.0], Ewdl8tDwXe, 6492861]
[paragraph, [92.0, 490.0, 410.0, 18.0], uCxot0_0Nz, 6492861]
[paragraph, [92.0, 508.0, 410.0, 18.0], uCxot0_0Nz, 6492861]
[paragraph, [92.0, 526.0, 410.0, 18.0], uCxot0_0Nz, 6492861]
[paragraph, [92.0, 544.0, 410.0, 18.0], uCxot0_0Nz, 6492861]
[paragraph, [92.0, 562.0, 410.0, 18.0], uCxot0_0Nz, 6492861]
[paragraph, [92.0, 580.0, 410.0, 18.0], uCxot0_0Nz, 6492861]
[paragraph, [92.0, 598.0, 410.0, 18.0], uCxot0_0Nz, 6492861]
[paragraph, [92.0, 616.0, 410.0, 18.0], uCxot0_0Nz, 6492861]
[paragraph, [92.0, 634.0, 410.0, 18.0], uCxot0_0Nz, 6492861]
[paragraph, [90.0, 667.0, 413.0, 18.0], 4aji-pqGt2, 6492861]
[paragraph, [90.0, 685.0, 413.0, 18.0], 4aji-pqGt2, 6492861]
[paragraph, [90.0, 703.0, 413.0, 18.0], 4aji-pqGt2, 6492861]
