[1754, 1241]
[folio, [833.0, 128.0, 175.0, 36.0], 58b4Ga68Lw, 5728544]
[reference, [159.0, 187.0, 865.0, 36.0], shoonya_0sQZIDMNWHB1J1, 5728544]
[reference, [159.0, 223.0, 865.0, 36.0], shoonya_0sQZIDMNWHB1J1, 5728544]
[reference, [159.0, 259.0, 865.0, 36.0], shoonya_0sQZIDMNWHB1J1, 5728544]
[reference, [159.0, 295.0, 865.0, 36.0], shoonya_0sQZIDMNWHB1J1, 5728544]
[reference, [159.0, 331.0, 865.0, 36.0], shoonya_0sQZIDMNWHB1J1, 5728544]
[reference, [159.0, 367.0, 865.0, 36.0], shoonya_0sQZIDMNWHB1J1, 5728544]
[reference, [159.0, 403.0, 865.0, 36.0], shoonya_0sQZIDMNWHB1J1, 5728544]
[reference, [159.0, 439.0, 865.0, 36.0], shoonya_0sQZIDMNWHB1J1, 5728544]
[reference, [159.0, 475.0, 865.0, 36.0], shoonya_0sQZIDMNWHB1J1, 5728544]
[reference, [159.0, 511.0, 865.0, 36.0], shoonya_0sQZIDMNWHB1J1, 5728544]
[reference, [159.0, 547.0, 865.0, 36.0], shoonya_0sQZIDMNWHB1J1, 5728544]
[reference, [159.0, 583.0, 865.0, 36.0], shoonya_0sQZIDMNWHB1J1, 5728544]
[reference, [159.0, 619.0, 865.0, 36.0], shoonya_0sQZIDMNWHB1J1, 5728544]
[reference, [159.0, 655.0, 865.0, 36.0], shoonya_0sQZIDMNWHB1J1, 5728544]
[reference, [159.0, 691.0, 865.0, 36.0], shoonya_0sQZIDMNWHB1J1, 5728544]
[reference, [159.0, 727.0, 865.0, 36.0], shoonya_0sQZIDMNWHB1J1, 5728544]
[reference, [159.0, 763.0, 865.0, 36.0], shoonya_0sQZIDMNWHB1J1, 5728544]
[reference, [159.0, 799.0, 865.0, 36.0], shoonya_0sQZIDMNWHB1J1, 5728544]
[reference, [159.0, 835.0, 865.0, 36.0], shoonya_0sQZIDMNWHB1J1, 5728544]
[reference, [159.0, 871.0, 865.0, 36.0], shoonya_0sQZIDMNWHB1J1, 5728544]
[reference, [159.0, 907.0, 865.0, 36.0], shoonya_0sQZIDMNWHB1J1, 5728544]
[reference, [159.0, 943.0, 865.0, 36.0], shoonya_0sQZIDMNWHB1J1, 5728544]
[reference, [159.0, 979.0, 865.0, 36.0], shoonya_0sQZIDMNWHB1J1, 5728544]
[reference, [159.0, 1015.0, 865.0, 36.0], shoonya_0sQZIDMNWHB1J1, 5728544]
[reference, [159.0, 1051.0, 865.0, 36.0], shoonya_0sQZIDMNWHB1J1, 5728544]
[reference, [159.0, 1087.0, 865.0, 36.0], shoonya_0sQZIDMNWHB1J1, 5728544]
[reference, [159.0, 1123.0, 865.0, 36.0], shoonya_0sQZIDMNWHB1J1, 5728544]
[reference, [159.0, 1159.0, 865.0, 36.0], shoonya_0sQZIDMNWHB1J1, 5728544]
[reference, [159.0, 1195.0, 865.0, 36.0], shoonya_0sQZIDMNWHB1J1, 5728544]
[reference, [159.0, 1231.0, 865.0, 36.0], shoonya_0sQZIDMNWHB1J1, 5728544]
[reference, [159.0, 1267.0, 865.0, 36.0], shoonya_0sQZIDMNWHB1J1, 5728544]
[reference, [159.0, 1303.0, 865.0, 36.0], shoonya_0sQZIDMNWHB1J1, 5728544]
[reference, [159.0, 1339.0, 865.0, 36.0], shoonya_0sQZIDMNWHB1J1, 5728544]
[reference, [159.0, 1375.0, 865.0, 36.0], shoonya_0sQZIDMNWHB1J1, 5728544]
[reference, [159.0, 1411.0, 865.0, 36.0], shoonya_0sQZIDMNWHB1J1, 5728544]
[reference, [159.0, 1447.0, 865.0, 36.0], shoonya_0sQZIDMNWHB1J1, 5728544]
[reference, [159.0, 1483.0, 865.0, 36.0], shoonya_0sQZIDMNWHB1J1, 5728544]
