[1625, 1211]
[headline, [81.0, 81.0, 1049.0, 37.5], LjI4Amep-s, 5742752]
[sub-headline, [177.0, 159.0, 856.0, 36.0], mjGb_665mJ, 5742752]
[author, [472.0, 213.0, 281.0, 36.0], YeFlUayTAY, 5742752]
[paragraph, [792.0, 298.0, 342.0, 36.0], shoonya_0sGJOV38GTQ6OP, 5742752]
[paragraph, [792.0, 334.0, 342.0, 36.0], shoonya_0sGJOV38GTQ6OP, 5742752]
[paragraph, [792.0, 370.0, 342.0, 36.0], shoonya_0sGJOV38GTQ6OP, 5742752]
[paragraph, [792.0, 406.0, 342.0, 36.0], shoonya_0sGJOV38GTQ6OP, 5742752]
[paragraph, [792.0, 442.0, 342.0, 36.0], shoonya_0sGJOV38GTQ6OP, 5742752]
[paragraph, [792.0, 478.0, 342.0, 36.0], shoonya_0sGJOV38GTQ6OP, 5742752]
[paragraph, [792.0, 514.0, 342.0, 36.0], shoonya_0sGJOV38GTQ6OP, 5742752]
[paragraph, [432.0, 302.0, 341.0, 36.0], shoonya_4sDDJM3A7HJ2T0, 5742752]
[paragraph, [72.0, 305.0, 340.0, 36.0], shoonya_3sAQ7C3E46MB22, 5742752]
[paragraph, [72.0, 341.0, 340.0, 36.0], shoonya_3sAQ7C3E46MB22, 5742752]
[paragraph, [72.0, 377.0, 340.0, 36.0], shoonya_3sAQ7C3E46MB22, 5742752]
[paragraph, [72.0, 413.0, 340.0, 36.0], shoonya_3sAQ7C3E46MB22, 5742752]
[paragraph, [434.0, 369.0, 336.0, 36.0], kjeONH4G2H, 5742752]
[paragraph, [434.0, 405.0, 336.0, 36.0], kjeONH4G2H, 5742752]
[paragraph, [434.0, 441.0, 336.0, 36.0], kjeONH4G2H, 5742752]
[paragraph, [434.0, 477.0, 336.0, 36.0], kjeONH4G2H, 5742752]
[paragraph, [434.0, 513.0, 336.0, 36.0], kjeONH4G2H, 5742752]
[paragraph, [434.0, 549.0, 336.0, 36.0], kjeONH4G2H, 5742752]
[paragraph, [434.0, 585.0, 336.0, 36.0], kjeONH4G2H, 5742752]
[paragraph, [72.0, 470.0, 343.0, 36.0], F6eDcEMLFp, 5742752]
[paragraph, [72.0, 506.0, 343.0, 36.0], F6eDcEMLFp, 5742752]
[paragraph, [72.0, 542.0, 343.0, 36.0], F6eDcEMLFp, 5742752]
[paragraph, [72.0, 578.0, 343.0, 36.0], F6eDcEMLFp, 5742752]
[paragraph, [72.0, 614.0, 343.0, 36.0], F6eDcEMLFp, 5742752]
[paragraph, [72.0, 650.0, 343.0, 36.0], F6eDcEMLFp, 5742752]
[paragraph, [72.0, 686.0, 343.0, 36.0], F6eDcEMLFp, 5742752]
[paragraph, [72.0, 722.0, 343.0, 36.0], F6eDcEMLFp, 5742752]
[paragraph, [72.0, 758.0, 343.0, 36.0], F6eDcEMLFp, 5742752]
[paragraph, [790.0, 566.0, 350.0, 36.0], shoonya_1sVVCF4B8Q3ONR, 5742752]
[paragraph, [790.0, 602.0, 350.0, 36.0], shoonya_1sVVCF4B8Q3ONR, 5742752]
[paragraph, [790.0, 638.0, 350.0, 36.0], shoonya_1sVVCF4B8Q3ONR, 5742752]
[paragraph, [790.0, 674.0, 350.0, 36.0], shoonya_1sVVCF4B8Q3ONR, 5742752]
[paragraph, [790.0, 710.0, 350.0, 36.0], shoonya_1sVVCF4B8Q3ONR, 5742752]
[paragraph, [790.0, 746.0, 350.0, 36.0], shoonya_1sVVCF4B8Q3ONR, 5742752]
[paragraph, [790.0, 782.0, 350.0, 36.0], shoonya_1sVVCF4B8Q3ONR, 5742752]
[paragraph, [790.0, 818.0, 350.0, 36.0], shoonya_1sVVCF4B8Q3ONR, 5742752]
[paragraph, [790.0, 854.0, 350.0, 36.0], shoonya_1sVVCF4B8Q3ONR, 5742752]
[paragraph, [790.0, 890.0, 350.0, 36.0], shoonya_1sVVCF4B8Q3ONR, 5742752]
