[1275, 750]
[folio, [234.0, 92.0, 275.0, 18.0], shoonya_0sEWBD5SJ9IAFC, 5767205]
[folio, [234.0, 110.0, 275.0, 18.0], shoonya_0sEWBD5SJ9IAFC, 5767205]
[paragraph, [62.0, 159.0, 615.0, 18.0], pF9Trhdn10, 5767205]
[paragraph, [62.0, 177.0, 615.0, 18.0], pF9Trhdn10, 5767205]
[paragraph, [62.0, 195.0, 615.0, 18.0], pF9Trhdn10, 5767205]
[paragraph, [62.0, 213.0, 615.0, 18.0], pF9Trhdn10, 5767205]
[paragraph, [62.0, 231.0, 615.0, 18.0], pF9Trhdn10, 5767205]
[paragraph, [62.0, 249.0, 615.0, 18.0], pF9Trhdn10, 5767205]
[paragraph, [62.0, 267.0, 615.0, 18.0], pF9Trhdn10, 5767205]
[paragraph, [62.0, 285.0, 615.0, 18.0], pF9Trhdn10, 5767205]
[paragraph, [62.0, 303.0, 615.0, 18.0], pF9Trhdn10, 5767205]
[paragraph, [62.0, 321.0, 615.0, 18.0], pF9Trhdn10, 5767205]
[paragraph, [62.0, 339.0, 615.0, 18.0], pF9Trhdn10, 5767205]
[paragraph, [62.0, 357.0, 615.0, 18.0], pF9Trhdn10, 5767205]
[paragraph, [62.0, 375.0, 615.0, 18.0], pF9Trhdn10, 5767205]
[paragraph, [62.0, 393.0, 615.0, 18.0], pF9Trhdn10, 5767205]
[paragraph, [62.0, 411.0, 615.0, 18.0], pF9Trhdn10, 5767205]
[paragraph, [62.0, 429.0, 615.0, 18.0], pF9Trhdn10, 5767205]
[paragraph, [62.0, 447.0, 615.0, 18.0], pF9Trhdn10, 5767205]
[paragraph, [62.0, 465.0, 615.0, 18.0], pF9Trhdn10, 5767205]
[section-title, [220.0, 490.0, 303.0, 30.0], Qna0shb8EB, 5767205]
[paragraph, [74.0, 540.0, 631.0, 18.0], Lk2DrdvaNe, 5767205]
[paragraph, [74.0, 558.0, 631.0, 18.0], Lk2DrdvaNe, 5767205]
[paragraph, [74.0, 576.0, 631.0, 18.0], Lk2DrdvaNe, 5767205]
[paragraph, [74.0, 594.0, 631.0, 18.0], Lk2DrdvaNe, 5767205]
[paragraph, [74.0, 612.0, 631.0, 18.0], Lk2DrdvaNe, 5767205]
[paragraph, [74.0, 630.0, 631.0, 18.0], Lk2DrdvaNe, 5767205]
[paragraph, [74.0, 648.0, 631.0, 18.0], Lk2DrdvaNe, 5767205]
[paragraph, [74.0, 666.0, 631.0, 18.0], Lk2DrdvaNe, 5767205]
[paragraph, [74.0, 684.0, 631.0, 18.0], Lk2DrdvaNe, 5767205]
[paragraph, [74.0, 702.0, 631.0, 18.0], Lk2DrdvaNe, 5767205]
[paragraph, [74.0, 720.0, 631.0, 18.0], Lk2DrdvaNe, 5767205]
[paragraph, [74.0, 738.0, 631.0, 18.0], Lk2DrdvaNe, 5767205]
[paragraph, [74.0, 756.0, 631.0, 18.0], Lk2DrdvaNe, 5767205]
[paragraph, [74.0, 774.0, 631.0, 18.0], Lk2DrdvaNe, 5767205]
[paragraph, [74.0, 792.0, 631.0, 18.0], Lk2DrdvaNe, 5767205]
[paragraph, [74.0, 810.0, 631.0, 18.0], Lk2DrdvaNe, 5767205]
[paragraph, [74.0, 828.0, 631.0, 18.0], Lk2DrdvaNe, 5767205]
[paragraph, [74.0, 846.0, 631.0, 18.0], Lk2DrdvaNe, 5767205]
[paragraph, [74.0, 864.0, 631.0, 18.0], Lk2DrdvaNe, 5767205]
[paragraph, [74.0, 882.0, 631.0, 18.0], Lk2DrdvaNe, 5767205]
[paragraph, [74.0, 900.0, 631.0, 18.0], Lk2DrdvaNe, 5767205]
[paragraph, [74.0, 918.0, 631.0, 18.0], Lk2DrdvaNe, 5767205]
[paragraph, [74.0, 936.0, 631.0, 18.0], Lk2DrdvaNe, 5767205]
[paragraph, [74.0, 954.0, 631.0, 18.0], Lk2DrdvaNe, 5767205]
[paragraph, [74.0, 972.0, 631.0, 18.0], Lk2DrdvaNe, 5767205]
[paragraph, [74.0, 990.0, 631.0, 18.0], Lk2DrdvaNe, 5767205]
[paragraph, [74.0, 1008.0, 631.0, 18.0], Lk2DrdvaNe, 5767205]
[paragraph, [74.0, 1026.0, 631.0, 18.0], Lk2DrdvaNe, 5767205]
[paragraph, [74.0, 1044.0, 631.0, 18.0], Lk2DrdvaNe, 5767205]
[paragraph, [74.0, 1062.0, 631.0, 18.0], Lk2DrdvaNe, 5767205]
[paragraph, [74.0, 1080.0, 631.0, 18.0], Lk2DrdvaNe, 5767205]
[paragraph, [74.0, 1098.0, 631.0, 18.0], Lk2DrdvaNe, 5767205]
[paragraph, [74.0, 1116.0, 631.0, 18.0], Lk2DrdvaNe, 5767205]
[paragraph, [74.0, 1134.0, 631.0, 18.0], Lk2DrdvaNe, 5767205]
[paragraph, [74.0, 1152.0, 631.0, 18.0], Lk2DrdvaNe, 5767205]
[paragraph, [74.0, 1170.0, 631.0, 18.0], Lk2DrdvaNe, 5767205]
