[2234, 1660]
[flag, [652.0, 93.0, 346.0, 36.0], shoonya_2s8YMODIN9IPPV, 5654496]
[flag, [652.0, 129.0, 346.0, 36.0], shoonya_2s8YMODIN9IPPV, 5654496]
[flag, [652.0, 165.0, 346.0, 36.0], shoonya_2s8YMODIN9IPPV, 5654496]
[flag, [652.0, 201.0, 346.0, 36.0], shoonya_2s8YMODIN9IPPV, 5654496]
[flag, [652.0, 237.0, 346.0, 36.0], shoonya_2s8YMODIN9IPPV, 5654496]
[flag, [652.0, 273.0, 346.0, 36.0], shoonya_2s8YMODIN9IPPV, 5654496]
[section-title, [496.0, 465.0, 678.0, 52.5], shoonya_3sRJ25KHGXQXAM, 5654496]
[section-title, [496.0, 517.5, 678.0, 52.5], shoonya_3sRJ25KHGXQXAM, 5654496]
[author, [738.0, 609.0, 201.0, 36.0], shoonya_11sXGG4CDJRBDJ, 5654496]
[paragraph, [63.0, 708.0, 791.0, 36.0], shoonya_0s5EGK65Z0KO1W, 5654496]
[paragraph, [63.0, 744.0, 791.0, 36.0], shoonya_0s5EGK65Z0KO1W, 5654496]
[paragraph, [63.0, 780.0, 791.0, 36.0], shoonya_0s5EGK65Z0KO1W, 5654496]
[paragraph, [63.0, 816.0, 791.0, 36.0], shoonya_0s5EGK65Z0KO1W, 5654496]
[paragraph, [63.0, 852.0, 791.0, 36.0], shoonya_0s5EGK65Z0KO1W, 5654496]
[paragraph, [63.0, 888.0, 791.0, 36.0], shoonya_0s5EGK65Z0KO1W, 5654496]
[paragraph, [63.0, 924.0, 791.0, 36.0], shoonya_0s5EGK65Z0KO1W, 5654496]
[paragraph, [63.0, 960.0, 791.0, 36.0], shoonya_0s5EGK65Z0KO1W, 5654496]
[paragraph, [63.0, 996.0, 791.0, 36.0], shoonya_0s5EGK65Z0KO1W, 5654496]
[paragraph, [63.0, 1032.0, 791.0, 36.0], shoonya_0s5EGK65Z0KO1W, 5654496]
[paragraph, [63.0, 1068.0, 791.0, 36.0], shoonya_0s5EGK65Z0KO1W, 5654496]
[paragraph, [63.0, 1104.0, 791.0, 36.0], shoonya_0s5EGK65Z0KO1W, 5654496]
[paragraph, [63.0, 1140.0, 791.0, 36.0], shoonya_0s5EGK65Z0KO1W, 5654496]
[paragraph, [63.0, 1176.0, 791.0, 36.0], shoonya_0s5EGK65Z0KO1W, 5654496]
[paragraph, [63.0, 1212.0, 791.0, 36.0], shoonya_0s5EGK65Z0KO1W, 5654496]
[paragraph, [63.0, 1248.0, 791.0, 36.0], shoonya_0s5EGK65Z0KO1W, 5654496]
[paragraph, [63.0, 1284.0, 791.0, 36.0], shoonya_0s5EGK65Z0KO1W, 5654496]
[paragraph, [63.0, 1320.0, 791.0, 36.0], shoonya_0s5EGK65Z0KO1W, 5654496]
[paragraph, [63.0, 1356.0, 791.0, 36.0], shoonya_0s5EGK65Z0KO1W, 5654496]
[paragraph, [63.0, 1392.0, 791.0, 36.0], shoonya_0s5EGK65Z0KO1W, 5654496]
[paragraph, [63.0, 1428.0, 791.0, 36.0], shoonya_0s5EGK65Z0KO1W, 5654496]
[paragraph, [63.0, 1464.0, 791.0, 36.0], shoonya_0s5EGK65Z0KO1W, 5654496]
[paragraph, [63.0, 1500.0, 791.0, 36.0], shoonya_0s5EGK65Z0KO1W, 5654496]
[paragraph, [63.0, 1536.0, 791.0, 36.0], shoonya_0s5EGK65Z0KO1W, 5654496]
[paragraph, [63.0, 1572.0, 791.0, 36.0], shoonya_0s5EGK65Z0KO1W, 5654496]
[paragraph, [63.0, 1608.0, 791.0, 36.0], shoonya_0s5EGK65Z0KO1W, 5654496]
[paragraph, [63.0, 1644.0, 791.0, 36.0], shoonya_0s5EGK65Z0KO1W, 5654496]
[paragraph, [63.0, 1680.0, 791.0, 36.0], shoonya_0s5EGK65Z0KO1W, 5654496]
[paragraph, [63.0, 1716.0, 791.0, 36.0], shoonya_0s5EGK65Z0KO1W, 5654496]
