[810, 612]
[folio, [292.0, 124.0, 89.0, 18.0], XJZCcoWS_v, 6460005]
[paragraph, [161.0, 165.0, 343.0, 18.0], shoonya_0sMJQIJEH5GI58, 6460005]
[paragraph, [161.0, 183.0, 343.0, 18.0], shoonya_0sMJQIJEH5GI58, 6460005]
[paragraph, [161.0, 201.0, 343.0, 18.0], shoonya_0sMJQIJEH5GI58, 6460005]
[paragraph, [161.0, 219.0, 343.0, 18.0], shoonya_0sMJQIJEH5GI58, 6460005]
[paragraph, [161.0, 237.0, 343.0, 18.0], shoonya_0sMJQIJEH5GI58, 6460005]
[paragraph, [161.0, 255.0, 343.0, 18.0], shoonya_0sMJQIJEH5GI58, 6460005]
[paragraph, [161.0, 273.0, 343.0, 18.0], shoonya_0sMJQIJEH5GI58, 6460005]
[paragraph, [161.0, 291.0, 343.0, 18.0], shoonya_0sMJQIJEH5GI58, 6460005]
[paragraph, [161.0, 309.0, 343.0, 18.0], shoonya_0sMJQIJEH5GI58, 6460005]
[paragraph, [161.0, 327.0, 343.0, 18.0], shoonya_0sMJQIJEH5GI58, 6460005]
[paragraph, [161.0, 345.0, 343.0, 18.0], shoonya_0sMJQIJEH5GI58, 6460005]
[paragraph, [161.0, 363.0, 343.0, 18.0], shoonya_0sMJQIJEH5GI58, 6460005]
[paragraph, [161.0, 381.0, 343.0, 18.0], shoonya_0sMJQIJEH5GI58, 6460005]
[paragraph, [161.0, 399.0, 343.0, 18.0], shoonya_0sMJQIJEH5GI58, 6460005]
[paragraph, [245.0, 426.0, 181.0, 18.0], 37RtKq00tA, 6460005]
[paragraph, [259.0, 457.0, 150.0, 18.0], 3qUQbJunjr, 6460005]
[paragraph, [159.0, 589.0, 356.0, 18.0], FMAj-KwiPS, 6460005]
[paragraph, [159.0, 607.0, 356.0, 18.0], FMAj-KwiPS, 6460005]
[paragraph, [159.0, 625.0, 356.0, 18.0], FMAj-KwiPS, 6460005]
[paragraph, [159.0, 643.0, 356.0, 18.0], FMAj-KwiPS, 6460005]
[paragraph, [159.0, 661.0, 356.0, 18.0], FMAj-KwiPS, 6460005]
