[2339, 1656]
[paragraph, [804.0, 96.0, 731.0, 36.0], shoonya_1sHQASFMPA443D, 5749408]
[paragraph, [804.0, 132.0, 731.0, 36.0], shoonya_1sHQASFMPA443D, 5749408]
[paragraph, [804.0, 168.0, 731.0, 36.0], shoonya_1sHQASFMPA443D, 5749408]
[paragraph, [804.0, 204.0, 731.0, 36.0], shoonya_1sHQASFMPA443D, 5749408]
[paragraph, [804.0, 240.0, 731.0, 36.0], shoonya_1sHQASFMPA443D, 5749408]
[paragraph, [804.0, 276.0, 731.0, 36.0], shoonya_1sHQASFMPA443D, 5749408]
[paragraph, [804.0, 312.0, 731.0, 36.0], shoonya_1sHQASFMPA443D, 5749408]
[paragraph, [804.0, 348.0, 731.0, 36.0], shoonya_1sHQASFMPA443D, 5749408]
[paragraph, [804.0, 384.0, 731.0, 36.0], shoonya_1sHQASFMPA443D, 5749408]
[paragraph, [804.0, 420.0, 731.0, 36.0], shoonya_1sHQASFMPA443D, 5749408]
[paragraph, [804.0, 456.0, 731.0, 36.0], shoonya_1sHQASFMPA443D, 5749408]
[paragraph, [804.0, 492.0, 731.0, 36.0], shoonya_1sHQASFMPA443D, 5749408]
[paragraph, [804.0, 528.0, 731.0, 36.0], shoonya_1sHQASFMPA443D, 5749408]
[paragraph, [804.0, 564.0, 731.0, 36.0], shoonya_1sHQASFMPA443D, 5749408]
[paragraph, [804.0, 600.0, 731.0, 36.0], shoonya_1sHQASFMPA443D, 5749408]
[paragraph, [804.0, 636.0, 731.0, 36.0], shoonya_1sHQASFMPA443D, 5749408]
[paragraph, [804.0, 672.0, 731.0, 36.0], shoonya_1sHQASFMPA443D, 5749408]
[paragraph, [804.0, 708.0, 731.0, 36.0], shoonya_1sHQASFMPA443D, 5749408]
[paragraph, [804.0, 744.0, 731.0, 36.0], shoonya_1sHQASFMPA443D, 5749408]
[paragraph, [804.0, 780.0, 731.0, 36.0], shoonya_1sHQASFMPA443D, 5749408]
[paragraph, [804.0, 816.0, 731.0, 36.0], shoonya_1sHQASFMPA443D, 5749408]
[paragraph, [804.0, 852.0, 731.0, 36.0], shoonya_1sHQASFMPA443D, 5749408]
[paragraph, [804.0, 888.0, 731.0, 36.0], shoonya_1sHQASFMPA443D, 5749408]
[paragraph, [804.0, 924.0, 731.0, 36.0], shoonya_1sHQASFMPA443D, 5749408]
[paragraph, [804.0, 960.0, 731.0, 36.0], shoonya_1sHQASFMPA443D, 5749408]
[paragraph, [804.0, 996.0, 731.0, 36.0], shoonya_1sHQASFMPA443D, 5749408]
[paragraph, [804.0, 1032.0, 731.0, 36.0], shoonya_1sHQASFMPA443D, 5749408]
[paragraph, [804.0, 1068.0, 731.0, 36.0], shoonya_1sHQASFMPA443D, 5749408]
[paragraph, [804.0, 1104.0, 731.0, 36.0], shoonya_1sHQASFMPA443D, 5749408]
[paragraph, [804.0, 1140.0, 731.0, 36.0], shoonya_1sHQASFMPA443D, 5749408]
[paragraph, [804.0, 1176.0, 731.0, 36.0], shoonya_1sHQASFMPA443D, 5749408]
[paragraph, [804.0, 1212.0, 731.0, 36.0], shoonya_1sHQASFMPA443D, 5749408]
[paragraph, [804.0, 1248.0, 731.0, 36.0], shoonya_1sHQASFMPA443D, 5749408]
[paragraph, [804.0, 1284.0, 731.0, 36.0], shoonya_1sHQASFMPA443D, 5749408]
