[1650, 1275]
[paragraph, [249.0, 136.0, 838.0, 36.0], shoonya_0s8AFV8G0VKYHL, 6470539]
[paragraph, [249.0, 172.0, 838.0, 36.0], shoonya_0s8AFV8G0VKYHL, 6470539]
[paragraph, [249.0, 208.0, 838.0, 36.0], shoonya_0s8AFV8G0VKYHL, 6470539]
[paragraph, [249.0, 244.0, 838.0, 36.0], shoonya_0s8AFV8G0VKYHL, 6470539]
[paragraph, [249.0, 280.0, 838.0, 36.0], shoonya_0s8AFV8G0VKYHL, 6470539]
[paragraph, [249.0, 316.0, 838.0, 36.0], shoonya_0s8AFV8G0VKYHL, 6470539]
[paragraph, [249.0, 352.0, 838.0, 36.0], shoonya_0s8AFV8G0VKYHL, 6470539]
[paragraph, [249.0, 388.0, 838.0, 36.0], shoonya_0s8AFV8G0VKYHL, 6470539]
[paragraph, [249.0, 424.0, 838.0, 36.0], shoonya_0s8AFV8G0VKYHL, 6470539]
[paragraph, [249.0, 460.0, 838.0, 36.0], shoonya_0s8AFV8G0VKYHL, 6470539]
[paragraph, [249.0, 496.0, 838.0, 36.0], shoonya_0s8AFV8G0VKYHL, 6470539]
[paragraph, [249.0, 532.0, 838.0, 36.0], shoonya_0s8AFV8G0VKYHL, 6470539]
[paragraph, [249.0, 568.0, 838.0, 36.0], shoonya_0s8AFV8G0VKYHL, 6470539]
[paragraph, [249.0, 604.0, 838.0, 36.0], shoonya_0s8AFV8G0VKYHL, 6470539]
[paragraph, [249.0, 640.0, 838.0, 36.0], shoonya_0s8AFV8G0VKYHL, 6470539]
[paragraph, [249.0, 676.0, 838.0, 36.0], shoonya_0s8AFV8G0VKYHL, 6470539]
[paragraph, [397.0, 735.0, 248.0, 36.0], th1nqhptoE, 6470539]
[paragraph, [397.0, 771.0, 248.0, 36.0], th1nqhptoE, 6470539]
[paragraph, [397.0, 807.0, 248.0, 36.0], th1nqhptoE, 6470539]
[paragraph, [397.0, 843.0, 248.0, 36.0], th1nqhptoE, 6470539]
[paragraph, [397.0, 879.0, 248.0, 36.0], th1nqhptoE, 6470539]
[paragraph, [397.0, 915.0, 248.0, 36.0], th1nqhptoE, 6470539]
[paragraph, [397.0, 951.0, 248.0, 36.0], th1nqhptoE, 6470539]
[paragraph, [397.0, 987.0, 248.0, 36.0], th1nqhptoE, 6470539]
[folio, [681.0, 1063.0, 81.0, 36.0], cjsS1m5b3l, 6470539]
[paragraph, [256.0, 1108.0, 827.0, 36.0], 98PED8Gf3I, 6470539]
[paragraph, [256.0, 1144.0, 827.0, 36.0], 98PED8Gf3I, 6470539]
[paragraph, [256.0, 1180.0, 827.0, 36.0], 98PED8Gf3I, 6470539]
[paragraph, [256.0, 1216.0, 827.0, 36.0], 98PED8Gf3I, 6470539]
[paragraph, [256.0, 1252.0, 827.0, 36.0], 98PED8Gf3I, 6470539]
[paragraph, [256.0, 1288.0, 827.0, 36.0], 98PED8Gf3I, 6470539]
[paragraph, [256.0, 1324.0, 827.0, 36.0], 98PED8Gf3I, 6470539]
[paragraph, [256.0, 1360.0, 827.0, 36.0], 98PED8Gf3I, 6470539]
[paragraph, [256.0, 1396.0, 827.0, 36.0], 98PED8Gf3I, 6470539]
[paragraph, [256.0, 1432.0, 827.0, 36.0], 98PED8Gf3I, 6470539]
