[2339, 1653]
[paragraph, [325.0, 160.0, 1134.0, 36.0], shoonya_1sTN7B1HFUZ93P, 5734468]
[paragraph, [325.0, 196.0, 1134.0, 36.0], shoonya_1sTN7B1HFUZ93P, 5734468]
[paragraph, [325.0, 232.0, 1134.0, 36.0], shoonya_1sTN7B1HFUZ93P, 5734468]
[paragraph, [325.0, 268.0, 1134.0, 36.0], shoonya_1sTN7B1HFUZ93P, 5734468]
[paragraph, [325.0, 304.0, 1134.0, 36.0], shoonya_1sTN7B1HFUZ93P, 5734468]
[paragraph, [325.0, 340.0, 1134.0, 36.0], shoonya_1sTN7B1HFUZ93P, 5734468]
[paragraph, [325.0, 376.0, 1134.0, 36.0], shoonya_1sTN7B1HFUZ93P, 5734468]
[paragraph, [325.0, 412.0, 1134.0, 36.0], shoonya_1sTN7B1HFUZ93P, 5734468]
[paragraph, [325.0, 448.0, 1134.0, 36.0], shoonya_1sTN7B1HFUZ93P, 5734468]
[paragraph, [325.0, 484.0, 1134.0, 36.0], shoonya_1sTN7B1HFUZ93P, 5734468]
[paragraph, [325.0, 520.0, 1134.0, 36.0], shoonya_1sTN7B1HFUZ93P, 5734468]
[paragraph, [325.0, 556.0, 1134.0, 36.0], shoonya_1sTN7B1HFUZ93P, 5734468]
[paragraph, [325.0, 592.0, 1134.0, 36.0], shoonya_1sTN7B1HFUZ93P, 5734468]
[paragraph, [325.0, 628.0, 1134.0, 36.0], shoonya_1sTN7B1HFUZ93P, 5734468]
[paragraph, [325.0, 664.0, 1134.0, 36.0], shoonya_1sTN7B1HFUZ93P, 5734468]
[paragraph, [325.0, 700.0, 1134.0, 36.0], shoonya_1sTN7B1HFUZ93P, 5734468]
[paragraph, [325.0, 736.0, 1134.0, 36.0], shoonya_1sTN7B1HFUZ93P, 5734468]
[paragraph, [325.0, 772.0, 1134.0, 36.0], shoonya_1sTN7B1HFUZ93P, 5734468]
[paragraph, [325.0, 808.0, 1134.0, 36.0], shoonya_1sTN7B1HFUZ93P, 5734468]
[paragraph, [325.0, 844.0, 1134.0, 36.0], shoonya_1sTN7B1HFUZ93P, 5734468]
[paragraph, [325.0, 880.0, 1134.0, 36.0], shoonya_1sTN7B1HFUZ93P, 5734468]
[paragraph, [325.0, 916.0, 1134.0, 36.0], shoonya_1sTN7B1HFUZ93P, 5734468]
[paragraph, [325.0, 952.0, 1134.0, 36.0], shoonya_1sTN7B1HFUZ93P, 5734468]
[paragraph, [323.0, 999.0, 1141.0, 36.0], shoonya_0sF47EUO42XY65, 5734468]
[paragraph, [323.0, 1035.0, 1141.0, 36.0], shoonya_0sF47EUO42XY65, 5734468]
[paragraph, [323.0, 1071.0, 1141.0, 36.0], shoonya_0sF47EUO42XY65, 5734468]
[paragraph, [323.0, 1107.0, 1141.0, 36.0], shoonya_0sF47EUO42XY65, 5734468]
[paragraph, [323.0, 1143.0, 1141.0, 36.0], shoonya_0sF47EUO42XY65, 5734468]
[paragraph, [323.0, 1179.0, 1141.0, 36.0], shoonya_0sF47EUO42XY65, 5734468]
[paragraph, [323.0, 1215.0, 1141.0, 36.0], shoonya_0sF47EUO42XY65, 5734468]
[paragraph, [323.0, 1251.0, 1141.0, 36.0], shoonya_0sF47EUO42XY65, 5734468]
[paragraph, [323.0, 1287.0, 1141.0, 36.0], shoonya_0sF47EUO42XY65, 5734468]
[paragraph, [323.0, 1323.0, 1141.0, 36.0], shoonya_0sF47EUO42XY65, 5734468]
[paragraph, [323.0, 1359.0, 1141.0, 36.0], shoonya_0sF47EUO42XY65, 5734468]
[paragraph, [323.0, 1395.0, 1141.0, 36.0], shoonya_0sF47EUO42XY65, 5734468]
[paragraph, [323.0, 1431.0, 1141.0, 36.0], shoonya_0sF47EUO42XY65, 5734468]
[paragraph, [323.0, 1467.0, 1141.0, 36.0], shoonya_0sF47EUO42XY65, 5734468]
[paragraph, [323.0, 1503.0, 1141.0, 36.0], shoonya_0sF47EUO42XY65, 5734468]
[paragraph, [323.0, 1539.0, 1141.0, 36.0], shoonya_0sF47EUO42XY65, 5734468]
[paragraph, [323.0, 1575.0, 1141.0, 36.0], shoonya_0sF47EUO42XY65, 5734468]
[paragraph, [323.0, 1611.0, 1141.0, 36.0], shoonya_0sF47EUO42XY65, 5734468]
[paragraph, [323.0, 1647.0, 1141.0, 36.0], shoonya_0sF47EUO42XY65, 5734468]
[paragraph, [323.0, 1683.0, 1141.0, 36.0], shoonya_0sF47EUO42XY65, 5734468]
[paragraph, [323.0, 1719.0, 1141.0, 36.0], shoonya_0sF47EUO42XY65, 5734468]
[paragraph, [323.0, 1755.0, 1141.0, 36.0], shoonya_0sF47EUO42XY65, 5734468]
[paragraph, [323.0, 1791.0, 1141.0, 36.0], shoonya_0sF47EUO42XY65, 5734468]
[paragraph, [323.0, 1827.0, 1141.0, 36.0], shoonya_0sF47EUO42XY65, 5734468]
[paragraph, [323.0, 1863.0, 1141.0, 36.0], shoonya_0sF47EUO42XY65, 5734468]
[paragraph, [323.0, 1899.0, 1141.0, 36.0], shoonya_0sF47EUO42XY65, 5734468]
[paragraph, [323.0, 1935.0, 1141.0, 36.0], shoonya_0sF47EUO42XY65, 5734468]
[paragraph, [323.0, 1971.0, 1141.0, 36.0], shoonya_0sF47EUO42XY65, 5734468]
[paragraph, [323.0, 2007.0, 1141.0, 36.0], shoonya_0sF47EUO42XY65, 5734468]
[paragraph, [395.0, 2056.0, 1058.0, 36.0], shoonya_2sH73QA4EBKO1O, 5734468]
[folio, [808.0, 2153.0, 580.0, 36.0], sYLDatleL5, 5734468]
