[1875, 1200]
[folio, [189.0, 211.0, 264.0, 36.0], wewNTGnkUo, 5710693]
[paragraph, [199.0, 276.0, 818.0, 36.0], shoonya_2s7LHCIQIIPGH0, 5710693]
[paragraph, [199.0, 312.0, 818.0, 36.0], shoonya_2s7LHCIQIIPGH0, 5710693]
[paragraph, [199.0, 348.0, 818.0, 36.0], shoonya_2s7LHCIQIIPGH0, 5710693]
[paragraph, [199.0, 384.0, 818.0, 36.0], shoonya_2s7LHCIQIIPGH0, 5710693]
[paragraph, [199.0, 420.0, 818.0, 36.0], shoonya_2s7LHCIQIIPGH0, 5710693]
[paragraph, [199.0, 456.0, 818.0, 36.0], shoonya_2s7LHCIQIIPGH0, 5710693]
[paragraph, [201.0, 542.0, 815.0, 36.0], shoonya_1sEGBFVGUKBME5, 5710693]
[paragraph, [201.0, 578.0, 815.0, 36.0], shoonya_1sEGBFVGUKBME5, 5710693]
[paragraph, [201.0, 614.0, 815.0, 36.0], shoonya_1sEGBFVGUKBME5, 5710693]
[paragraph, [201.0, 650.0, 815.0, 36.0], shoonya_1sEGBFVGUKBME5, 5710693]
[paragraph, [201.0, 686.0, 815.0, 36.0], shoonya_1sEGBFVGUKBME5, 5710693]
[paragraph, [201.0, 722.0, 815.0, 36.0], shoonya_1sEGBFVGUKBME5, 5710693]
[paragraph, [201.0, 758.0, 815.0, 36.0], shoonya_1sEGBFVGUKBME5, 5710693]
[paragraph, [201.0, 794.0, 815.0, 36.0], shoonya_1sEGBFVGUKBME5, 5710693]
[paragraph, [201.0, 830.0, 815.0, 36.0], shoonya_1sEGBFVGUKBME5, 5710693]
[paragraph, [201.0, 866.0, 815.0, 36.0], shoonya_1sEGBFVGUKBME5, 5710693]
[paragraph, [201.0, 902.0, 815.0, 36.0], shoonya_1sEGBFVGUKBME5, 5710693]
[paragraph, [204.0, 972.0, 810.0, 36.0], shoonya_0sVIMZUTHZ97PT, 5710693]
[paragraph, [204.0, 1008.0, 810.0, 36.0], shoonya_0sVIMZUTHZ97PT, 5710693]
[paragraph, [204.0, 1044.0, 810.0, 36.0], shoonya_0sVIMZUTHZ97PT, 5710693]
[paragraph, [204.0, 1080.0, 810.0, 36.0], shoonya_0sVIMZUTHZ97PT, 5710693]
[paragraph, [204.0, 1116.0, 810.0, 36.0], shoonya_0sVIMZUTHZ97PT, 5710693]
[paragraph, [204.0, 1152.0, 810.0, 36.0], shoonya_0sVIMZUTHZ97PT, 5710693]
[paragraph, [204.0, 1188.0, 810.0, 36.0], shoonya_0sVIMZUTHZ97PT, 5710693]
[paragraph, [204.0, 1224.0, 810.0, 36.0], shoonya_0sVIMZUTHZ97PT, 5710693]
[paragraph, [204.0, 1260.0, 810.0, 36.0], shoonya_0sVIMZUTHZ97PT, 5710693]
[paragraph, [204.0, 1296.0, 810.0, 36.0], shoonya_0sVIMZUTHZ97PT, 5710693]
[paragraph, [204.0, 1332.0, 810.0, 36.0], shoonya_0sVIMZUTHZ97PT, 5710693]
[paragraph, [202.0, 1482.0, 816.0, 36.0], shoonya_4sW6II6Y2VN7GR, 5710693]
[paragraph, [202.0, 1518.0, 816.0, 36.0], shoonya_4sW6II6Y2VN7GR, 5710693]
[paragraph, [202.0, 1554.0, 816.0, 36.0], shoonya_4sW6II6Y2VN7GR, 5710693]
