[2339, 1656]
[headline, [726.0, 206.0, 202.0, 67.5], e2YPStdOJZ, 5752556]
[paragraph, [271.0, 343.0, 362.0, 36.0], hb4bzo2bkW, 5752556]
[paragraph, [271.0, 379.0, 362.0, 36.0], hb4bzo2bkW, 5752556]
[paragraph, [271.0, 415.0, 362.0, 36.0], hb4bzo2bkW, 5752556]
[paragraph, [271.0, 451.0, 362.0, 36.0], hb4bzo2bkW, 5752556]
[paragraph, [271.0, 487.0, 362.0, 36.0], hb4bzo2bkW, 5752556]
[paragraph, [271.0, 523.0, 362.0, 36.0], hb4bzo2bkW, 5752556]
[paragraph, [271.0, 559.0, 362.0, 36.0], hb4bzo2bkW, 5752556]
[paragraph, [271.0, 595.0, 362.0, 36.0], hb4bzo2bkW, 5752556]
[paragraph, [271.0, 631.0, 362.0, 36.0], hb4bzo2bkW, 5752556]
[paragraph, [271.0, 667.0, 362.0, 36.0], hb4bzo2bkW, 5752556]
[paragraph, [271.0, 703.0, 362.0, 36.0], hb4bzo2bkW, 5752556]
[paragraph, [271.0, 739.0, 362.0, 36.0], hb4bzo2bkW, 5752556]
[paragraph, [271.0, 775.0, 362.0, 36.0], hb4bzo2bkW, 5752556]
[paragraph, [271.0, 811.0, 362.0, 36.0], hb4bzo2bkW, 5752556]
[paragraph, [271.0, 847.0, 362.0, 36.0], hb4bzo2bkW, 5752556]
[paragraph, [271.0, 883.0, 362.0, 36.0], hb4bzo2bkW, 5752556]
[paragraph, [271.0, 919.0, 362.0, 36.0], hb4bzo2bkW, 5752556]
[paragraph, [271.0, 955.0, 362.0, 36.0], hb4bzo2bkW, 5752556]
[paragraph, [271.0, 991.0, 362.0, 36.0], hb4bzo2bkW, 5752556]
[paragraph, [271.0, 1027.0, 362.0, 36.0], hb4bzo2bkW, 5752556]
[paragraph, [271.0, 1063.0, 362.0, 36.0], hb4bzo2bkW, 5752556]
[paragraph, [271.0, 1099.0, 362.0, 36.0], hb4bzo2bkW, 5752556]
[paragraph, [271.0, 1135.0, 362.0, 36.0], hb4bzo2bkW, 5752556]
[paragraph, [271.0, 1171.0, 362.0, 36.0], hb4bzo2bkW, 5752556]
[author, [896.0, 1475.0, 658.0, 36.0], 1tQC3la28b, 5752556]
[author, [896.0, 1511.0, 658.0, 36.0], 1tQC3la28b, 5752556]
[author, [896.0, 1547.0, 658.0, 36.0], 1tQC3la28b, 5752556]
[author, [896.0, 1583.0, 658.0, 36.0], 1tQC3la28b, 5752556]
[author, [896.0, 1619.0, 658.0, 36.0], 1tQC3la28b, 5752556]
[folio, [1132.0, 2171.0, 478.0, 36.0], eOViJyKk08, 5752556]
[dateline, [1208.0, 2243.0, 395.0, 64.5], es4Ujm79ND, 5752556]
