[1650, 934]
[folio, [303.0, 110.0, 305.0, 36.0], nh0NV2fDE7, 5766551]
[paragraph, [35.0, 167.0, 832.0, 36.0], shoonya_0s3D60H0ZVWIR8, 5766551]
[paragraph, [35.0, 203.0, 832.0, 36.0], shoonya_0s3D60H0ZVWIR8, 5766551]
[paragraph, [35.0, 239.0, 832.0, 36.0], shoonya_0s3D60H0ZVWIR8, 5766551]
[paragraph, [35.0, 275.0, 832.0, 36.0], shoonya_0s3D60H0ZVWIR8, 5766551]
[paragraph, [35.0, 311.0, 832.0, 36.0], shoonya_0s3D60H0ZVWIR8, 5766551]
[paragraph, [35.0, 347.0, 832.0, 36.0], shoonya_0s3D60H0ZVWIR8, 5766551]
[paragraph, [35.0, 383.0, 832.0, 36.0], shoonya_0s3D60H0ZVWIR8, 5766551]
[paragraph, [35.0, 419.0, 832.0, 36.0], shoonya_0s3D60H0ZVWIR8, 5766551]
[paragraph, [35.0, 455.0, 832.0, 36.0], shoonya_0s3D60H0ZVWIR8, 5766551]
[paragraph, [35.0, 491.0, 832.0, 36.0], shoonya_0s3D60H0ZVWIR8, 5766551]
[paragraph, [35.0, 527.0, 832.0, 36.0], shoonya_0s3D60H0ZVWIR8, 5766551]
[paragraph, [35.0, 563.0, 832.0, 36.0], shoonya_0s3D60H0ZVWIR8, 5766551]
[paragraph, [35.0, 599.0, 832.0, 36.0], shoonya_0s3D60H0ZVWIR8, 5766551]
[paragraph, [35.0, 635.0, 832.0, 36.0], shoonya_0s3D60H0ZVWIR8, 5766551]
[paragraph, [35.0, 671.0, 832.0, 36.0], shoonya_0s3D60H0ZVWIR8, 5766551]
[paragraph, [35.0, 707.0, 832.0, 36.0], shoonya_0s3D60H0ZVWIR8, 5766551]
[paragraph, [35.0, 743.0, 832.0, 36.0], shoonya_0s3D60H0ZVWIR8, 5766551]
[paragraph, [35.0, 779.0, 832.0, 36.0], shoonya_0s3D60H0ZVWIR8, 5766551]
[paragraph, [35.0, 815.0, 832.0, 36.0], shoonya_0s3D60H0ZVWIR8, 5766551]
[paragraph, [35.0, 851.0, 832.0, 36.0], shoonya_0s3D60H0ZVWIR8, 5766551]
[paragraph, [35.0, 887.0, 832.0, 36.0], shoonya_0s3D60H0ZVWIR8, 5766551]
[paragraph, [35.0, 923.0, 832.0, 36.0], shoonya_0s3D60H0ZVWIR8, 5766551]
[paragraph, [35.0, 959.0, 832.0, 36.0], shoonya_0s3D60H0ZVWIR8, 5766551]
[paragraph, [35.0, 995.0, 832.0, 36.0], shoonya_0s3D60H0ZVWIR8, 5766551]
[paragraph, [35.0, 1031.0, 832.0, 36.0], shoonya_0s3D60H0ZVWIR8, 5766551]
[paragraph, [35.0, 1067.0, 832.0, 36.0], shoonya_0s3D60H0ZVWIR8, 5766551]
[paragraph, [35.0, 1103.0, 832.0, 36.0], shoonya_0s3D60H0ZVWIR8, 5766551]
[paragraph, [35.0, 1139.0, 832.0, 36.0], shoonya_0s3D60H0ZVWIR8, 5766551]
[paragraph, [35.0, 1175.0, 832.0, 36.0], shoonya_0s3D60H0ZVWIR8, 5766551]
[paragraph, [35.0, 1211.0, 832.0, 36.0], shoonya_0s3D60H0ZVWIR8, 5766551]
[paragraph, [35.0, 1247.0, 832.0, 36.0], shoonya_0s3D60H0ZVWIR8, 5766551]
[paragraph, [35.0, 1283.0, 832.0, 36.0], shoonya_0s3D60H0ZVWIR8, 5766551]
[paragraph, [35.0, 1319.0, 832.0, 36.0], shoonya_0s3D60H0ZVWIR8, 5766551]
[paragraph, [35.0, 1355.0, 832.0, 36.0], shoonya_0s3D60H0ZVWIR8, 5766551]
[paragraph, [35.0, 1391.0, 832.0, 36.0], shoonya_0s3D60H0ZVWIR8, 5766551]
[paragraph, [35.0, 1427.0, 832.0, 36.0], shoonya_0s3D60H0ZVWIR8, 5766551]
[paragraph, [35.0, 1463.0, 832.0, 36.0], shoonya_0s3D60H0ZVWIR8, 5766551]
