[1787, 1218]
[paragraph, [412.0, 98.0, 425.0, 36.0], shoonya_8sLH0CJDF4M81O, 5651263]
[paragraph, [412.0, 134.0, 425.0, 36.0], shoonya_8sLH0CJDF4M81O, 5651263]
[paragraph, [285.0, 185.0, 463.0, 36.0], _ZV0Ri_x_b, 5651263]
[paragraph, [285.0, 221.0, 463.0, 36.0], _ZV0Ri_x_b, 5651263]
[paragraph, [285.0, 257.0, 463.0, 36.0], _ZV0Ri_x_b, 5651263]
[paragraph, [107.0, 303.0, 1002.0, 36.0], shoonya_0sP1S1NGAH2TOZ, 5651263]
[paragraph, [107.0, 339.0, 1002.0, 36.0], shoonya_0sP1S1NGAH2TOZ, 5651263]
[paragraph, [107.0, 375.0, 1002.0, 36.0], shoonya_0sP1S1NGAH2TOZ, 5651263]
[paragraph, [107.0, 411.0, 1002.0, 36.0], shoonya_0sP1S1NGAH2TOZ, 5651263]
[paragraph, [107.0, 447.0, 1002.0, 36.0], shoonya_0sP1S1NGAH2TOZ, 5651263]
[paragraph, [107.0, 483.0, 1002.0, 36.0], shoonya_0sP1S1NGAH2TOZ, 5651263]
[paragraph, [107.0, 519.0, 1002.0, 36.0], shoonya_0sP1S1NGAH2TOZ, 5651263]
[paragraph, [107.0, 555.0, 1002.0, 36.0], shoonya_0sP1S1NGAH2TOZ, 5651263]
[paragraph, [107.0, 591.0, 1002.0, 36.0], shoonya_0sP1S1NGAH2TOZ, 5651263]
[paragraph, [107.0, 627.0, 1002.0, 36.0], shoonya_0sP1S1NGAH2TOZ, 5651263]
[paragraph, [107.0, 663.0, 1002.0, 36.0], shoonya_0sP1S1NGAH2TOZ, 5651263]
[paragraph, [107.0, 699.0, 1002.0, 36.0], shoonya_0sP1S1NGAH2TOZ, 5651263]
[paragraph, [107.0, 735.0, 1002.0, 36.0], shoonya_0sP1S1NGAH2TOZ, 5651263]
[paragraph, [107.0, 771.0, 1002.0, 36.0], shoonya_0sP1S1NGAH2TOZ, 5651263]
[paragraph, [104.0, 815.0, 1003.0, 36.0], shoonya_2sAWNEG3M1287N, 5651263]
[paragraph, [104.0, 851.0, 1003.0, 36.0], shoonya_2sAWNEG3M1287N, 5651263]
[paragraph, [104.0, 887.0, 1003.0, 36.0], shoonya_2sAWNEG3M1287N, 5651263]
[paragraph, [104.0, 923.0, 1003.0, 36.0], shoonya_2sAWNEG3M1287N, 5651263]
[paragraph, [104.0, 959.0, 1003.0, 36.0], shoonya_2sAWNEG3M1287N, 5651263]
[paragraph, [104.0, 995.0, 1003.0, 36.0], shoonya_2sAWNEG3M1287N, 5651263]
[paragraph, [279.0, 1053.0, 319.0, 36.0], shoonya_7s0CKWTLUGQ56U, 5651263]
[paragraph, [279.0, 1089.0, 319.0, 36.0], shoonya_7s0CKWTLUGQ56U, 5651263]
[paragraph, [279.0, 1125.0, 319.0, 36.0], shoonya_7s0CKWTLUGQ56U, 5651263]
[paragraph, [279.0, 1161.0, 319.0, 36.0], shoonya_7s0CKWTLUGQ56U, 5651263]
[paragraph, [105.0, 1229.0, 1005.0, 36.0], shoonya_1sD406XFQAVMJJ, 5651263]
[paragraph, [105.0, 1265.0, 1005.0, 36.0], shoonya_1sD406XFQAVMJJ, 5651263]
[paragraph, [105.0, 1301.0, 1005.0, 36.0], shoonya_1sD406XFQAVMJJ, 5651263]
[paragraph, [105.0, 1337.0, 1005.0, 36.0], shoonya_1sD406XFQAVMJJ, 5651263]
[paragraph, [105.0, 1373.0, 1005.0, 36.0], shoonya_1sD406XFQAVMJJ, 5651263]
[paragraph, [105.0, 1409.0, 1005.0, 36.0], shoonya_1sD406XFQAVMJJ, 5651263]
[paragraph, [105.0, 1445.0, 1005.0, 36.0], shoonya_1sD406XFQAVMJJ, 5651263]
[paragraph, [105.0, 1481.0, 1005.0, 36.0], shoonya_1sD406XFQAVMJJ, 5651263]
[paragraph, [105.0, 1517.0, 1005.0, 36.0], shoonya_1sD406XFQAVMJJ, 5651263]
[footnote, [445.0, 1622.0, 230.0, 36.0], JP0bppnnfC, 5651263]
