[1447, 1063]
[folio, [426.0, 49.0, 211.0, 18.0], AVjn0ps8QF, 5762505]
[folio, [426.0, 67.0, 211.0, 18.0], AVjn0ps8QF, 5762505]
[section-title, [119.0, 114.0, 435.0, 30.0], u0906hfBx9, 5762505]
[contact-info, [120.0, 171.0, 411.0, 18.0], MqUoqxRYsv, 5762505]
[contact-info, [120.0, 189.0, 411.0, 18.0], MqUoqxRYsv, 5762505]
[contact-info, [120.0, 207.0, 411.0, 18.0], MqUoqxRYsv, 5762505]
[contact-info, [120.0, 225.0, 411.0, 18.0], MqUoqxRYsv, 5762505]
[contact-info, [119.0, 256.0, 422.0, 18.0], 6SniN5QdA3, 5762505]
[contact-info, [119.0, 274.0, 422.0, 18.0], 6SniN5QdA3, 5762505]
[contact-info, [119.0, 292.0, 422.0, 18.0], 6SniN5QdA3, 5762505]
[contact-info, [119.0, 310.0, 422.0, 18.0], 6SniN5QdA3, 5762505]
[contact-info, [555.0, 300.0, 369.0, 18.0], gRBEhnkfTM, 5762505]
[contact-info, [555.0, 318.0, 369.0, 18.0], gRBEhnkfTM, 5762505]
[contact-info, [555.0, 336.0, 369.0, 18.0], gRBEhnkfTM, 5762505]
[contact-info, [555.0, 354.0, 369.0, 18.0], gRBEhnkfTM, 5762505]
[contact-info, [555.0, 372.0, 369.0, 18.0], gRBEhnkfTM, 5762505]
[contact-info, [555.0, 390.0, 369.0, 18.0], gRBEhnkfTM, 5762505]
[contact-info, [555.0, 408.0, 369.0, 18.0], gRBEhnkfTM, 5762505]
[contact-info, [124.0, 347.0, 425.0, 18.0], jYclgZmkiA, 5762505]
[contact-info, [124.0, 365.0, 425.0, 18.0], jYclgZmkiA, 5762505]
[contact-info, [124.0, 405.0, 421.0, 18.0], gTe0huPU-U, 5762505]
[contact-info, [124.0, 423.0, 421.0, 18.0], gTe0huPU-U, 5762505]
[contact-info, [124.0, 441.0, 421.0, 18.0], gTe0huPU-U, 5762505]
[contact-info, [124.0, 459.0, 421.0, 18.0], gTe0huPU-U, 5762505]
[contact-info, [559.0, 444.0, 364.0, 18.0], N4P04I7J4a, 5762505]
[contact-info, [559.0, 462.0, 364.0, 18.0], N4P04I7J4a, 5762505]
[contact-info, [559.0, 480.0, 364.0, 18.0], N4P04I7J4a, 5762505]
[contact-info, [559.0, 498.0, 364.0, 18.0], N4P04I7J4a, 5762505]
[contact-info, [559.0, 516.0, 364.0, 18.0], N4P04I7J4a, 5762505]
[contact-info, [559.0, 534.0, 364.0, 18.0], N4P04I7J4a, 5762505]
[contact-info, [559.0, 552.0, 364.0, 18.0], N4P04I7J4a, 5762505]
[contact-info, [124.0, 494.0, 415.0, 18.0], 7hqOYo4Oy_, 5762505]
[contact-info, [124.0, 512.0, 415.0, 18.0], 7hqOYo4Oy_, 5762505]
[contact-info, [124.0, 530.0, 415.0, 18.0], 7hqOYo4Oy_, 5762505]
[contact-info, [124.0, 548.0, 415.0, 18.0], 7hqOYo4Oy_, 5762505]
[contact-info, [124.0, 585.0, 415.0, 18.0], jzZeXA5qzH, 5762505]
[contact-info, [124.0, 603.0, 415.0, 18.0], jzZeXA5qzH, 5762505]
[contact-info, [124.0, 621.0, 415.0, 18.0], jzZeXA5qzH, 5762505]
[contact-info, [124.0, 639.0, 415.0, 18.0], jzZeXA5qzH, 5762505]
[contact-info, [124.0, 657.0, 415.0, 18.0], jzZeXA5qzH, 5762505]
[contact-info, [124.0, 675.0, 415.0, 18.0], jzZeXA5qzH, 5762505]
[contact-info, [556.0, 594.0, 368.0, 18.0], 3AjzCX8hDa, 5762505]
[contact-info, [556.0, 612.0, 368.0, 18.0], 3AjzCX8hDa, 5762505]
[contact-info, [556.0, 630.0, 368.0, 18.0], 3AjzCX8hDa, 5762505]
[contact-info, [556.0, 648.0, 368.0, 18.0], 3AjzCX8hDa, 5762505]
[contact-info, [556.0, 666.0, 368.0, 18.0], 3AjzCX8hDa, 5762505]
[contact-info, [556.0, 684.0, 368.0, 18.0], 3AjzCX8hDa, 5762505]
[section-title, [341.0, 744.0, 399.0, 30.0], e2qgFuNGej, 5762505]
[paragraph, [150.0, 793.0, 781.0, 18.0], QM40CW_2eT, 5762505]
[paragraph, [150.0, 811.0, 781.0, 18.0], QM40CW_2eT, 5762505]
[paragraph, [150.0, 829.0, 781.0, 18.0], QM40CW_2eT, 5762505]
[paragraph, [150.0, 847.0, 781.0, 18.0], QM40CW_2eT, 5762505]
[paragraph, [150.0, 865.0, 781.0, 18.0], QM40CW_2eT, 5762505]
[contact-info, [240.0, 1190.0, 583.0, 18.0], iCx_IPepBJ, 5762505]
[contact-info, [240.0, 1208.0, 583.0, 18.0], iCx_IPepBJ, 5762505]
[contact-info, [240.0, 1226.0, 583.0, 18.0], iCx_IPepBJ, 5762505]
[contact-info, [240.0, 1244.0, 583.0, 18.0], iCx_IPepBJ, 5762505]
[website-link, [377.0, 1276.0, 312.0, 18.0], qWg_ygW3Oq, 5762505]
