[872, 605]
[section-title, [246.0, 32.0, 111.0, 30.0], XD1qjB2O0r, 6457023]
[folio, [38.0, 33.0, 92.0, 18.0], shoonya_0sGGSIMLUMGEB1, 6457023]
[paragraph, [38.0, 71.0, 210.0, 18.0], 79MLpoyYwP, 6457023]
[paragraph, [305.0, 72.0, 262.0, 18.0], JB24dIOSUg, 6457023]
[paragraph, [52.0, 94.0, 199.0, 18.0], nxrpQz_GNT, 6457023]
[paragraph, [312.0, 94.0, 245.0, 18.0], IXKdY7I9JP, 6457023]
[paragraph, [304.0, 114.0, 245.0, 18.0], zhU38pia-z, 6457023]
[paragraph, [304.0, 132.0, 245.0, 18.0], zhU38pia-z, 6457023]
[paragraph, [40.0, 115.0, 229.0, 18.0], D5xVqEvfoa, 6457023]
[paragraph, [38.0, 137.0, 258.0, 18.0], QH7sbqpc7j, 6457023]
[paragraph, [38.0, 155.0, 258.0, 18.0], QH7sbqpc7j, 6457023]
[paragraph, [304.0, 152.0, 256.0, 18.0], ZOFqU-4epf, 6457023]
[paragraph, [304.0, 170.0, 256.0, 18.0], ZOFqU-4epf, 6457023]
[paragraph, [41.0, 174.0, 249.0, 18.0], H6wPJZVR-j, 6457023]
[paragraph, [41.0, 192.0, 249.0, 18.0], H6wPJZVR-j, 6457023]
[paragraph, [304.0, 189.0, 257.0, 18.0], tuX-fG8CSQ, 6457023]
[paragraph, [304.0, 207.0, 257.0, 18.0], tuX-fG8CSQ, 6457023]
[paragraph, [39.0, 212.0, 263.0, 18.0], E2krfVyGbc, 6457023]
[paragraph, [39.0, 230.0, 263.0, 18.0], E2krfVyGbc, 6457023]
[paragraph, [304.0, 228.0, 259.0, 18.0], UB4gjrvaqg, 6457023]
[paragraph, [304.0, 246.0, 259.0, 18.0], UB4gjrvaqg, 6457023]
[paragraph, [41.0, 250.0, 235.0, 18.0], PTKauzOxma, 6457023]
[paragraph, [41.0, 268.0, 235.0, 18.0], PTKauzOxma, 6457023]
[paragraph, [302.0, 261.0, 258.0, 18.0], qUROiPAa8d, 6457023]
[paragraph, [302.0, 279.0, 258.0, 18.0], qUROiPAa8d, 6457023]
[paragraph, [38.0, 291.0, 263.0, 18.0], gfHxJRqs5T, 6457023]
[paragraph, [38.0, 309.0, 263.0, 18.0], gfHxJRqs5T, 6457023]
[paragraph, [302.0, 303.0, 262.0, 18.0], QXSR1eaWtb, 6457023]
[paragraph, [302.0, 321.0, 262.0, 18.0], QXSR1eaWtb, 6457023]
[paragraph, [37.0, 324.0, 217.0, 18.0], Psv3gqNuEd, 6457023]
[paragraph, [301.0, 337.0, 251.0, 18.0], YkQ5F_EcKD, 6457023]
[paragraph, [301.0, 355.0, 251.0, 18.0], YkQ5F_EcKD, 6457023]
[paragraph, [39.0, 346.0, 262.0, 18.0], V0C3sF8Nsv, 6457023]
[paragraph, [39.0, 364.0, 262.0, 18.0], V0C3sF8Nsv, 6457023]
[paragraph, [39.0, 382.0, 262.0, 18.0], V0C3sF8Nsv, 6457023]
[paragraph, [39.0, 400.0, 262.0, 18.0], V0C3sF8Nsv, 6457023]
[paragraph, [39.0, 418.0, 262.0, 18.0], V0C3sF8Nsv, 6457023]
[paragraph, [302.0, 374.0, 260.0, 18.0], IwmDFxb73v, 6457023]
[paragraph, [302.0, 392.0, 260.0, 18.0], IwmDFxb73v, 6457023]
[paragraph, [302.0, 411.0, 259.0, 18.0], B7CfBoDi-Q, 6457023]
[paragraph, [302.0, 429.0, 259.0, 18.0], B7CfBoDi-Q, 6457023]
[paragraph, [37.0, 434.0, 264.0, 18.0], F6u8SEDQvX, 6457023]
[paragraph, [302.0, 450.0, 262.0, 18.0], PfPvtxrcNi, 6457023]
[paragraph, [302.0, 468.0, 262.0, 18.0], PfPvtxrcNi, 6457023]
[paragraph, [36.0, 455.0, 231.0, 18.0], wVc2MYaAt4, 6457023]
[paragraph, [36.0, 478.0, 266.0, 18.0], wlYvZ6GrLk, 6457023]
[paragraph, [36.0, 496.0, 266.0, 18.0], wlYvZ6GrLk, 6457023]
[paragraph, [36.0, 514.0, 266.0, 18.0], wlYvZ6GrLk, 6457023]
[paragraph, [328.0, 489.0, 203.0, 18.0], SEo-lkCjhF, 6457023]
[paragraph, [328.0, 507.0, 203.0, 18.0], SEo-lkCjhF, 6457023]
[paragraph, [328.0, 525.0, 203.0, 18.0], SEo-lkCjhF, 6457023]
[paragraph, [328.0, 543.0, 203.0, 18.0], SEo-lkCjhF, 6457023]
[paragraph, [37.0, 534.0, 234.0, 18.0], rjKwdenWoB, 6457023]
[paragraph, [37.0, 553.0, 265.0, 18.0], lPrItv3lip, 6457023]
[paragraph, [37.0, 571.0, 265.0, 18.0], lPrItv3lip, 6457023]
[paragraph, [304.0, 562.0, 258.0, 18.0], qpMfK596eD, 6457023]
[paragraph, [304.0, 580.0, 258.0, 18.0], qpMfK596eD, 6457023]
[paragraph, [304.0, 598.0, 258.0, 18.0], qpMfK596eD, 6457023]
[paragraph, [38.0, 589.0, 205.0, 18.0], YWjqht0TDI, 6457023]
[paragraph, [40.0, 612.0, 263.0, 18.0], 0eXik_-AfO, 6457023]
[paragraph, [40.0, 630.0, 263.0, 18.0], 0eXik_-AfO, 6457023]
[paragraph, [329.0, 615.0, 203.0, 18.0], NJVJ3yN4iq, 6457023]
[paragraph, [329.0, 633.0, 203.0, 18.0], NJVJ3yN4iq, 6457023]
[paragraph, [329.0, 651.0, 203.0, 18.0], NJVJ3yN4iq, 6457023]
[paragraph, [329.0, 669.0, 203.0, 18.0], NJVJ3yN4iq, 6457023]
[reference, [40.0, 649.0, 262.0, 18.0], BeCFS5Vkct, 6457023]
[reference, [40.0, 667.0, 262.0, 18.0], BeCFS5Vkct, 6457023]
[reference, [40.0, 685.0, 262.0, 18.0], BeCFS5Vkct, 6457023]
[reference, [40.0, 703.0, 262.0, 18.0], BeCFS5Vkct, 6457023]
[reference, [40.0, 721.0, 262.0, 18.0], BeCFS5Vkct, 6457023]
[reference, [40.0, 739.0, 262.0, 18.0], BeCFS5Vkct, 6457023]
[reference, [40.0, 757.0, 262.0, 18.0], BeCFS5Vkct, 6457023]
[reference, [40.0, 775.0, 262.0, 18.0], BeCFS5Vkct, 6457023]
[reference, [40.0, 793.0, 262.0, 18.0], BeCFS5Vkct, 6457023]
[reference, [40.0, 811.0, 262.0, 18.0], BeCFS5Vkct, 6457023]
[paragraph, [319.0, 690.0, 243.0, 18.0], xCyo_sGbO3, 6457023]
[reference, [302.0, 707.0, 261.0, 18.0], 7WTCJF5hQG, 6457023]
[reference, [302.0, 725.0, 261.0, 18.0], 7WTCJF5hQG, 6457023]
[reference, [302.0, 743.0, 261.0, 18.0], 7WTCJF5hQG, 6457023]
[reference, [302.0, 761.0, 261.0, 18.0], 7WTCJF5hQG, 6457023]
[reference, [302.0, 779.0, 261.0, 18.0], 7WTCJF5hQG, 6457023]
[reference, [302.0, 797.0, 261.0, 18.0], 7WTCJF5hQG, 6457023]
[reference, [302.0, 815.0, 261.0, 18.0], 7WTCJF5hQG, 6457023]
