[1754, 1241]
[paragraph, [273.0, 147.0, 832.0, 36.0], shoonya_4sLN5H7Z5YDAVK, 6471178]
[paragraph, [273.0, 183.0, 832.0, 36.0], shoonya_4sLN5H7Z5YDAVK, 6471178]
[paragraph, [273.0, 219.0, 832.0, 36.0], shoonya_4sLN5H7Z5YDAVK, 6471178]
[paragraph, [273.0, 255.0, 832.0, 36.0], shoonya_4sLN5H7Z5YDAVK, 6471178]
[paragraph, [273.0, 291.0, 832.0, 36.0], shoonya_4sLN5H7Z5YDAVK, 6471178]
[paragraph, [273.0, 327.0, 832.0, 36.0], shoonya_4sLN5H7Z5YDAVK, 6471178]
[paragraph, [194.0, 399.0, 922.0, 36.0], shoonya_1sA3HW85Z8OK14, 6471178]
[paragraph, [194.0, 435.0, 922.0, 36.0], shoonya_1sA3HW85Z8OK14, 6471178]
[paragraph, [194.0, 471.0, 922.0, 36.0], shoonya_1sA3HW85Z8OK14, 6471178]
[paragraph, [194.0, 507.0, 922.0, 36.0], shoonya_1sA3HW85Z8OK14, 6471178]
[paragraph, [194.0, 543.0, 922.0, 36.0], shoonya_1sA3HW85Z8OK14, 6471178]
[paragraph, [194.0, 579.0, 922.0, 36.0], shoonya_1sA3HW85Z8OK14, 6471178]
[paragraph, [194.0, 615.0, 922.0, 36.0], shoonya_1sA3HW85Z8OK14, 6471178]
[paragraph, [194.0, 651.0, 922.0, 36.0], shoonya_1sA3HW85Z8OK14, 6471178]
[paragraph, [194.0, 687.0, 922.0, 36.0], shoonya_1sA3HW85Z8OK14, 6471178]
[paragraph, [194.0, 723.0, 922.0, 36.0], shoonya_1sA3HW85Z8OK14, 6471178]
[paragraph, [194.0, 759.0, 922.0, 36.0], shoonya_1sA3HW85Z8OK14, 6471178]
[paragraph, [194.0, 795.0, 922.0, 36.0], shoonya_1sA3HW85Z8OK14, 6471178]
[paragraph, [194.0, 831.0, 922.0, 36.0], shoonya_1sA3HW85Z8OK14, 6471178]
[paragraph, [194.0, 867.0, 922.0, 36.0], shoonya_1sA3HW85Z8OK14, 6471178]
[paragraph, [194.0, 903.0, 922.0, 36.0], shoonya_1sA3HW85Z8OK14, 6471178]
[paragraph, [194.0, 939.0, 922.0, 36.0], shoonya_1sA3HW85Z8OK14, 6471178]
[paragraph, [194.0, 975.0, 922.0, 36.0], shoonya_1sA3HW85Z8OK14, 6471178]
[paragraph, [194.0, 1011.0, 922.0, 36.0], shoonya_1sA3HW85Z8OK14, 6471178]
[paragraph, [194.0, 1047.0, 922.0, 36.0], shoonya_1sA3HW85Z8OK14, 6471178]
[paragraph, [194.0, 1083.0, 922.0, 36.0], shoonya_1sA3HW85Z8OK14, 6471178]
[paragraph, [201.0, 1157.0, 917.0, 36.0], shoonya_0sQ0JM0N0YDARI, 6471178]
[paragraph, [201.0, 1193.0, 917.0, 36.0], shoonya_0sQ0JM0N0YDARI, 6471178]
[paragraph, [201.0, 1229.0, 917.0, 36.0], shoonya_0sQ0JM0N0YDARI, 6471178]
[paragraph, [201.0, 1265.0, 917.0, 36.0], shoonya_0sQ0JM0N0YDARI, 6471178]
[paragraph, [201.0, 1301.0, 917.0, 36.0], shoonya_0sQ0JM0N0YDARI, 6471178]
[paragraph, [201.0, 1337.0, 917.0, 36.0], shoonya_0sQ0JM0N0YDARI, 6471178]
[paragraph, [201.0, 1373.0, 917.0, 36.0], shoonya_0sQ0JM0N0YDARI, 6471178]
[paragraph, [201.0, 1409.0, 917.0, 36.0], shoonya_0sQ0JM0N0YDARI, 6471178]
[paragraph, [201.0, 1445.0, 917.0, 36.0], shoonya_0sQ0JM0N0YDARI, 6471178]
[footnote, [216.0, 1553.0, 184.0, 36.0], shoonya_2sX1LBHB0H7BOI, 6471178]
