[3509, 2482]
[paragraph, [307.0, 480.0, 390.0, 52.5], kmVeK9i4d2, 5692097]
[paragraph, [223.0, 561.0, 1768.0, 52.5], Iirv1h00_9, 5692097]
[paragraph, [223.0, 613.5, 1768.0, 52.5], Iirv1h00_9, 5692097]
[paragraph, [294.0, 716.0, 837.0, 52.5], iQRob1A7GT, 5692097]
[paragraph, [291.0, 806.0, 437.0, 52.5], Twp6RbOIKR, 5692097]
[paragraph, [217.0, 871.0, 1793.0, 52.5], TjQnm1pUW-, 5692097]
[paragraph, [217.0, 923.5, 1793.0, 52.5], TjQnm1pUW-, 5692097]
[paragraph, [217.0, 976.0, 1793.0, 52.5], TjQnm1pUW-, 5692097]
[paragraph, [307.0, 1318.0, 825.0, 52.5], IBNIV7chPD, 5692097]
[paragraph, [221.0, 1396.0, 1752.0, 52.5], shoonya_1sP1NDPTRCE49V, 5692097]
[paragraph, [221.0, 1448.5, 1752.0, 52.5], shoonya_1sP1NDPTRCE49V, 5692097]
[paragraph, [221.0, 1501.0, 1752.0, 52.5], shoonya_1sP1NDPTRCE49V, 5692097]
[paragraph, [221.0, 1553.5, 1752.0, 52.5], shoonya_1sP1NDPTRCE49V, 5692097]
[paragraph, [221.0, 1606.0, 1752.0, 52.5], shoonya_1sP1NDPTRCE49V, 5692097]
[paragraph, [221.0, 1658.5, 1752.0, 52.5], shoonya_1sP1NDPTRCE49V, 5692097]
[paragraph, [221.0, 1711.0, 1752.0, 52.5], shoonya_1sP1NDPTRCE49V, 5692097]
[paragraph, [221.0, 1763.5, 1752.0, 52.5], shoonya_1sP1NDPTRCE49V, 5692097]
[paragraph, [217.0, 1870.0, 1774.0, 52.5], H6gEFX8Ss2, 5692097]
[paragraph, [217.0, 1922.5, 1774.0, 52.5], H6gEFX8Ss2, 5692097]
[paragraph, [217.0, 1975.0, 1774.0, 52.5], H6gEFX8Ss2, 5692097]
[paragraph, [217.0, 2027.5, 1774.0, 52.5], H6gEFX8Ss2, 5692097]
[paragraph, [217.0, 2080.0, 1774.0, 52.5], H6gEFX8Ss2, 5692097]
[paragraph, [217.0, 2132.5, 1774.0, 52.5], H6gEFX8Ss2, 5692097]
[paragraph, [217.0, 2185.0, 1774.0, 52.5], H6gEFX8Ss2, 5692097]
[paragraph, [217.0, 2237.5, 1774.0, 52.5], H6gEFX8Ss2, 5692097]
[paragraph, [217.0, 2290.0, 1774.0, 52.5], H6gEFX8Ss2, 5692097]
[paragraph, [223.0, 2351.0, 1760.0, 52.5], shoonya_0sGSD98R5KNOEU, 5692097]
[paragraph, [223.0, 2403.5, 1760.0, 52.5], shoonya_0sGSD98R5KNOEU, 5692097]
[paragraph, [223.0, 2456.0, 1760.0, 52.5], shoonya_0sGSD98R5KNOEU, 5692097]
[paragraph, [223.0, 2508.5, 1760.0, 52.5], shoonya_0sGSD98R5KNOEU, 5692097]
[paragraph, [223.0, 2561.0, 1760.0, 52.5], shoonya_0sGSD98R5KNOEU, 5692097]
[paragraph, [223.0, 2613.5, 1760.0, 52.5], shoonya_0sGSD98R5KNOEU, 5692097]
[paragraph, [223.0, 2666.0, 1760.0, 52.5], shoonya_0sGSD98R5KNOEU, 5692097]
[paragraph, [223.0, 2718.5, 1760.0, 52.5], shoonya_0sGSD98R5KNOEU, 5692097]
[paragraph, [223.0, 2771.0, 1760.0, 52.5], shoonya_0sGSD98R5KNOEU, 5692097]
[paragraph, [223.0, 2823.5, 1760.0, 52.5], shoonya_0sGSD98R5KNOEU, 5692097]
[paragraph, [223.0, 2876.0, 1760.0, 52.5], shoonya_0sGSD98R5KNOEU, 5692097]
[paragraph, [223.0, 2928.5, 1760.0, 52.5], shoonya_0sGSD98R5KNOEU, 5692097]
[paragraph, [223.0, 2981.0, 1760.0, 52.5], shoonya_0sGSD98R5KNOEU, 5692097]
[paragraph, [217.0, 3077.0, 1768.0, 52.5], LmFxLdp1rD, 5692097]
[paragraph, [217.0, 3129.5, 1768.0, 52.5], LmFxLdp1rD, 5692097]
[paragraph, [217.0, 3182.0, 1768.0, 52.5], LmFxLdp1rD, 5692097]
[paragraph, [217.0, 3234.5, 1768.0, 52.5], LmFxLdp1rD, 5692097]
