[1755, 1240]
[paragraph, [216.0, 139.0, 885.0, 36.0], shoonya_0sADK5QI061A0E, 5693467]
[paragraph, [216.0, 175.0, 885.0, 36.0], shoonya_0sADK5QI061A0E, 5693467]
[paragraph, [216.0, 211.0, 885.0, 36.0], shoonya_0sADK5QI061A0E, 5693467]
[paragraph, [216.0, 247.0, 885.0, 36.0], shoonya_0sADK5QI061A0E, 5693467]
[paragraph, [216.0, 283.0, 885.0, 36.0], shoonya_0sADK5QI061A0E, 5693467]
[paragraph, [216.0, 319.0, 885.0, 36.0], shoonya_0sADK5QI061A0E, 5693467]
[paragraph, [216.0, 355.0, 885.0, 36.0], shoonya_0sADK5QI061A0E, 5693467]
[paragraph, [216.0, 391.0, 885.0, 36.0], shoonya_0sADK5QI061A0E, 5693467]
[paragraph, [216.0, 427.0, 885.0, 36.0], shoonya_0sADK5QI061A0E, 5693467]
[paragraph, [216.0, 463.0, 885.0, 36.0], shoonya_0sADK5QI061A0E, 5693467]
[paragraph, [216.0, 499.0, 885.0, 36.0], shoonya_0sADK5QI061A0E, 5693467]
[paragraph, [216.0, 535.0, 885.0, 36.0], shoonya_0sADK5QI061A0E, 5693467]
[paragraph, [216.0, 571.0, 885.0, 36.0], shoonya_0sADK5QI061A0E, 5693467]
[paragraph, [216.0, 607.0, 885.0, 36.0], shoonya_0sADK5QI061A0E, 5693467]
[paragraph, [216.0, 643.0, 885.0, 36.0], shoonya_0sADK5QI061A0E, 5693467]
[paragraph, [216.0, 679.0, 885.0, 36.0], shoonya_0sADK5QI061A0E, 5693467]
[paragraph, [216.0, 715.0, 885.0, 36.0], shoonya_0sADK5QI061A0E, 5693467]
[paragraph, [216.0, 751.0, 885.0, 36.0], shoonya_0sADK5QI061A0E, 5693467]
[paragraph, [216.0, 787.0, 885.0, 36.0], shoonya_0sADK5QI061A0E, 5693467]
[paragraph, [216.0, 823.0, 885.0, 36.0], shoonya_0sADK5QI061A0E, 5693467]
[paragraph, [216.0, 859.0, 885.0, 36.0], shoonya_0sADK5QI061A0E, 5693467]
[paragraph, [216.0, 895.0, 885.0, 36.0], shoonya_0sADK5QI061A0E, 5693467]
[paragraph, [216.0, 931.0, 885.0, 36.0], shoonya_0sADK5QI061A0E, 5693467]
[paragraph, [216.0, 967.0, 885.0, 36.0], shoonya_0sADK5QI061A0E, 5693467]
[paragraph, [216.0, 1003.0, 885.0, 36.0], shoonya_0sADK5QI061A0E, 5693467]
[paragraph, [216.0, 1039.0, 885.0, 36.0], shoonya_0sADK5QI061A0E, 5693467]
[paragraph, [216.0, 1075.0, 885.0, 36.0], shoonya_0sADK5QI061A0E, 5693467]
[paragraph, [216.0, 1111.0, 885.0, 36.0], shoonya_0sADK5QI061A0E, 5693467]
[paragraph, [216.0, 1147.0, 885.0, 36.0], shoonya_0sADK5QI061A0E, 5693467]
[paragraph, [216.0, 1183.0, 885.0, 36.0], shoonya_0sADK5QI061A0E, 5693467]
[paragraph, [216.0, 1219.0, 885.0, 36.0], shoonya_0sADK5QI061A0E, 5693467]
[paragraph, [216.0, 1255.0, 885.0, 36.0], shoonya_0sADK5QI061A0E, 5693467]
[paragraph, [216.0, 1291.0, 885.0, 36.0], shoonya_0sADK5QI061A0E, 5693467]
[paragraph, [216.0, 1327.0, 885.0, 36.0], shoonya_0sADK5QI061A0E, 5693467]
[paragraph, [216.0, 1363.0, 885.0, 36.0], shoonya_0sADK5QI061A0E, 5693467]
[paragraph, [216.0, 1399.0, 885.0, 36.0], shoonya_0sADK5QI061A0E, 5693467]
[paragraph, [221.0, 1468.0, 891.0, 36.0], 3M77go2ZID, 5693467]
[paragraph, [221.0, 1504.0, 891.0, 36.0], 3M77go2ZID, 5693467]
[paragraph, [221.0, 1540.0, 891.0, 36.0], 3M77go2ZID, 5693467]
