[766, 567]
[headline, [54.0, 210.0, 472.0, 25.5], shoonya_1s41P98HZKXSC8, 5771375]
[paragraph, [62.0, 253.0, 460.0, 18.0], MkRMjtQ79-, 5771375]
[paragraph, [62.0, 271.0, 460.0, 18.0], MkRMjtQ79-, 5771375]
[paragraph, [62.0, 289.0, 460.0, 18.0], MkRMjtQ79-, 5771375]
[paragraph, [320.0, 323.0, 213.0, 18.0], shoonya_4s6BXBYQYAGG7C, 5771375]
[paragraph, [320.0, 341.0, 213.0, 18.0], shoonya_4s6BXBYQYAGG7C, 5771375]
[paragraph, [320.0, 359.0, 213.0, 18.0], shoonya_4s6BXBYQYAGG7C, 5771375]
[paragraph, [320.0, 377.0, 213.0, 18.0], shoonya_4s6BXBYQYAGG7C, 5771375]
[paragraph, [320.0, 395.0, 213.0, 18.0], shoonya_4s6BXBYQYAGG7C, 5771375]
[paragraph, [320.0, 413.0, 213.0, 18.0], shoonya_4s6BXBYQYAGG7C, 5771375]
[paragraph, [320.0, 431.0, 213.0, 18.0], shoonya_4s6BXBYQYAGG7C, 5771375]
[paragraph, [320.0, 449.0, 213.0, 18.0], shoonya_4s6BXBYQYAGG7C, 5771375]
[paragraph, [320.0, 467.0, 213.0, 18.0], shoonya_4s6BXBYQYAGG7C, 5771375]
[paragraph, [320.0, 485.0, 213.0, 18.0], shoonya_4s6BXBYQYAGG7C, 5771375]
[paragraph, [320.0, 503.0, 213.0, 18.0], shoonya_4s6BXBYQYAGG7C, 5771375]
[paragraph, [320.0, 521.0, 213.0, 18.0], shoonya_4s6BXBYQYAGG7C, 5771375]
[paragraph, [320.0, 539.0, 213.0, 18.0], shoonya_4s6BXBYQYAGG7C, 5771375]
[paragraph, [320.0, 557.0, 213.0, 18.0], shoonya_4s6BXBYQYAGG7C, 5771375]
[paragraph, [320.0, 575.0, 213.0, 18.0], shoonya_4s6BXBYQYAGG7C, 5771375]
[paragraph, [320.0, 593.0, 213.0, 18.0], shoonya_4s6BXBYQYAGG7C, 5771375]
[paragraph, [320.0, 611.0, 213.0, 18.0], shoonya_4s6BXBYQYAGG7C, 5771375]
[paragraph, [48.0, 350.0, 267.0, 18.0], shoonya_7sE8X5RL6KM7WC, 5771375]
[paragraph, [48.0, 368.0, 267.0, 18.0], shoonya_7sE8X5RL6KM7WC, 5771375]
[paragraph, [48.0, 386.0, 267.0, 18.0], shoonya_7sE8X5RL6KM7WC, 5771375]
[paragraph, [48.0, 404.0, 267.0, 18.0], shoonya_7sE8X5RL6KM7WC, 5771375]
[paragraph, [48.0, 422.0, 267.0, 18.0], shoonya_7sE8X5RL6KM7WC, 5771375]
[paragraph, [48.0, 440.0, 267.0, 18.0], shoonya_7sE8X5RL6KM7WC, 5771375]
[paragraph, [48.0, 458.0, 267.0, 18.0], shoonya_7sE8X5RL6KM7WC, 5771375]
[paragraph, [48.0, 476.0, 267.0, 18.0], shoonya_7sE8X5RL6KM7WC, 5771375]
[paragraph, [48.0, 507.0, 266.0, 18.0], shoonya_5sTQ05CQ3KNO5D, 5771375]
[paragraph, [48.0, 525.0, 266.0, 18.0], shoonya_5sTQ05CQ3KNO5D, 5771375]
[paragraph, [48.0, 543.0, 266.0, 18.0], shoonya_5sTQ05CQ3KNO5D, 5771375]
[paragraph, [48.0, 561.0, 266.0, 18.0], shoonya_5sTQ05CQ3KNO5D, 5771375]
[paragraph, [48.0, 579.0, 266.0, 18.0], shoonya_5sTQ05CQ3KNO5D, 5771375]
[paragraph, [48.0, 597.0, 266.0, 18.0], shoonya_5sTQ05CQ3KNO5D, 5771375]
[paragraph, [48.0, 615.0, 266.0, 18.0], shoonya_5sTQ05CQ3KNO5D, 5771375]
[contact-info, [56.0, 659.0, 451.0, 18.0], shoonya_2sRI4ANT6UKE00, 5771375]
[contact-info, [56.0, 677.0, 451.0, 18.0], shoonya_2sRI4ANT6UKE00, 5771375]
