[581, 402]
[folio, [174.0, 24.0, 78.0, 18.0], shoonya_2sLF8V1MEXILV6, 6494751]
[paragraph, [51.0, 43.0, 319.0, 18.0], shoonya_0sOLQ5OTHPIAG7, 6494751]
[paragraph, [51.0, 61.0, 319.0, 18.0], shoonya_0sOLQ5OTHPIAG7, 6494751]
[paragraph, [51.0, 79.0, 319.0, 18.0], shoonya_0sOLQ5OTHPIAG7, 6494751]
[paragraph, [51.0, 97.0, 319.0, 18.0], shoonya_0sOLQ5OTHPIAG7, 6494751]
[paragraph, [51.0, 115.0, 319.0, 18.0], shoonya_0sOLQ5OTHPIAG7, 6494751]
[paragraph, [51.0, 133.0, 319.0, 18.0], shoonya_0sOLQ5OTHPIAG7, 6494751]
[paragraph, [51.0, 151.0, 319.0, 18.0], shoonya_0sOLQ5OTHPIAG7, 6494751]
[paragraph, [51.0, 169.0, 319.0, 18.0], shoonya_0sOLQ5OTHPIAG7, 6494751]
[paragraph, [51.0, 187.0, 319.0, 18.0], shoonya_0sOLQ5OTHPIAG7, 6494751]
[paragraph, [51.0, 205.0, 319.0, 18.0], shoonya_0sOLQ5OTHPIAG7, 6494751]
[paragraph, [51.0, 223.0, 319.0, 18.0], shoonya_0sOLQ5OTHPIAG7, 6494751]
[paragraph, [51.0, 241.0, 319.0, 18.0], shoonya_0sOLQ5OTHPIAG7, 6494751]
[paragraph, [51.0, 259.0, 319.0, 18.0], shoonya_0sOLQ5OTHPIAG7, 6494751]
[paragraph, [51.0, 277.0, 319.0, 18.0], shoonya_0sOLQ5OTHPIAG7, 6494751]
[paragraph, [51.0, 295.0, 319.0, 18.0], shoonya_0sOLQ5OTHPIAG7, 6494751]
[paragraph, [51.0, 313.0, 319.0, 18.0], shoonya_0sOLQ5OTHPIAG7, 6494751]
[paragraph, [51.0, 331.0, 319.0, 18.0], shoonya_0sOLQ5OTHPIAG7, 6494751]
[paragraph, [51.0, 349.0, 319.0, 18.0], shoonya_0sOLQ5OTHPIAG7, 6494751]
[paragraph, [51.0, 367.0, 319.0, 18.0], shoonya_0sOLQ5OTHPIAG7, 6494751]
[paragraph, [51.0, 385.0, 319.0, 18.0], shoonya_0sOLQ5OTHPIAG7, 6494751]
[paragraph, [51.0, 403.0, 319.0, 18.0], shoonya_0sOLQ5OTHPIAG7, 6494751]
[paragraph, [51.0, 421.0, 319.0, 18.0], shoonya_0sOLQ5OTHPIAG7, 6494751]
[paragraph, [51.0, 439.0, 319.0, 18.0], shoonya_0sOLQ5OTHPIAG7, 6494751]
[paragraph, [51.0, 457.0, 319.0, 18.0], shoonya_0sOLQ5OTHPIAG7, 6494751]
[paragraph, [51.0, 475.0, 319.0, 18.0], shoonya_0sOLQ5OTHPIAG7, 6494751]
[paragraph, [51.0, 493.0, 319.0, 18.0], shoonya_0sOLQ5OTHPIAG7, 6494751]
[paragraph, [51.0, 511.0, 319.0, 18.0], shoonya_0sOLQ5OTHPIAG7, 6494751]
