[2339, 1656]
[section-title, [548.0, 190.0, 550.0, 52.5], -ms5K5w_PK, 5688742]
[folio, [598.0, 331.0, 449.0, 36.0], 8D92f5LGKm, 5688742]
[sidebar, [193.0, 397.0, 297.0, 36.0], shoonya_2sO7TFUP9NZZOB, 5688742]
[paragraph, [196.0, 564.0, 1228.0, 36.0], shoonya_9sG9SAFXZKEJ93, 5688742]
[paragraph, [196.0, 600.0, 1228.0, 36.0], shoonya_9sG9SAFXZKEJ93, 5688742]
[paragraph, [188.0, 770.0, 1258.0, 36.0], shoonya_4sBUE061DVIQ31, 5688742]
[sub-section-title, [179.0, 861.0, 409.0, 55.5], zOV9-zittc, 5688742]
[paragraph, [194.0, 937.0, 377.0, 36.0], h_2cqAjlDr, 5688742]
[sub-section-title, [174.0, 1009.0, 433.0, 55.5], 5sMq6ftsrm, 5688742]
[paragraph, [192.0, 1089.0, 712.0, 36.0], 4hKGRTcgKj, 5688742]
[paragraph, [192.0, 1125.0, 712.0, 36.0], 4hKGRTcgKj, 5688742]
[paragraph, [192.0, 1161.0, 712.0, 36.0], 4hKGRTcgKj, 5688742]
[paragraph, [192.0, 1197.0, 712.0, 36.0], 4hKGRTcgKj, 5688742]
[paragraph, [192.0, 1233.0, 712.0, 36.0], 4hKGRTcgKj, 5688742]
[sub-section-title, [187.0, 1314.0, 431.0, 55.5], tBg7EVdBD_, 5688742]
[paragraph, [192.0, 1389.0, 797.0, 36.0], _PN3VCOhXy, 5688742]
[ordered-list, [327.0, 1550.0, 915.0, 36.0], shoonya_0sYWR09UF5L9ZT, 5688742]
[ordered-list, [327.0, 1586.0, 915.0, 36.0], shoonya_0sYWR09UF5L9ZT, 5688742]
[ordered-list, [327.0, 1622.0, 915.0, 36.0], shoonya_0sYWR09UF5L9ZT, 5688742]
[ordered-list, [327.0, 1658.0, 915.0, 36.0], shoonya_0sYWR09UF5L9ZT, 5688742]
[ordered-list, [327.0, 1694.0, 915.0, 36.0], shoonya_0sYWR09UF5L9ZT, 5688742]
[ordered-list, [327.0, 1730.0, 915.0, 36.0], shoonya_0sYWR09UF5L9ZT, 5688742]
[ordered-list, [327.0, 1766.0, 915.0, 36.0], shoonya_0sYWR09UF5L9ZT, 5688742]
[ordered-list, [327.0, 1802.0, 915.0, 36.0], shoonya_0sYWR09UF5L9ZT, 5688742]
[ordered-list, [327.0, 1838.0, 915.0, 36.0], shoonya_0sYWR09UF5L9ZT, 5688742]
[ordered-list, [327.0, 1874.0, 915.0, 36.0], shoonya_0sYWR09UF5L9ZT, 5688742]
[ordered-list, [327.0, 1910.0, 915.0, 36.0], shoonya_0sYWR09UF5L9ZT, 5688742]
[ordered-list, [327.0, 1946.0, 915.0, 36.0], shoonya_0sYWR09UF5L9ZT, 5688742]
[ordered-list, [327.0, 1982.0, 915.0, 36.0], shoonya_0sYWR09UF5L9ZT, 5688742]
