[554, 326]
[folio, [148.0, 19.0, 34.0, 18.0], AHKxiYP7Az, 5681270]
[paragraph, [22.0, 41.0, 289.0, 18.0], shoonya_2sNFTTQZES529M, 5681270]
[paragraph, [22.0, 59.0, 289.0, 18.0], shoonya_2sNFTTQZES529M, 5681270]
[paragraph, [22.0, 77.0, 289.0, 18.0], shoonya_2sNFTTQZES529M, 5681270]
[paragraph, [22.0, 95.0, 289.0, 18.0], shoonya_2sNFTTQZES529M, 5681270]
[paragraph, [22.0, 113.0, 289.0, 18.0], shoonya_2sNFTTQZES529M, 5681270]
[paragraph, [22.0, 131.0, 289.0, 18.0], shoonya_2sNFTTQZES529M, 5681270]
[paragraph, [22.0, 149.0, 289.0, 18.0], shoonya_2sNFTTQZES529M, 5681270]
[paragraph, [22.0, 167.0, 289.0, 18.0], shoonya_2sNFTTQZES529M, 5681270]
[paragraph, [22.0, 185.0, 289.0, 18.0], shoonya_2sNFTTQZES529M, 5681270]
[paragraph, [22.0, 209.0, 290.0, 18.0], shoonya_0sMJ20OXKKUK0F, 5681270]
[paragraph, [22.0, 227.0, 290.0, 18.0], shoonya_0sMJ20OXKKUK0F, 5681270]
[paragraph, [22.0, 245.0, 290.0, 18.0], shoonya_0sMJ20OXKKUK0F, 5681270]
[paragraph, [22.0, 263.0, 290.0, 18.0], shoonya_0sMJ20OXKKUK0F, 5681270]
[paragraph, [22.0, 281.0, 290.0, 18.0], shoonya_0sMJ20OXKKUK0F, 5681270]
[paragraph, [22.0, 299.0, 290.0, 18.0], shoonya_0sMJ20OXKKUK0F, 5681270]
[paragraph, [22.0, 317.0, 290.0, 18.0], shoonya_0sMJ20OXKKUK0F, 5681270]
[paragraph, [22.0, 335.0, 290.0, 18.0], shoonya_0sMJ20OXKKUK0F, 5681270]
[paragraph, [22.0, 353.0, 290.0, 18.0], shoonya_0sMJ20OXKKUK0F, 5681270]
[paragraph, [23.0, 374.0, 289.0, 18.0], Kt6yYGhVTM, 5681270]
[paragraph, [23.0, 392.0, 289.0, 18.0], Kt6yYGhVTM, 5681270]
[paragraph, [23.0, 410.0, 289.0, 18.0], Kt6yYGhVTM, 5681270]
[paragraph, [23.0, 428.0, 289.0, 18.0], Kt6yYGhVTM, 5681270]
[paragraph, [23.0, 446.0, 289.0, 18.0], Kt6yYGhVTM, 5681270]
[paragraph, [23.0, 464.0, 289.0, 18.0], Kt6yYGhVTM, 5681270]
[paragraph, [22.0, 486.0, 289.0, 18.0], eR8FuaNG_Y, 5681270]
[paragraph, [22.0, 504.0, 289.0, 18.0], eR8FuaNG_Y, 5681270]
