[1372, 849]
[section-title, [338.0, 56.0, 173.0, 30.0], shoonya_2sBNSQBE3Z1U9N, 5709972]
[paragraph, [80.0, 140.0, 354.0, 18.0], r5eCHuDDLT, 5709972]
[paragraph, [80.0, 158.0, 354.0, 18.0], r5eCHuDDLT, 5709972]
[paragraph, [72.0, 188.0, 701.0, 18.0], shoonya_3s8Y6QERPYXDCD, 5709972]
[paragraph, [72.0, 206.0, 701.0, 18.0], shoonya_3s8Y6QERPYXDCD, 5709972]
[paragraph, [72.0, 224.0, 701.0, 18.0], shoonya_3s8Y6QERPYXDCD, 5709972]
[paragraph, [72.0, 242.0, 701.0, 18.0], shoonya_3s8Y6QERPYXDCD, 5709972]
[paragraph, [72.0, 260.0, 701.0, 18.0], shoonya_3s8Y6QERPYXDCD, 5709972]
[paragraph, [72.0, 278.0, 701.0, 18.0], shoonya_3s8Y6QERPYXDCD, 5709972]
[paragraph, [72.0, 296.0, 701.0, 18.0], shoonya_3s8Y6QERPYXDCD, 5709972]
[paragraph, [72.0, 314.0, 701.0, 18.0], shoonya_3s8Y6QERPYXDCD, 5709972]
[paragraph, [72.0, 332.0, 701.0, 18.0], shoonya_3s8Y6QERPYXDCD, 5709972]
[paragraph, [72.0, 350.0, 701.0, 18.0], shoonya_3s8Y6QERPYXDCD, 5709972]
[paragraph, [72.0, 368.0, 701.0, 18.0], shoonya_3s8Y6QERPYXDCD, 5709972]
[paragraph, [72.0, 386.0, 701.0, 18.0], shoonya_3s8Y6QERPYXDCD, 5709972]
[paragraph, [72.0, 404.0, 701.0, 18.0], shoonya_3s8Y6QERPYXDCD, 5709972]
[paragraph, [72.0, 422.0, 701.0, 18.0], shoonya_3s8Y6QERPYXDCD, 5709972]
[paragraph, [72.0, 440.0, 701.0, 18.0], shoonya_3s8Y6QERPYXDCD, 5709972]
[paragraph, [72.0, 458.0, 701.0, 18.0], shoonya_3s8Y6QERPYXDCD, 5709972]
[paragraph, [72.0, 476.0, 701.0, 18.0], shoonya_3s8Y6QERPYXDCD, 5709972]
[paragraph, [72.0, 494.0, 701.0, 18.0], shoonya_3s8Y6QERPYXDCD, 5709972]
[paragraph, [72.0, 512.0, 701.0, 18.0], shoonya_3s8Y6QERPYXDCD, 5709972]
[paragraph, [72.0, 530.0, 701.0, 18.0], shoonya_3s8Y6QERPYXDCD, 5709972]
