[792, 612]
[paragraph, [114.0, 85.0, 401.0, 18.0], shoonya_3sL9OLFQPZGR5C, 6492051]
[paragraph, [114.0, 103.0, 401.0, 18.0], shoonya_3sL9OLFQPZGR5C, 6492051]
[paragraph, [114.0, 121.0, 401.0, 18.0], shoonya_3sL9OLFQPZGR5C, 6492051]
[paragraph, [111.0, 143.0, 403.0, 18.0], shoonya_4sI4FWNLB0V7ZK, 6492051]
[paragraph, [111.0, 161.0, 403.0, 18.0], shoonya_4sI4FWNLB0V7ZK, 6492051]
[paragraph, [111.0, 179.0, 403.0, 18.0], shoonya_4sI4FWNLB0V7ZK, 6492051]
[paragraph, [114.0, 215.0, 399.0, 18.0], NP3wOxOLTs, 6492051]
[paragraph, [114.0, 233.0, 399.0, 18.0], NP3wOxOLTs, 6492051]
[paragraph, [116.0, 266.0, 399.0, 18.0], shoonya_1sHU06AUZN2C3L, 6492051]
[paragraph, [116.0, 284.0, 399.0, 18.0], shoonya_1sHU06AUZN2C3L, 6492051]
[paragraph, [116.0, 302.0, 399.0, 18.0], shoonya_1sHU06AUZN2C3L, 6492051]
[paragraph, [116.0, 320.0, 399.0, 18.0], shoonya_1sHU06AUZN2C3L, 6492051]
[paragraph, [116.0, 338.0, 399.0, 18.0], shoonya_1sHU06AUZN2C3L, 6492051]
[paragraph, [113.0, 369.0, 402.0, 18.0], shoonya_2s71LDZRW5VTLL, 6492051]
[paragraph, [113.0, 387.0, 402.0, 18.0], shoonya_2s71LDZRW5VTLL, 6492051]
[paragraph, [113.0, 405.0, 402.0, 18.0], shoonya_2s71LDZRW5VTLL, 6492051]
[paragraph, [113.0, 423.0, 402.0, 18.0], shoonya_2s71LDZRW5VTLL, 6492051]
[paragraph, [113.0, 441.0, 402.0, 18.0], shoonya_2s71LDZRW5VTLL, 6492051]
[paragraph, [113.0, 466.0, 401.0, 18.0], shoonya_0sPGON57K0SCRK, 6492051]
[paragraph, [113.0, 484.0, 401.0, 18.0], shoonya_0sPGON57K0SCRK, 6492051]
[paragraph, [113.0, 502.0, 401.0, 18.0], shoonya_0sPGON57K0SCRK, 6492051]
[paragraph, [113.0, 520.0, 401.0, 18.0], shoonya_0sPGON57K0SCRK, 6492051]
[paragraph, [113.0, 538.0, 401.0, 18.0], shoonya_0sPGON57K0SCRK, 6492051]
[paragraph, [113.0, 556.0, 401.0, 18.0], shoonya_0sPGON57K0SCRK, 6492051]
[paragraph, [113.0, 574.0, 401.0, 18.0], shoonya_0sPGON57K0SCRK, 6492051]
[paragraph, [113.0, 592.0, 401.0, 18.0], shoonya_0sPGON57K0SCRK, 6492051]
[paragraph, [113.0, 610.0, 401.0, 18.0], shoonya_0sPGON57K0SCRK, 6492051]
[paragraph, [113.0, 628.0, 401.0, 18.0], shoonya_0sPGON57K0SCRK, 6492051]
[paragraph, [113.0, 646.0, 401.0, 18.0], shoonya_0sPGON57K0SCRK, 6492051]
[paragraph, [113.0, 664.0, 401.0, 18.0], shoonya_0sPGON57K0SCRK, 6492051]
[paragraph, [119.0, 704.0, 394.0, 18.0], shoonya_6sNSGYV6GULRFZ, 6492051]
[paragraph, [119.0, 722.0, 394.0, 18.0], shoonya_6sNSGYV6GULRFZ, 6492051]
[paragraph, [119.0, 740.0, 394.0, 18.0], shoonya_6sNSGYV6GULRFZ, 6492051]
