[2354, 1676]
[section-title, [360.0, 195.0, 618.0, 52.5], mj03dTd88k, 5733686]
[paragraph, [354.0, 295.0, 1182.0, 36.0], shoonya_0sWTQ4GL8WJA8Z, 5733686]
[paragraph, [354.0, 331.0, 1182.0, 36.0], shoonya_0sWTQ4GL8WJA8Z, 5733686]
[paragraph, [354.0, 367.0, 1182.0, 36.0], shoonya_0sWTQ4GL8WJA8Z, 5733686]
[paragraph, [354.0, 403.0, 1182.0, 36.0], shoonya_0sWTQ4GL8WJA8Z, 5733686]
[paragraph, [354.0, 439.0, 1182.0, 36.0], shoonya_0sWTQ4GL8WJA8Z, 5733686]
[paragraph, [354.0, 475.0, 1182.0, 36.0], shoonya_0sWTQ4GL8WJA8Z, 5733686]
[paragraph, [354.0, 511.0, 1182.0, 36.0], shoonya_0sWTQ4GL8WJA8Z, 5733686]
[paragraph, [354.0, 547.0, 1182.0, 36.0], shoonya_0sWTQ4GL8WJA8Z, 5733686]
[paragraph, [354.0, 627.0, 1179.0, 36.0], shoonya_3s0HLD9FXGZ98C, 5733686]
[paragraph, [354.0, 663.0, 1179.0, 36.0], shoonya_3s0HLD9FXGZ98C, 5733686]
[paragraph, [354.0, 699.0, 1179.0, 36.0], shoonya_3s0HLD9FXGZ98C, 5733686]
[paragraph, [354.0, 735.0, 1179.0, 36.0], shoonya_3s0HLD9FXGZ98C, 5733686]
[paragraph, [354.0, 771.0, 1179.0, 36.0], shoonya_3s0HLD9FXGZ98C, 5733686]
[paragraph, [354.0, 807.0, 1179.0, 36.0], shoonya_3s0HLD9FXGZ98C, 5733686]
[paragraph, [354.0, 843.0, 1179.0, 36.0], shoonya_3s0HLD9FXGZ98C, 5733686]
[paragraph, [354.0, 879.0, 1179.0, 36.0], shoonya_3s0HLD9FXGZ98C, 5733686]
[paragraph, [354.0, 915.0, 1179.0, 36.0], shoonya_3s0HLD9FXGZ98C, 5733686]
[paragraph, [337.0, 1019.0, 1186.0, 36.0], shoonya_5sIG97XKM7ZA0Q, 5733686]
[paragraph, [337.0, 1055.0, 1186.0, 36.0], shoonya_5sIG97XKM7ZA0Q, 5733686]
[paragraph, [337.0, 1091.0, 1186.0, 36.0], shoonya_5sIG97XKM7ZA0Q, 5733686]
[paragraph, [337.0, 1127.0, 1186.0, 36.0], shoonya_5sIG97XKM7ZA0Q, 5733686]
[paragraph, [345.0, 1324.0, 1186.0, 36.0], shoonya_4sBZCWHAAF2CX2, 5733686]
[paragraph, [345.0, 1360.0, 1186.0, 36.0], shoonya_4sBZCWHAAF2CX2, 5733686]
[paragraph, [345.0, 1396.0, 1186.0, 36.0], shoonya_4sBZCWHAAF2CX2, 5733686]
[paragraph, [345.0, 1432.0, 1186.0, 36.0], shoonya_4sBZCWHAAF2CX2, 5733686]
[paragraph, [345.0, 1468.0, 1186.0, 36.0], shoonya_4sBZCWHAAF2CX2, 5733686]
[paragraph, [345.0, 1504.0, 1186.0, 36.0], shoonya_4sBZCWHAAF2CX2, 5733686]
[paragraph, [341.0, 1602.0, 1191.0, 36.0], 6bcxWNuAF0, 5733686]
[paragraph, [341.0, 1638.0, 1191.0, 36.0], 6bcxWNuAF0, 5733686]
[paragraph, [341.0, 1674.0, 1191.0, 36.0], 6bcxWNuAF0, 5733686]
[paragraph, [341.0, 1710.0, 1191.0, 36.0], 6bcxWNuAF0, 5733686]
[paragraph, [338.0, 1815.0, 1190.0, 36.0], shoonya_6sQRUPTO0S5RT2, 5733686]
[paragraph, [338.0, 1851.0, 1190.0, 36.0], shoonya_6sQRUPTO0S5RT2, 5733686]
[paragraph, [338.0, 1887.0, 1190.0, 36.0], shoonya_6sQRUPTO0S5RT2, 5733686]
[paragraph, [338.0, 1923.0, 1190.0, 36.0], shoonya_6sQRUPTO0S5RT2, 5733686]
[paragraph, [338.0, 1959.0, 1190.0, 36.0], shoonya_6sQRUPTO0S5RT2, 5733686]
