[595, 419]
[section-title, [150.0, 29.0, 119.0, 30.0], shoonya_0sJE62WZ1IFQYZ, 6459963]
[paragraph, [30.0, 65.0, 348.0, 18.0], shoonya_3s3QXMZ6MD7AV5, 6459963]
[paragraph, [30.0, 83.0, 348.0, 18.0], shoonya_3s3QXMZ6MD7AV5, 6459963]
[paragraph, [30.0, 101.0, 348.0, 18.0], shoonya_3s3QXMZ6MD7AV5, 6459963]
[paragraph, [28.0, 121.0, 351.0, 18.0], cAnWO-08xJ, 6459963]
[paragraph, [28.0, 139.0, 351.0, 18.0], cAnWO-08xJ, 6459963]
[paragraph, [28.0, 157.0, 351.0, 18.0], cAnWO-08xJ, 6459963]
[paragraph, [28.0, 175.0, 351.0, 18.0], cAnWO-08xJ, 6459963]
[paragraph, [63.0, 197.0, 233.0, 18.0], fHbk4Ti54X, 6459963]
[paragraph, [63.0, 215.0, 233.0, 18.0], fHbk4Ti54X, 6459963]
[paragraph, [63.0, 233.0, 233.0, 18.0], fHbk4Ti54X, 6459963]
[paragraph, [63.0, 251.0, 233.0, 18.0], fHbk4Ti54X, 6459963]
[paragraph, [63.0, 269.0, 233.0, 18.0], fHbk4Ti54X, 6459963]
[paragraph, [31.0, 299.0, 349.0, 18.0], m47F9xIq2l, 6459963]
[paragraph, [31.0, 317.0, 349.0, 18.0], m47F9xIq2l, 6459963]
[paragraph, [31.0, 335.0, 349.0, 18.0], m47F9xIq2l, 6459963]
[paragraph, [31.0, 353.0, 349.0, 18.0], m47F9xIq2l, 6459963]
[paragraph, [31.0, 371.0, 349.0, 18.0], m47F9xIq2l, 6459963]
[paragraph, [31.0, 389.0, 349.0, 18.0], m47F9xIq2l, 6459963]
[paragraph, [31.0, 407.0, 349.0, 18.0], m47F9xIq2l, 6459963]
[paragraph, [31.0, 425.0, 349.0, 18.0], m47F9xIq2l, 6459963]
[paragraph, [31.0, 443.0, 349.0, 18.0], m47F9xIq2l, 6459963]
[paragraph, [31.0, 461.0, 349.0, 18.0], m47F9xIq2l, 6459963]
[jumpline, [159.0, 485.0, 77.0, 18.0], pPWO_O3CMP, 6459963]
