[1034, 680]
[folio, [236.0, 55.0, 216.0, 18.0], Dv3gxaXMkH, 5739399]
[paragraph, [58.0, 107.0, 546.0, 18.0], lP8Ddxzy5M, 5739399]
[paragraph, [58.0, 125.0, 546.0, 18.0], lP8Ddxzy5M, 5739399]
[paragraph, [58.0, 143.0, 546.0, 18.0], lP8Ddxzy5M, 5739399]
[paragraph, [58.0, 161.0, 546.0, 18.0], lP8Ddxzy5M, 5739399]
[paragraph, [58.0, 179.0, 546.0, 18.0], lP8Ddxzy5M, 5739399]
[paragraph, [58.0, 197.0, 546.0, 18.0], lP8Ddxzy5M, 5739399]
[paragraph, [58.0, 215.0, 546.0, 18.0], lP8Ddxzy5M, 5739399]
[paragraph, [58.0, 233.0, 546.0, 18.0], lP8Ddxzy5M, 5739399]
[paragraph, [63.0, 261.0, 540.0, 18.0], shoonya_1sKIA7WKBWO0D0, 5739399]
[paragraph, [63.0, 279.0, 540.0, 18.0], shoonya_1sKIA7WKBWO0D0, 5739399]
[paragraph, [63.0, 297.0, 540.0, 18.0], shoonya_1sKIA7WKBWO0D0, 5739399]
[paragraph, [63.0, 315.0, 540.0, 18.0], shoonya_1sKIA7WKBWO0D0, 5739399]
[paragraph, [63.0, 333.0, 540.0, 18.0], shoonya_1sKIA7WKBWO0D0, 5739399]
[paragraph, [63.0, 351.0, 540.0, 18.0], shoonya_1sKIA7WKBWO0D0, 5739399]
[paragraph, [63.0, 369.0, 540.0, 18.0], shoonya_1sKIA7WKBWO0D0, 5739399]
[paragraph, [63.0, 387.0, 540.0, 18.0], shoonya_1sKIA7WKBWO0D0, 5739399]
[paragraph, [63.0, 405.0, 540.0, 18.0], shoonya_1sKIA7WKBWO0D0, 5739399]
[paragraph, [63.0, 423.0, 540.0, 18.0], shoonya_1sKIA7WKBWO0D0, 5739399]
[paragraph, [63.0, 441.0, 540.0, 18.0], shoonya_1sKIA7WKBWO0D0, 5739399]
[paragraph, [63.0, 459.0, 540.0, 18.0], shoonya_1sKIA7WKBWO0D0, 5739399]
[paragraph, [63.0, 477.0, 540.0, 18.0], shoonya_1sKIA7WKBWO0D0, 5739399]
[paragraph, [63.0, 495.0, 540.0, 18.0], shoonya_1sKIA7WKBWO0D0, 5739399]
[paragraph, [63.0, 513.0, 540.0, 18.0], shoonya_1sKIA7WKBWO0D0, 5739399]
[paragraph, [63.0, 531.0, 540.0, 18.0], shoonya_1sKIA7WKBWO0D0, 5739399]
[paragraph, [63.0, 549.0, 540.0, 18.0], shoonya_1sKIA7WKBWO0D0, 5739399]
[paragraph, [63.0, 567.0, 540.0, 18.0], shoonya_1sKIA7WKBWO0D0, 5739399]
[paragraph, [63.0, 585.0, 540.0, 18.0], shoonya_1sKIA7WKBWO0D0, 5739399]
[paragraph, [63.0, 603.0, 540.0, 18.0], shoonya_1sKIA7WKBWO0D0, 5739399]
[paragraph, [63.0, 621.0, 540.0, 18.0], shoonya_1sKIA7WKBWO0D0, 5739399]
[paragraph, [63.0, 639.0, 540.0, 18.0], shoonya_1sKIA7WKBWO0D0, 5739399]
[paragraph, [63.0, 657.0, 540.0, 18.0], shoonya_1sKIA7WKBWO0D0, 5739399]
[paragraph, [63.0, 675.0, 540.0, 18.0], shoonya_1sKIA7WKBWO0D0, 5739399]
[paragraph, [67.0, 708.0, 543.0, 18.0], shoonya_2s39W15L9RJ1R5, 5739399]
[paragraph, [67.0, 726.0, 543.0, 18.0], shoonya_2s39W15L9RJ1R5, 5739399]
[paragraph, [67.0, 744.0, 543.0, 18.0], shoonya_2s39W15L9RJ1R5, 5739399]
[paragraph, [67.0, 762.0, 543.0, 18.0], shoonya_2s39W15L9RJ1R5, 5739399]
[paragraph, [67.0, 780.0, 543.0, 18.0], shoonya_2s39W15L9RJ1R5, 5739399]
[paragraph, [67.0, 798.0, 543.0, 18.0], shoonya_2s39W15L9RJ1R5, 5739399]
[paragraph, [67.0, 816.0, 543.0, 18.0], shoonya_2s39W15L9RJ1R5, 5739399]
[paragraph, [67.0, 834.0, 543.0, 18.0], shoonya_2s39W15L9RJ1R5, 5739399]
[paragraph, [67.0, 852.0, 543.0, 18.0], shoonya_2s39W15L9RJ1R5, 5739399]
[paragraph, [67.0, 870.0, 543.0, 18.0], shoonya_2s39W15L9RJ1R5, 5739399]
[paragraph, [67.0, 888.0, 543.0, 18.0], shoonya_2s39W15L9RJ1R5, 5739399]
[paragraph, [67.0, 906.0, 543.0, 18.0], shoonya_2s39W15L9RJ1R5, 5739399]
[paragraph, [67.0, 924.0, 543.0, 18.0], shoonya_2s39W15L9RJ1R5, 5739399]
