[798, 612]
[folio, [271.0, 135.0, 131.0, 18.0], shoonya_2s0NDR59FTMCMD, 6460385]
[paragraph, [183.0, 171.0, 317.0, 18.0], shoonya_0s7CKJ6NRZHZU3, 6460385]
[paragraph, [183.0, 189.0, 317.0, 18.0], shoonya_0s7CKJ6NRZHZU3, 6460385]
[paragraph, [183.0, 207.0, 317.0, 18.0], shoonya_0s7CKJ6NRZHZU3, 6460385]
[paragraph, [183.0, 225.0, 317.0, 18.0], shoonya_0s7CKJ6NRZHZU3, 6460385]
[paragraph, [183.0, 243.0, 317.0, 18.0], shoonya_0s7CKJ6NRZHZU3, 6460385]
[paragraph, [183.0, 261.0, 317.0, 18.0], shoonya_0s7CKJ6NRZHZU3, 6460385]
[paragraph, [183.0, 279.0, 317.0, 18.0], shoonya_0s7CKJ6NRZHZU3, 6460385]
[paragraph, [183.0, 297.0, 317.0, 18.0], shoonya_0s7CKJ6NRZHZU3, 6460385]
[paragraph, [183.0, 315.0, 317.0, 18.0], shoonya_0s7CKJ6NRZHZU3, 6460385]
[paragraph, [183.0, 333.0, 317.0, 18.0], shoonya_0s7CKJ6NRZHZU3, 6460385]
[paragraph, [183.0, 351.0, 317.0, 18.0], shoonya_0s7CKJ6NRZHZU3, 6460385]
[paragraph, [183.0, 369.0, 317.0, 18.0], shoonya_0s7CKJ6NRZHZU3, 6460385]
[paragraph, [183.0, 387.0, 317.0, 18.0], shoonya_0s7CKJ6NRZHZU3, 6460385]
[paragraph, [183.0, 405.0, 317.0, 18.0], shoonya_0s7CKJ6NRZHZU3, 6460385]
[paragraph, [183.0, 423.0, 317.0, 18.0], shoonya_0s7CKJ6NRZHZU3, 6460385]
[paragraph, [183.0, 441.0, 317.0, 18.0], shoonya_0s7CKJ6NRZHZU3, 6460385]
[paragraph, [183.0, 459.0, 317.0, 18.0], shoonya_0s7CKJ6NRZHZU3, 6460385]
[paragraph, [183.0, 477.0, 317.0, 18.0], shoonya_0s7CKJ6NRZHZU3, 6460385]
[paragraph, [183.0, 495.0, 317.0, 18.0], shoonya_0s7CKJ6NRZHZU3, 6460385]
[paragraph, [183.0, 513.0, 317.0, 18.0], shoonya_0s7CKJ6NRZHZU3, 6460385]
[paragraph, [183.0, 531.0, 317.0, 18.0], shoonya_0s7CKJ6NRZHZU3, 6460385]
[paragraph, [183.0, 549.0, 317.0, 18.0], shoonya_0s7CKJ6NRZHZU3, 6460385]
[paragraph, [183.0, 567.0, 317.0, 18.0], shoonya_0s7CKJ6NRZHZU3, 6460385]
[paragraph, [183.0, 585.0, 317.0, 18.0], shoonya_0s7CKJ6NRZHZU3, 6460385]
[paragraph, [183.0, 603.0, 317.0, 18.0], shoonya_0s7CKJ6NRZHZU3, 6460385]
[paragraph, [183.0, 621.0, 317.0, 18.0], shoonya_0s7CKJ6NRZHZU3, 6460385]
[paragraph, [183.0, 639.0, 317.0, 18.0], shoonya_0s7CKJ6NRZHZU3, 6460385]
[paragraph, [183.0, 657.0, 317.0, 18.0], shoonya_0s7CKJ6NRZHZU3, 6460385]
