[1350, 900]
[section-title, [263.0, 98.0, 457.0, 30.0], sD5H0eh3LV, 5760623]
[ordered-list, [502.0, 1129.0, 239.0, 18.0], vRM4JGbyF0, 5760623]
[ordered-list, [502.0, 1147.0, 239.0, 18.0], vRM4JGbyF0, 5760623]
[ordered-list, [502.0, 1165.0, 239.0, 18.0], vRM4JGbyF0, 5760623]
[ordered-list, [502.0, 1183.0, 239.0, 18.0], vRM4JGbyF0, 5760623]
[ordered-list, [502.0, 1201.0, 239.0, 18.0], vRM4JGbyF0, 5760623]
[ordered-list, [176.0, 1132.0, 264.0, 18.0], shoonya_1sKJ9FBENX78V2, 5760623]
[ordered-list, [176.0, 1150.0, 264.0, 18.0], shoonya_1sKJ9FBENX78V2, 5760623]
[ordered-list, [176.0, 1168.0, 264.0, 18.0], shoonya_1sKJ9FBENX78V2, 5760623]
[ordered-list, [176.0, 1186.0, 264.0, 18.0], shoonya_1sKJ9FBENX78V2, 5760623]
[ordered-list, [176.0, 1204.0, 264.0, 18.0], shoonya_1sKJ9FBENX78V2, 5760623]
