[1606, 1056]
[folio, [445.0, 98.0, 166.0, 36.0], SR-dSQkW1O, 5683962]
[folio, [101.0, 104.0, 226.0, 36.0], uPL3S4YBy_, 5683962]
[paragraph, [321.0, 156.0, 296.0, 36.0], zoQ5M89LfS, 5683962]
[paragraph, [321.0, 192.0, 296.0, 36.0], zoQ5M89LfS, 5683962]
[paragraph, [321.0, 228.0, 296.0, 36.0], zoQ5M89LfS, 5683962]
[paragraph, [321.0, 264.0, 296.0, 36.0], zoQ5M89LfS, 5683962]
[paragraph, [321.0, 300.0, 296.0, 36.0], zoQ5M89LfS, 5683962]
[paragraph, [321.0, 336.0, 296.0, 36.0], zoQ5M89LfS, 5683962]
[paragraph, [321.0, 372.0, 296.0, 36.0], zoQ5M89LfS, 5683962]
[paragraph, [321.0, 408.0, 296.0, 36.0], zoQ5M89LfS, 5683962]
[paragraph, [321.0, 444.0, 296.0, 36.0], zoQ5M89LfS, 5683962]
[paragraph, [321.0, 480.0, 296.0, 36.0], zoQ5M89LfS, 5683962]
[paragraph, [321.0, 516.0, 296.0, 36.0], zoQ5M89LfS, 5683962]
[paragraph, [321.0, 552.0, 296.0, 36.0], zoQ5M89LfS, 5683962]
[paragraph, [321.0, 588.0, 296.0, 36.0], zoQ5M89LfS, 5683962]
[paragraph, [321.0, 624.0, 296.0, 36.0], zoQ5M89LfS, 5683962]
[paragraph, [321.0, 660.0, 296.0, 36.0], zoQ5M89LfS, 5683962]
[paragraph, [321.0, 696.0, 296.0, 36.0], zoQ5M89LfS, 5683962]
[paragraph, [321.0, 732.0, 296.0, 36.0], zoQ5M89LfS, 5683962]
[paragraph, [321.0, 768.0, 296.0, 36.0], zoQ5M89LfS, 5683962]
[paragraph, [321.0, 804.0, 296.0, 36.0], zoQ5M89LfS, 5683962]
[paragraph, [321.0, 840.0, 296.0, 36.0], zoQ5M89LfS, 5683962]
[paragraph, [321.0, 876.0, 296.0, 36.0], zoQ5M89LfS, 5683962]
[paragraph, [321.0, 912.0, 296.0, 36.0], zoQ5M89LfS, 5683962]
[paragraph, [321.0, 948.0, 296.0, 36.0], zoQ5M89LfS, 5683962]
[paragraph, [321.0, 984.0, 296.0, 36.0], zoQ5M89LfS, 5683962]
[paragraph, [321.0, 1020.0, 296.0, 36.0], zoQ5M89LfS, 5683962]
[paragraph, [254.0, 1141.0, 423.0, 36.0], MNrkVzihNY, 5683962]
[paragraph, [254.0, 1177.0, 423.0, 36.0], MNrkVzihNY, 5683962]
[paragraph, [254.0, 1213.0, 423.0, 36.0], MNrkVzihNY, 5683962]
[paragraph, [254.0, 1249.0, 423.0, 36.0], MNrkVzihNY, 5683962]
[paragraph, [254.0, 1285.0, 423.0, 36.0], MNrkVzihNY, 5683962]
[paragraph, [254.0, 1321.0, 423.0, 36.0], MNrkVzihNY, 5683962]
[paragraph, [254.0, 1357.0, 423.0, 36.0], MNrkVzihNY, 5683962]
[paragraph, [254.0, 1393.0, 423.0, 36.0], MNrkVzihNY, 5683962]
[paragraph, [254.0, 1429.0, 423.0, 36.0], MNrkVzihNY, 5683962]
[paragraph, [254.0, 1465.0, 423.0, 36.0], MNrkVzihNY, 5683962]
