[1650, 1275]
[paragraph, [225.0, 121.0, 903.0, 36.0], shoonya_2sMDC4FHY87E3Z, 5714720]
[paragraph, [225.0, 157.0, 903.0, 36.0], shoonya_2sMDC4FHY87E3Z, 5714720]
[paragraph, [225.0, 193.0, 903.0, 36.0], shoonya_2sMDC4FHY87E3Z, 5714720]
[paragraph, [225.0, 229.0, 903.0, 36.0], shoonya_2sMDC4FHY87E3Z, 5714720]
[paragraph, [225.0, 265.0, 903.0, 36.0], shoonya_2sMDC4FHY87E3Z, 5714720]
[paragraph, [225.0, 301.0, 903.0, 36.0], shoonya_2sMDC4FHY87E3Z, 5714720]
[paragraph, [225.0, 337.0, 903.0, 36.0], shoonya_2sMDC4FHY87E3Z, 5714720]
[paragraph, [225.0, 373.0, 903.0, 36.0], shoonya_2sMDC4FHY87E3Z, 5714720]
[paragraph, [225.0, 409.0, 903.0, 36.0], shoonya_2sMDC4FHY87E3Z, 5714720]
[paragraph, [225.0, 445.0, 903.0, 36.0], shoonya_2sMDC4FHY87E3Z, 5714720]
[paragraph, [225.0, 481.0, 903.0, 36.0], shoonya_2sMDC4FHY87E3Z, 5714720]
[paragraph, [230.0, 554.0, 897.0, 36.0], shoonya_3sFPVF2SGMSSWB, 5714720]
[paragraph, [230.0, 590.0, 897.0, 36.0], shoonya_3sFPVF2SGMSSWB, 5714720]
[paragraph, [448.0, 651.0, 469.0, 36.0], shoonya_4sJ4DEACTMBA81, 5714720]
[paragraph, [448.0, 687.0, 469.0, 36.0], shoonya_4sJ4DEACTMBA81, 5714720]
[paragraph, [448.0, 723.0, 469.0, 36.0], shoonya_4sJ4DEACTMBA81, 5714720]
[paragraph, [232.0, 801.0, 887.0, 36.0], Ra9KCHv1_V, 5714720]
[paragraph, [232.0, 837.0, 887.0, 36.0], Ra9KCHv1_V, 5714720]
[paragraph, [232.0, 873.0, 887.0, 36.0], Ra9KCHv1_V, 5714720]
[paragraph, [242.0, 945.0, 873.0, 36.0], WV0sJWu-4K, 5714720]
[paragraph, [242.0, 981.0, 873.0, 36.0], WV0sJWu-4K, 5714720]
[paragraph, [242.0, 1017.0, 873.0, 36.0], WV0sJWu-4K, 5714720]
[paragraph, [242.0, 1053.0, 873.0, 36.0], WV0sJWu-4K, 5714720]
[paragraph, [242.0, 1089.0, 873.0, 36.0], WV0sJWu-4K, 5714720]
[paragraph, [242.0, 1125.0, 873.0, 36.0], WV0sJWu-4K, 5714720]
[paragraph, [242.0, 1161.0, 873.0, 36.0], WV0sJWu-4K, 5714720]
[paragraph, [242.0, 1197.0, 873.0, 36.0], WV0sJWu-4K, 5714720]
[paragraph, [456.0, 1268.0, 296.0, 36.0], A9OOowlH48, 5714720]
[paragraph, [456.0, 1304.0, 296.0, 36.0], A9OOowlH48, 5714720]
[paragraph, [456.0, 1340.0, 296.0, 36.0], A9OOowlH48, 5714720]
[paragraph, [235.0, 1409.0, 874.0, 36.0], 0A_r9Au3fh, 5714720]
[paragraph, [235.0, 1445.0, 874.0, 36.0], 0A_r9Au3fh, 5714720]
