[1650, 1275]
[paragraph, [307.0, 133.0, 345.0, 36.0], OrRomiWgDl, 5714185]
[paragraph, [307.0, 169.0, 345.0, 36.0], OrRomiWgDl, 5714185]
[paragraph, [307.0, 205.0, 345.0, 36.0], OrRomiWgDl, 5714185]
[paragraph, [307.0, 241.0, 345.0, 36.0], OrRomiWgDl, 5714185]
[paragraph, [307.0, 277.0, 345.0, 36.0], OrRomiWgDl, 5714185]
[paragraph, [197.0, 348.0, 873.0, 36.0], shoonya_2sKP3VUONLH31Z, 5714185]
[paragraph, [197.0, 384.0, 873.0, 36.0], shoonya_2sKP3VUONLH31Z, 5714185]
[paragraph, [197.0, 420.0, 873.0, 36.0], shoonya_2sKP3VUONLH31Z, 5714185]
[paragraph, [197.0, 456.0, 873.0, 36.0], shoonya_2sKP3VUONLH31Z, 5714185]
[paragraph, [197.0, 492.0, 873.0, 36.0], shoonya_2sKP3VUONLH31Z, 5714185]
[paragraph, [197.0, 528.0, 873.0, 36.0], shoonya_2sKP3VUONLH31Z, 5714185]
[paragraph, [197.0, 564.0, 873.0, 36.0], shoonya_2sKP3VUONLH31Z, 5714185]
[paragraph, [197.0, 600.0, 873.0, 36.0], shoonya_2sKP3VUONLH31Z, 5714185]
[paragraph, [197.0, 636.0, 873.0, 36.0], shoonya_2sKP3VUONLH31Z, 5714185]
[paragraph, [197.0, 672.0, 873.0, 36.0], shoonya_2sKP3VUONLH31Z, 5714185]
[paragraph, [197.0, 708.0, 873.0, 36.0], shoonya_2sKP3VUONLH31Z, 5714185]
[paragraph, [197.0, 744.0, 873.0, 36.0], shoonya_2sKP3VUONLH31Z, 5714185]
[paragraph, [197.0, 780.0, 873.0, 36.0], shoonya_2sKP3VUONLH31Z, 5714185]
[paragraph, [197.0, 816.0, 873.0, 36.0], shoonya_2sKP3VUONLH31Z, 5714185]
[paragraph, [192.0, 873.0, 881.0, 36.0], ZCEon4fYnV, 5714185]
[paragraph, [192.0, 909.0, 881.0, 36.0], ZCEon4fYnV, 5714185]
[paragraph, [192.0, 945.0, 881.0, 36.0], ZCEon4fYnV, 5714185]
[paragraph, [192.0, 981.0, 881.0, 36.0], ZCEon4fYnV, 5714185]
[paragraph, [192.0, 1017.0, 881.0, 36.0], ZCEon4fYnV, 5714185]
[paragraph, [192.0, 1053.0, 881.0, 36.0], ZCEon4fYnV, 5714185]
[paragraph, [298.0, 1123.0, 288.0, 36.0], oIf470BoO4, 5714185]
[paragraph, [298.0, 1159.0, 288.0, 36.0], oIf470BoO4, 5714185]
[paragraph, [298.0, 1195.0, 288.0, 36.0], oIf470BoO4, 5714185]
[paragraph, [298.0, 1231.0, 288.0, 36.0], oIf470BoO4, 5714185]
[paragraph, [298.0, 1267.0, 288.0, 36.0], oIf470BoO4, 5714185]
[paragraph, [298.0, 1303.0, 288.0, 36.0], oIf470BoO4, 5714185]
[paragraph, [298.0, 1339.0, 288.0, 36.0], oIf470BoO4, 5714185]
[paragraph, [298.0, 1375.0, 288.0, 36.0], oIf470BoO4, 5714185]
