[842, 595]
[section-title, [151.0, 88.0, 254.0, 30.0], shoonya_4s8IW3A20T140Q, 6460183]
[paragraph, [120.0, 133.0, 296.0, 18.0], shoonya_3sQ6EZAXRX4QSK, 6460183]
[paragraph, [120.0, 151.0, 296.0, 18.0], shoonya_3sQ6EZAXRX4QSK, 6460183]
[paragraph, [86.0, 172.0, 389.0, 18.0], shoonya_0s87HWRKBJCEZE, 6460183]
[paragraph, [86.0, 190.0, 389.0, 18.0], shoonya_0s87HWRKBJCEZE, 6460183]
[paragraph, [86.0, 208.0, 389.0, 18.0], shoonya_0s87HWRKBJCEZE, 6460183]
[paragraph, [86.0, 226.0, 389.0, 18.0], shoonya_0s87HWRKBJCEZE, 6460183]
[paragraph, [86.0, 244.0, 389.0, 18.0], shoonya_0s87HWRKBJCEZE, 6460183]
[paragraph, [86.0, 262.0, 389.0, 18.0], shoonya_0s87HWRKBJCEZE, 6460183]
[paragraph, [86.0, 280.0, 389.0, 18.0], shoonya_0s87HWRKBJCEZE, 6460183]
[paragraph, [86.0, 298.0, 389.0, 18.0], shoonya_0s87HWRKBJCEZE, 6460183]
[paragraph, [86.0, 316.0, 389.0, 18.0], shoonya_0s87HWRKBJCEZE, 6460183]
[paragraph, [86.0, 334.0, 389.0, 18.0], shoonya_0s87HWRKBJCEZE, 6460183]
[paragraph, [86.0, 352.0, 389.0, 18.0], shoonya_0s87HWRKBJCEZE, 6460183]
[paragraph, [86.0, 370.0, 389.0, 18.0], shoonya_0s87HWRKBJCEZE, 6460183]
[paragraph, [86.0, 388.0, 389.0, 18.0], shoonya_0s87HWRKBJCEZE, 6460183]
[paragraph, [86.0, 406.0, 389.0, 18.0], shoonya_0s87HWRKBJCEZE, 6460183]
[paragraph, [86.0, 424.0, 389.0, 18.0], shoonya_0s87HWRKBJCEZE, 6460183]
[paragraph, [86.0, 442.0, 389.0, 18.0], shoonya_0s87HWRKBJCEZE, 6460183]
[paragraph, [86.0, 460.0, 389.0, 18.0], shoonya_0s87HWRKBJCEZE, 6460183]
[paragraph, [86.0, 478.0, 389.0, 18.0], shoonya_0s87HWRKBJCEZE, 6460183]
[paragraph, [86.0, 496.0, 389.0, 18.0], shoonya_0s87HWRKBJCEZE, 6460183]
[paragraph, [86.0, 514.0, 389.0, 18.0], shoonya_0s87HWRKBJCEZE, 6460183]
[paragraph, [86.0, 532.0, 389.0, 18.0], shoonya_0s87HWRKBJCEZE, 6460183]
[paragraph, [86.0, 550.0, 389.0, 18.0], shoonya_0s87HWRKBJCEZE, 6460183]
[paragraph, [86.0, 568.0, 389.0, 18.0], shoonya_0s87HWRKBJCEZE, 6460183]
[paragraph, [86.0, 586.0, 389.0, 18.0], shoonya_0s87HWRKBJCEZE, 6460183]
[paragraph, [97.0, 593.0, 376.0, 18.0], shoonya_1sNY7X50S8VBAI, 6460183]
[paragraph, [97.0, 611.0, 376.0, 18.0], shoonya_1sNY7X50S8VBAI, 6460183]
[paragraph, [97.0, 629.0, 376.0, 18.0], shoonya_1sNY7X50S8VBAI, 6460183]
[paragraph, [97.0, 647.0, 376.0, 18.0], shoonya_1sNY7X50S8VBAI, 6460183]
[paragraph, [97.0, 665.0, 376.0, 18.0], shoonya_1sNY7X50S8VBAI, 6460183]
[paragraph, [97.0, 683.0, 376.0, 18.0], shoonya_1sNY7X50S8VBAI, 6460183]
[paragraph, [97.0, 701.0, 376.0, 18.0], shoonya_1sNY7X50S8VBAI, 6460183]
[paragraph, [97.0, 719.0, 376.0, 18.0], shoonya_1sNY7X50S8VBAI, 6460183]
