[1275, 750]
[folio, [263.0, 79.0, 210.0, 18.0], yEcDoU_WS6, 5767547]
[folio, [263.0, 97.0, 210.0, 18.0], yEcDoU_WS6, 5767547]
[paragraph, [69.0, 138.0, 617.0, 18.0], shoonya_1sHTDJGM76PROV, 5767547]
[paragraph, [69.0, 156.0, 617.0, 18.0], shoonya_1sHTDJGM76PROV, 5767547]
[paragraph, [69.0, 174.0, 617.0, 18.0], shoonya_1sHTDJGM76PROV, 5767547]
[paragraph, [69.0, 192.0, 617.0, 18.0], shoonya_1sHTDJGM76PROV, 5767547]
[paragraph, [69.0, 210.0, 617.0, 18.0], shoonya_1sHTDJGM76PROV, 5767547]
[paragraph, [69.0, 228.0, 617.0, 18.0], shoonya_1sHTDJGM76PROV, 5767547]
[paragraph, [69.0, 246.0, 617.0, 18.0], shoonya_1sHTDJGM76PROV, 5767547]
[paragraph, [69.0, 264.0, 617.0, 18.0], shoonya_1sHTDJGM76PROV, 5767547]
[paragraph, [69.0, 282.0, 617.0, 18.0], shoonya_1sHTDJGM76PROV, 5767547]
[paragraph, [69.0, 300.0, 617.0, 18.0], shoonya_1sHTDJGM76PROV, 5767547]
[paragraph, [69.0, 318.0, 617.0, 18.0], shoonya_1sHTDJGM76PROV, 5767547]
[paragraph, [69.0, 336.0, 617.0, 18.0], shoonya_1sHTDJGM76PROV, 5767547]
[paragraph, [69.0, 354.0, 617.0, 18.0], shoonya_1sHTDJGM76PROV, 5767547]
[paragraph, [69.0, 372.0, 617.0, 18.0], shoonya_1sHTDJGM76PROV, 5767547]
[paragraph, [69.0, 390.0, 617.0, 18.0], shoonya_1sHTDJGM76PROV, 5767547]
[paragraph, [69.0, 408.0, 617.0, 18.0], shoonya_1sHTDJGM76PROV, 5767547]
[paragraph, [69.0, 426.0, 617.0, 18.0], shoonya_1sHTDJGM76PROV, 5767547]
[paragraph, [69.0, 444.0, 617.0, 18.0], shoonya_1sHTDJGM76PROV, 5767547]
[paragraph, [69.0, 462.0, 617.0, 18.0], shoonya_1sHTDJGM76PROV, 5767547]
[paragraph, [69.0, 480.0, 617.0, 18.0], shoonya_1sHTDJGM76PROV, 5767547]
[paragraph, [69.0, 498.0, 617.0, 18.0], shoonya_1sHTDJGM76PROV, 5767547]
[paragraph, [69.0, 516.0, 617.0, 18.0], shoonya_1sHTDJGM76PROV, 5767547]
[paragraph, [69.0, 534.0, 617.0, 18.0], shoonya_1sHTDJGM76PROV, 5767547]
