[1951, 1219]
[chapter-title, [434.0, 307.0, 390.0, 58.5], shoonya_0sAI0NHWCZB0HP, 5683193]
[paragraph, [150.0, 467.0, 963.0, 36.0], 8Ospselc99, 5683193]
[paragraph, [150.0, 503.0, 963.0, 36.0], 8Ospselc99, 5683193]
[paragraph, [150.0, 539.0, 963.0, 36.0], 8Ospselc99, 5683193]
[paragraph, [150.0, 575.0, 963.0, 36.0], 8Ospselc99, 5683193]
[paragraph, [150.0, 611.0, 963.0, 36.0], 8Ospselc99, 5683193]
[paragraph, [150.0, 647.0, 963.0, 36.0], 8Ospselc99, 5683193]
[paragraph, [150.0, 683.0, 963.0, 36.0], 8Ospselc99, 5683193]
[paragraph, [150.0, 719.0, 963.0, 36.0], 8Ospselc99, 5683193]
[paragraph, [150.0, 755.0, 963.0, 36.0], 8Ospselc99, 5683193]
[paragraph, [150.0, 791.0, 963.0, 36.0], 8Ospselc99, 5683193]
[paragraph, [150.0, 827.0, 963.0, 36.0], 8Ospselc99, 5683193]
[paragraph, [150.0, 863.0, 963.0, 36.0], 8Ospselc99, 5683193]
[paragraph, [150.0, 899.0, 963.0, 36.0], 8Ospselc99, 5683193]
[paragraph, [150.0, 935.0, 963.0, 36.0], 8Ospselc99, 5683193]
[paragraph, [150.0, 971.0, 963.0, 36.0], 8Ospselc99, 5683193]
[paragraph, [150.0, 1007.0, 963.0, 36.0], 8Ospselc99, 5683193]
[paragraph, [150.0, 1043.0, 963.0, 36.0], 8Ospselc99, 5683193]
[paragraph, [150.0, 1079.0, 963.0, 36.0], 8Ospselc99, 5683193]
[paragraph, [150.0, 1115.0, 963.0, 36.0], 8Ospselc99, 5683193]
[paragraph, [150.0, 1151.0, 963.0, 36.0], 8Ospselc99, 5683193]
[paragraph, [150.0, 1187.0, 963.0, 36.0], 8Ospselc99, 5683193]
[paragraph, [150.0, 1223.0, 963.0, 36.0], 8Ospselc99, 5683193]
[paragraph, [132.0, 1272.0, 963.0, 36.0], HCwjjoik-x, 5683193]
[paragraph, [132.0, 1308.0, 963.0, 36.0], HCwjjoik-x, 5683193]
[paragraph, [132.0, 1344.0, 963.0, 36.0], HCwjjoik-x, 5683193]
[paragraph, [132.0, 1380.0, 963.0, 36.0], HCwjjoik-x, 5683193]
[paragraph, [132.0, 1416.0, 963.0, 36.0], HCwjjoik-x, 5683193]
[paragraph, [132.0, 1452.0, 963.0, 36.0], HCwjjoik-x, 5683193]
[paragraph, [132.0, 1488.0, 963.0, 36.0], HCwjjoik-x, 5683193]
[paragraph, [132.0, 1524.0, 963.0, 36.0], HCwjjoik-x, 5683193]
[paragraph, [130.0, 1573.0, 961.0, 36.0], qFwuve0Esv, 5683193]
[paragraph, [130.0, 1609.0, 961.0, 36.0], qFwuve0Esv, 5683193]
[paragraph, [130.0, 1645.0, 961.0, 36.0], qFwuve0Esv, 5683193]
[paragraph, [130.0, 1681.0, 961.0, 36.0], qFwuve0Esv, 5683193]
[paragraph, [130.0, 1717.0, 961.0, 36.0], qFwuve0Esv, 5683193]
[paragraph, [130.0, 1753.0, 961.0, 36.0], qFwuve0Esv, 5683193]
