[2339, 1656]
[paragraph, [184.0, 202.0, 1294.0, 36.0], shoonya_0sWARN1OOVQ68Q, 5752484]
[paragraph, [184.0, 238.0, 1294.0, 36.0], shoonya_0sWARN1OOVQ68Q, 5752484]
[paragraph, [184.0, 274.0, 1294.0, 36.0], shoonya_0sWARN1OOVQ68Q, 5752484]
[paragraph, [184.0, 310.0, 1294.0, 36.0], shoonya_0sWARN1OOVQ68Q, 5752484]
[paragraph, [184.0, 346.0, 1294.0, 36.0], shoonya_0sWARN1OOVQ68Q, 5752484]
[paragraph, [184.0, 382.0, 1294.0, 36.0], shoonya_0sWARN1OOVQ68Q, 5752484]
[paragraph, [184.0, 418.0, 1294.0, 36.0], shoonya_0sWARN1OOVQ68Q, 5752484]
[paragraph, [184.0, 454.0, 1294.0, 36.0], shoonya_0sWARN1OOVQ68Q, 5752484]
[paragraph, [184.0, 490.0, 1294.0, 36.0], shoonya_0sWARN1OOVQ68Q, 5752484]
[paragraph, [184.0, 526.0, 1294.0, 36.0], shoonya_0sWARN1OOVQ68Q, 5752484]
[paragraph, [184.0, 562.0, 1294.0, 36.0], shoonya_0sWARN1OOVQ68Q, 5752484]
[paragraph, [184.0, 598.0, 1294.0, 36.0], shoonya_0sWARN1OOVQ68Q, 5752484]
[paragraph, [184.0, 634.0, 1294.0, 36.0], shoonya_0sWARN1OOVQ68Q, 5752484]
[paragraph, [184.0, 670.0, 1294.0, 36.0], shoonya_0sWARN1OOVQ68Q, 5752484]
[paragraph, [184.0, 706.0, 1294.0, 36.0], shoonya_0sWARN1OOVQ68Q, 5752484]
[paragraph, [184.0, 742.0, 1294.0, 36.0], shoonya_0sWARN1OOVQ68Q, 5752484]
[paragraph, [184.0, 778.0, 1294.0, 36.0], shoonya_0sWARN1OOVQ68Q, 5752484]
[paragraph, [184.0, 814.0, 1294.0, 36.0], shoonya_0sWARN1OOVQ68Q, 5752484]
[paragraph, [184.0, 850.0, 1294.0, 36.0], shoonya_0sWARN1OOVQ68Q, 5752484]
[paragraph, [184.0, 886.0, 1294.0, 36.0], shoonya_0sWARN1OOVQ68Q, 5752484]
[paragraph, [184.0, 922.0, 1294.0, 36.0], shoonya_0sWARN1OOVQ68Q, 5752484]
[paragraph, [184.0, 958.0, 1294.0, 36.0], shoonya_0sWARN1OOVQ68Q, 5752484]
[paragraph, [184.0, 994.0, 1294.0, 36.0], shoonya_0sWARN1OOVQ68Q, 5752484]
[paragraph, [190.0, 1097.0, 1277.0, 36.0], UNVp_rEj3x, 5752484]
[paragraph, [190.0, 1133.0, 1277.0, 36.0], UNVp_rEj3x, 5752484]
[paragraph, [190.0, 1169.0, 1277.0, 36.0], UNVp_rEj3x, 5752484]
[paragraph, [190.0, 1205.0, 1277.0, 36.0], UNVp_rEj3x, 5752484]
[paragraph, [190.0, 1241.0, 1277.0, 36.0], UNVp_rEj3x, 5752484]
[paragraph, [190.0, 1277.0, 1277.0, 36.0], UNVp_rEj3x, 5752484]
[paragraph, [190.0, 1313.0, 1277.0, 36.0], UNVp_rEj3x, 5752484]
[paragraph, [190.0, 1349.0, 1277.0, 36.0], UNVp_rEj3x, 5752484]
[paragraph, [190.0, 1385.0, 1277.0, 36.0], UNVp_rEj3x, 5752484]
[paragraph, [190.0, 1421.0, 1277.0, 36.0], UNVp_rEj3x, 5752484]
[paragraph, [190.0, 1457.0, 1277.0, 36.0], UNVp_rEj3x, 5752484]
[paragraph, [190.0, 1493.0, 1277.0, 36.0], UNVp_rEj3x, 5752484]
[paragraph, [190.0, 1529.0, 1277.0, 36.0], UNVp_rEj3x, 5752484]
[paragraph, [190.0, 1565.0, 1277.0, 36.0], UNVp_rEj3x, 5752484]
[paragraph, [190.0, 1601.0, 1277.0, 36.0], UNVp_rEj3x, 5752484]
[paragraph, [192.0, 1682.0, 1268.0, 36.0], r-RJALmYuU, 5752484]
[paragraph, [192.0, 1718.0, 1268.0, 36.0], r-RJALmYuU, 5752484]
[paragraph, [192.0, 1754.0, 1268.0, 36.0], r-RJALmYuU, 5752484]
[paragraph, [192.0, 1790.0, 1268.0, 36.0], r-RJALmYuU, 5752484]
[paragraph, [192.0, 1826.0, 1268.0, 36.0], r-RJALmYuU, 5752484]
[paragraph, [192.0, 1862.0, 1268.0, 36.0], r-RJALmYuU, 5752484]
[folio, [192.0, 2179.0, 178.0, 36.0], 2iYoSKitRP, 5752484]
