[690, 512]
[folio, [203.0, 39.0, 98.0, 18.0], mQk_G_DiIZ, 6492151]
[headline, [156.0, 68.0, 185.0, 25.5], shoonya_3sLROE44NR1UD2, 6492151]
[author, [359.0, 114.0, 72.0, 18.0], rBhAi9dPUz, 6492151]
[paragraph, [26.0, 135.0, 216.0, 18.0], shoonya_0s923Z19YHOFIS, 6492151]
[paragraph, [26.0, 153.0, 216.0, 18.0], shoonya_0s923Z19YHOFIS, 6492151]
[paragraph, [26.0, 171.0, 216.0, 18.0], shoonya_0s923Z19YHOFIS, 6492151]
[paragraph, [26.0, 189.0, 216.0, 18.0], shoonya_0s923Z19YHOFIS, 6492151]
[paragraph, [26.0, 207.0, 216.0, 18.0], shoonya_0s923Z19YHOFIS, 6492151]
[paragraph, [26.0, 225.0, 216.0, 18.0], shoonya_0s923Z19YHOFIS, 6492151]
[paragraph, [26.0, 243.0, 216.0, 18.0], shoonya_0s923Z19YHOFIS, 6492151]
[paragraph, [26.0, 261.0, 216.0, 18.0], shoonya_0s923Z19YHOFIS, 6492151]
[paragraph, [26.0, 279.0, 216.0, 18.0], shoonya_0s923Z19YHOFIS, 6492151]
[paragraph, [26.0, 297.0, 216.0, 18.0], shoonya_0s923Z19YHOFIS, 6492151]
[paragraph, [26.0, 315.0, 216.0, 18.0], shoonya_0s923Z19YHOFIS, 6492151]
[paragraph, [26.0, 333.0, 216.0, 18.0], shoonya_0s923Z19YHOFIS, 6492151]
[paragraph, [26.0, 351.0, 216.0, 18.0], shoonya_0s923Z19YHOFIS, 6492151]
[paragraph, [26.0, 369.0, 216.0, 18.0], shoonya_0s923Z19YHOFIS, 6492151]
[paragraph, [26.0, 387.0, 216.0, 18.0], shoonya_0s923Z19YHOFIS, 6492151]
[paragraph, [26.0, 405.0, 216.0, 18.0], shoonya_0s923Z19YHOFIS, 6492151]
[paragraph, [26.0, 423.0, 216.0, 18.0], shoonya_0s923Z19YHOFIS, 6492151]
[paragraph, [26.0, 441.0, 216.0, 18.0], shoonya_0s923Z19YHOFIS, 6492151]
[paragraph, [26.0, 459.0, 216.0, 18.0], shoonya_0s923Z19YHOFIS, 6492151]
[paragraph, [26.0, 477.0, 216.0, 18.0], shoonya_0s923Z19YHOFIS, 6492151]
[paragraph, [26.0, 495.0, 216.0, 18.0], shoonya_0s923Z19YHOFIS, 6492151]
[paragraph, [26.0, 513.0, 216.0, 18.0], shoonya_0s923Z19YHOFIS, 6492151]
[paragraph, [26.0, 531.0, 216.0, 18.0], shoonya_0s923Z19YHOFIS, 6492151]
[paragraph, [26.0, 549.0, 216.0, 18.0], shoonya_0s923Z19YHOFIS, 6492151]
[paragraph, [26.0, 567.0, 216.0, 18.0], shoonya_0s923Z19YHOFIS, 6492151]
[paragraph, [26.0, 585.0, 216.0, 18.0], shoonya_0s923Z19YHOFIS, 6492151]
[paragraph, [26.0, 603.0, 216.0, 18.0], shoonya_0s923Z19YHOFIS, 6492151]
[paragraph, [26.0, 621.0, 216.0, 18.0], shoonya_0s923Z19YHOFIS, 6492151]
[paragraph, [255.0, 135.0, 212.0, 18.0], 5xtt6DrYi1, 6492151]
[paragraph, [255.0, 153.0, 212.0, 18.0], 5xtt6DrYi1, 6492151]
[paragraph, [255.0, 171.0, 212.0, 18.0], 5xtt6DrYi1, 6492151]
[paragraph, [255.0, 189.0, 212.0, 18.0], 5xtt6DrYi1, 6492151]
[paragraph, [255.0, 207.0, 212.0, 18.0], 5xtt6DrYi1, 6492151]
[paragraph, [255.0, 225.0, 212.0, 18.0], 5xtt6DrYi1, 6492151]
[paragraph, [255.0, 243.0, 212.0, 18.0], 5xtt6DrYi1, 6492151]
[paragraph, [255.0, 261.0, 212.0, 18.0], 5xtt6DrYi1, 6492151]
[paragraph, [255.0, 279.0, 212.0, 18.0], 5xtt6DrYi1, 6492151]
[paragraph, [255.0, 297.0, 212.0, 18.0], 5xtt6DrYi1, 6492151]
[paragraph, [255.0, 315.0, 212.0, 18.0], 5xtt6DrYi1, 6492151]
[paragraph, [255.0, 333.0, 212.0, 18.0], 5xtt6DrYi1, 6492151]
[paragraph, [255.0, 351.0, 212.0, 18.0], 5xtt6DrYi1, 6492151]
[paragraph, [255.0, 369.0, 212.0, 18.0], 5xtt6DrYi1, 6492151]
[paragraph, [255.0, 387.0, 212.0, 18.0], 5xtt6DrYi1, 6492151]
[paragraph, [255.0, 405.0, 212.0, 18.0], 5xtt6DrYi1, 6492151]
[paragraph, [255.0, 423.0, 212.0, 18.0], 5xtt6DrYi1, 6492151]
[paragraph, [255.0, 441.0, 212.0, 18.0], 5xtt6DrYi1, 6492151]
[paragraph, [255.0, 459.0, 212.0, 18.0], 5xtt6DrYi1, 6492151]
[paragraph, [255.0, 477.0, 212.0, 18.0], 5xtt6DrYi1, 6492151]
[paragraph, [255.0, 495.0, 212.0, 18.0], 5xtt6DrYi1, 6492151]
[paragraph, [255.0, 513.0, 212.0, 18.0], 5xtt6DrYi1, 6492151]
[paragraph, [255.0, 531.0, 212.0, 18.0], 5xtt6DrYi1, 6492151]
[paragraph, [254.0, 557.0, 213.0, 18.0], GiGEVJ9-Ln, 6492151]
[paragraph, [254.0, 575.0, 213.0, 18.0], GiGEVJ9-Ln, 6492151]
[paragraph, [254.0, 593.0, 213.0, 18.0], GiGEVJ9-Ln, 6492151]
[paragraph, [254.0, 611.0, 213.0, 18.0], GiGEVJ9-Ln, 6492151]
