[2339, 1653]
[paragraph, [325.0, 163.0, 540.0, 36.0], shoonya_3sRD99SC6S8QE7, 5733969]
[paragraph, [326.0, 219.0, 1134.0, 36.0], shoonya_1sE7LHA0N2MGHV, 5733969]
[paragraph, [326.0, 255.0, 1134.0, 36.0], shoonya_1sE7LHA0N2MGHV, 5733969]
[paragraph, [326.0, 291.0, 1134.0, 36.0], shoonya_1sE7LHA0N2MGHV, 5733969]
[paragraph, [326.0, 327.0, 1134.0, 36.0], shoonya_1sE7LHA0N2MGHV, 5733969]
[paragraph, [326.0, 363.0, 1134.0, 36.0], shoonya_1sE7LHA0N2MGHV, 5733969]
[paragraph, [326.0, 399.0, 1134.0, 36.0], shoonya_1sE7LHA0N2MGHV, 5733969]
[paragraph, [326.0, 435.0, 1134.0, 36.0], shoonya_1sE7LHA0N2MGHV, 5733969]
[paragraph, [326.0, 471.0, 1134.0, 36.0], shoonya_1sE7LHA0N2MGHV, 5733969]
[paragraph, [326.0, 507.0, 1134.0, 36.0], shoonya_1sE7LHA0N2MGHV, 5733969]
[paragraph, [326.0, 543.0, 1134.0, 36.0], shoonya_1sE7LHA0N2MGHV, 5733969]
[paragraph, [326.0, 579.0, 1134.0, 36.0], shoonya_1sE7LHA0N2MGHV, 5733969]
[paragraph, [326.0, 615.0, 1134.0, 36.0], shoonya_1sE7LHA0N2MGHV, 5733969]
[paragraph, [326.0, 651.0, 1134.0, 36.0], shoonya_1sE7LHA0N2MGHV, 5733969]
[paragraph, [326.0, 687.0, 1134.0, 36.0], shoonya_1sE7LHA0N2MGHV, 5733969]
[paragraph, [326.0, 723.0, 1134.0, 36.0], shoonya_1sE7LHA0N2MGHV, 5733969]
[paragraph, [326.0, 759.0, 1134.0, 36.0], shoonya_1sE7LHA0N2MGHV, 5733969]
[paragraph, [326.0, 795.0, 1134.0, 36.0], shoonya_1sE7LHA0N2MGHV, 5733969]
[paragraph, [326.0, 831.0, 1134.0, 36.0], shoonya_1sE7LHA0N2MGHV, 5733969]
[paragraph, [326.0, 867.0, 1134.0, 36.0], shoonya_1sE7LHA0N2MGHV, 5733969]
[paragraph, [324.0, 944.0, 1137.0, 36.0], shoonya_0s9TB6RYQRZT9M, 5733969]
[paragraph, [324.0, 980.0, 1137.0, 36.0], shoonya_0s9TB6RYQRZT9M, 5733969]
[paragraph, [324.0, 1016.0, 1137.0, 36.0], shoonya_0s9TB6RYQRZT9M, 5733969]
[paragraph, [324.0, 1052.0, 1137.0, 36.0], shoonya_0s9TB6RYQRZT9M, 5733969]
[paragraph, [324.0, 1088.0, 1137.0, 36.0], shoonya_0s9TB6RYQRZT9M, 5733969]
[paragraph, [324.0, 1124.0, 1137.0, 36.0], shoonya_0s9TB6RYQRZT9M, 5733969]
[paragraph, [324.0, 1160.0, 1137.0, 36.0], shoonya_0s9TB6RYQRZT9M, 5733969]
[paragraph, [324.0, 1196.0, 1137.0, 36.0], shoonya_0s9TB6RYQRZT9M, 5733969]
[paragraph, [324.0, 1232.0, 1137.0, 36.0], shoonya_0s9TB6RYQRZT9M, 5733969]
[paragraph, [324.0, 1268.0, 1137.0, 36.0], shoonya_0s9TB6RYQRZT9M, 5733969]
[paragraph, [324.0, 1304.0, 1137.0, 36.0], shoonya_0s9TB6RYQRZT9M, 5733969]
[paragraph, [324.0, 1340.0, 1137.0, 36.0], shoonya_0s9TB6RYQRZT9M, 5733969]
[paragraph, [324.0, 1376.0, 1137.0, 36.0], shoonya_0s9TB6RYQRZT9M, 5733969]
[paragraph, [324.0, 1412.0, 1137.0, 36.0], shoonya_0s9TB6RYQRZT9M, 5733969]
[paragraph, [324.0, 1448.0, 1137.0, 36.0], shoonya_0s9TB6RYQRZT9M, 5733969]
[paragraph, [324.0, 1484.0, 1137.0, 36.0], shoonya_0s9TB6RYQRZT9M, 5733969]
[paragraph, [324.0, 1520.0, 1137.0, 36.0], shoonya_0s9TB6RYQRZT9M, 5733969]
[paragraph, [324.0, 1556.0, 1137.0, 36.0], shoonya_0s9TB6RYQRZT9M, 5733969]
[paragraph, [324.0, 1592.0, 1137.0, 36.0], shoonya_0s9TB6RYQRZT9M, 5733969]
[paragraph, [324.0, 1628.0, 1137.0, 36.0], shoonya_0s9TB6RYQRZT9M, 5733969]
[paragraph, [324.0, 1664.0, 1137.0, 36.0], shoonya_0s9TB6RYQRZT9M, 5733969]
[paragraph, [326.0, 1721.0, 1136.0, 36.0], shoonya_2sQ43EKUBDQ9WZ, 5733969]
[paragraph, [326.0, 1757.0, 1136.0, 36.0], shoonya_2sQ43EKUBDQ9WZ, 5733969]
[paragraph, [326.0, 1793.0, 1136.0, 36.0], shoonya_2sQ43EKUBDQ9WZ, 5733969]
[paragraph, [326.0, 1829.0, 1136.0, 36.0], shoonya_2sQ43EKUBDQ9WZ, 5733969]
[paragraph, [326.0, 1865.0, 1136.0, 36.0], shoonya_2sQ43EKUBDQ9WZ, 5733969]
[paragraph, [326.0, 1901.0, 1136.0, 36.0], shoonya_2sQ43EKUBDQ9WZ, 5733969]
[paragraph, [326.0, 1937.0, 1136.0, 36.0], shoonya_2sQ43EKUBDQ9WZ, 5733969]
[paragraph, [326.0, 1973.0, 1136.0, 36.0], shoonya_2sQ43EKUBDQ9WZ, 5733969]
[paragraph, [326.0, 2009.0, 1136.0, 36.0], shoonya_2sQ43EKUBDQ9WZ, 5733969]
[paragraph, [326.0, 2045.0, 1136.0, 36.0], shoonya_2sQ43EKUBDQ9WZ, 5733969]
[folio, [818.0, 2164.0, 563.0, 36.0], l640PhZ1t9, 5733969]
