[3508, 2481]
[contact-info, [542.0, 89.0, 1397.0, 52.5], shoonya_4s749LN6RKREKE, 6491267]
[contact-info, [542.0, 141.5, 1397.0, 52.5], shoonya_4s749LN6RKREKE, 6491267]
[contact-info, [542.0, 194.0, 1397.0, 52.5], shoonya_4s749LN6RKREKE, 6491267]
[section-title, [730.0, 595.0, 1025.0, 93.0], shoonya_6sN6IFERWJCHA4, 6491267]
[dateline, [217.0, 985.0, 415.0, 52.5], gd_y4uvP3e, 6491267]
[paragraph, [227.0, 1256.0, 458.0, 52.5], shoonya_7sEFSPB5XCFN54, 6491267]
[paragraph, [222.0, 1365.0, 2070.0, 52.5], shoonya_2s5T2P0JN8M6FR, 6491267]
[paragraph, [222.0, 1417.5, 2070.0, 52.5], shoonya_2s5T2P0JN8M6FR, 6491267]
[paragraph, [222.0, 1470.0, 2070.0, 52.5], shoonya_2s5T2P0JN8M6FR, 6491267]
[paragraph, [222.0, 1522.5, 2070.0, 52.5], shoonya_2s5T2P0JN8M6FR, 6491267]
[paragraph, [222.0, 1575.0, 2070.0, 52.5], shoonya_2s5T2P0JN8M6FR, 6491267]
[paragraph, [222.0, 1627.5, 2070.0, 52.5], shoonya_2s5T2P0JN8M6FR, 6491267]
[unordered-list, [273.0, 1768.0, 2040.0, 52.5], shoonya_0sELO6IOCOUHOL, 6491267]
[unordered-list, [273.0, 1820.5, 2040.0, 52.5], shoonya_0sELO6IOCOUHOL, 6491267]
[unordered-list, [273.0, 1873.0, 2040.0, 52.5], shoonya_0sELO6IOCOUHOL, 6491267]
[unordered-list, [273.0, 1925.5, 2040.0, 52.5], shoonya_0sELO6IOCOUHOL, 6491267]
[unordered-list, [273.0, 1978.0, 2040.0, 52.5], shoonya_0sELO6IOCOUHOL, 6491267]
[unordered-list, [273.0, 2030.5, 2040.0, 52.5], shoonya_0sELO6IOCOUHOL, 6491267]
[unordered-list, [273.0, 2083.0, 2040.0, 52.5], shoonya_0sELO6IOCOUHOL, 6491267]
[unordered-list, [273.0, 2135.5, 2040.0, 52.5], shoonya_0sELO6IOCOUHOL, 6491267]
[unordered-list, [273.0, 2188.0, 2040.0, 52.5], shoonya_0sELO6IOCOUHOL, 6491267]
[unordered-list, [273.0, 2240.5, 2040.0, 52.5], shoonya_0sELO6IOCOUHOL, 6491267]
[unordered-list, [273.0, 2293.0, 2040.0, 52.5], shoonya_0sELO6IOCOUHOL, 6491267]
[unordered-list, [273.0, 2345.5, 2040.0, 52.5], shoonya_0sELO6IOCOUHOL, 6491267]
[unordered-list, [273.0, 2398.0, 2040.0, 52.5], shoonya_0sELO6IOCOUHOL, 6491267]
[footnote, [2003.0, 2593.0, 269.0, 52.5], c3WDqtZKJA, 6491267]
[footnote, [2003.0, 2645.5, 269.0, 52.5], c3WDqtZKJA, 6491267]
[footnote, [2003.0, 2698.0, 269.0, 52.5], c3WDqtZKJA, 6491267]
[contact-info, [1795.0, 2789.0, 496.0, 52.5], TSfz31gxDJ, 6491267]
[contact-info, [1795.0, 2841.5, 496.0, 52.5], TSfz31gxDJ, 6491267]
[contact-info, [1767.0, 3272.0, 524.0, 52.5], Z6803tNcdG, 6491267]
